source_label,page_label,page_no,title,section_name,page_kind,summary,family_names,reference_family_name,notes,image_filename
named_reactions_frontmatter_batch2,xxiv,24,V. List of Abbreviations (DEAD to DIB),V. List of Abbreviations,abbreviation_glossary,"Abbreviation glossary page covering DEAD to DIB, including common Mitsunobu-related reagents, chiral cinchona ligands, and hypervalent iodine oxidants.",,,Alias-normalization seed page.,named reactions_24.jpg
named_reactions_frontmatter_batch2,xxv,25,V. List of Abbreviations (DIBAL to DME),V. List of Abbreviations,abbreviation_glossary,"Abbreviation glossary page covering DIBAL to DME, including DIBAL-H, DIPEA, DMAP, DMAD, and common diphosphine ligands.",,,Alias-normalization seed page.,named reactions_25.jpg
named_reactions_frontmatter_batch2,xxvi,26,V. List of Abbreviations (DMF to DNA),V. List of Abbreviations,abbreviation_glossary,"Abbreviation glossary page covering DMF to DNA, including Dess-Martin periodinane, DMSO, DMTMM, and trityl-based protecting groups.",,,Alias-normalization seed page.,named reactions_26.jpg
named_reactions_frontmatter_batch2,xxvii,27,V. List of Abbreviations (DPA to DPS),V. List of Abbreviations,abbreviation_glossary,"Abbreviation glossary page covering DPA to DPS, including DPPA, dppf, dppe, dppp, and other diphosphine ligand abbreviations.",,,Alias-normalization seed page.,named reactions_27.jpg
named_reactions_frontmatter_batch2,xxviii,28,V. List of Abbreviations (DPTC to EDTA),V. List of Abbreviations,abbreviation_glossary,"Abbreviation glossary page covering DPTC to EDTA, including EDC/EDCI, EDG, electrophile notation, and elimination shorthand.",,,Alias-normalization seed page.,named reactions_28.jpg
named_reactions_frontmatter_batch2,xxix,29,V. List of Abbreviations (ee to FTT),V. List of Abbreviations,abbreviation_glossary,"Abbreviation glossary page covering ee to FTT, including Fmoc, ferrocenyl, EWG, and fluorous diketone fod.",,,Alias-normalization seed page.,named reactions_29.jpg
named_reactions_frontmatter_batch2,xxx,30,V. List of Abbreviations (FVP to i),V. List of Abbreviations,abbreviation_glossary,"Abbreviation glossary page covering FVP to i, including HATU, HFIP, HMDS, HOBt, HOSu, and HWE.",Horner-Wadsworth-Emmons,,Alias-normalization seed page with an explicit named-reaction abbreviation.,named reactions_30.jpg
named_reactions_frontmatter_batch2,xxxi,31,V. List of Abbreviations (IBA to LDBB),V. List of Abbreviations,abbreviation_glossary,"Abbreviation glossary page covering IBA to LDBB, including IBX, imidazole, INOC, KHMDS, Lawesson's reagent, LAH, and LDA.",Intramolecular Nitrile Oxide Cycloaddition,,Alias-normalization seed page with an explicit named-reaction abbreviation.,named reactions_31.jpg
named_reactions_frontmatter_batch2,xxxii,32,V. List of Abbreviations (LDE to MAT),V. List of Abbreviations,abbreviation_glossary,"Abbreviation glossary page covering LDE to MAT, including LiHMDS, L-selectride, LTA, LUMO, maleic anhydride, MAD, and MAT.",,,Alias-normalization seed page.,named reactions_32.jpg
named_reactions_frontmatter_batch2,xxxiii,33,V. List of Abbreviations (MBT to MPM/PMB),V. List of Abbreviations,abbreviation_glossary,"Abbreviation glossary page covering MBT to MPM/PMB, including m-CPBA, MEM, MOM, NMP, and MoOPH.",,,Alias-normalization seed page.,named reactions_33.jpg
