page_label,page_no,title,section_name,page_kind,summary,family_names,reference_family_name,notes,image_filename
p502,502,VIII. APPENDIX,8.1 Brief explanation of the organization of this section,meta_explanatory,"Appendix overview page explaining how the back-of-book appendix is organized, including chronological lists, reaction-category tables, and functional-group lookup tables intended for rapid navigation of named reactions.",Appendix|Chronological Reaction Index|Reaction Categories|Affected Functional Groups|Preparation of Functional Groups,Appendix,Meta-navigation page for the appendix section rather than a single reaction family.,named reactions_554.jpg
p503,503,LIST OF NAMED REACTIONS IN CHRONOLOGICAL ORDER OF THEIR DISCOVERY,8.2 Chronological Order of Discovery,chronological_index,"Chronological appendix table page listing named reactions by year of discovery together with the corresponding textbook page numbers, serving as a historical lookup index.",Chronological Reaction Index,,Historical appendix index page; useful for locating named reactions by discovery year.,named reactions_555.jpg
p504,504,LIST OF NAMED REACTIONS IN CHRONOLOGICAL ORDER OF THEIR DISCOVERY,8.2 Chronological Order of Discovery,chronological_index,"Chronological appendix table page listing named reactions by year of discovery together with the corresponding textbook page numbers, serving as a historical lookup index.",Chronological Reaction Index,,Historical appendix index page; useful for locating named reactions by discovery year.,named reactions_556.jpg
p505,505,LIST OF NAMED REACTIONS IN CHRONOLOGICAL ORDER OF THEIR DISCOVERY,8.2 Chronological Order of Discovery,chronological_index,"Chronological appendix table page listing named reactions by year of discovery together with the corresponding textbook page numbers, serving as a historical lookup index.",Chronological Reaction Index,,Historical appendix index page; useful for locating named reactions by discovery year.,named reactions_557.jpg
p506,506,LIST OF NAMED REACTIONS IN CHRONOLOGICAL ORDER OF THEIR DISCOVERY,8.2 Chronological Order of Discovery,chronological_index,"Chronological appendix table page listing named reactions by year of discovery together with the corresponding textbook page numbers, serving as a historical lookup index.",Chronological Reaction Index,,Historical appendix index page; useful for locating named reactions by discovery year.,named reactions_558.jpg
p507,507,LIST OF NAMED REACTIONS IN CHRONOLOGICAL ORDER OF THEIR DISCOVERY,8.2 Chronological Order of Discovery,chronological_index,"Chronological appendix table page listing named reactions by year of discovery together with the corresponding textbook page numbers, serving as a historical lookup index.",Chronological Reaction Index,,Historical appendix index page; useful for locating named reactions by discovery year.,named reactions_559.jpg
p508,508,REACTION CATEGORIES,8.3 Reaction Categories,category_index,"Appendix category table page grouping named reactions by synthetic objective and brief use, so that reactions can be located from transformation class rather than by name.",Reaction Categories,,Category-based lookup page crosslinking named reactions to broad synthetic-use classes.,named reactions_560.jpg
p509,509,REACTION CATEGORIES,8.3 Reaction Categories,category_index,"Appendix category table page grouping named reactions by synthetic objective and brief use, so that reactions can be located from transformation class rather than by name.",Reaction Categories,,Category-based lookup page crosslinking named reactions to broad synthetic-use classes.,named reactions_561.jpg
p510,510,REACTION CATEGORIES,8.3 Reaction Categories,category_index,"Appendix category table page grouping named reactions by synthetic objective and brief use, so that reactions can be located from transformation class rather than by name.",Reaction Categories,,Category-based lookup page crosslinking named reactions to broad synthetic-use classes.,named reactions_562.jpg
p511,511,REACTION CATEGORIES,8.3 Reaction Categories,category_index,"Appendix category table page grouping named reactions by synthetic objective and brief use, so that reactions can be located from transformation class rather than by name.",Reaction Categories,,Category-based lookup page crosslinking named reactions to broad synthetic-use classes.,named reactions_563.jpg
p512,512,REACTION CATEGORIES,8.3 Reaction Categories,category_index,"Appendix category table page grouping named reactions by synthetic objective and brief use, so that reactions can be located from transformation class rather than by name.",Reaction Categories,,Category-based lookup page crosslinking named reactions to broad synthetic-use classes.,named reactions_564.jpg
p513,513,REACTION CATEGORIES,8.3 Reaction Categories,category_index,"Appendix category table page grouping named reactions by synthetic objective and brief use, so that reactions can be located from transformation class rather than by name.",Reaction Categories,,Category-based lookup page crosslinking named reactions to broad synthetic-use classes.,named reactions_565.jpg
p514,514,REACTION CATEGORIES,8.3 Reaction Categories,category_index,"Appendix category table page grouping named reactions by synthetic objective and brief use, so that reactions can be located from transformation class rather than by name.",Reaction Categories,,Category-based lookup page crosslinking named reactions to broad synthetic-use classes.,named reactions_566.jpg
p515,515,REACTION CATEGORIES,8.3 Reaction Categories,category_index,"Appendix category table page grouping named reactions by synthetic objective and brief use, so that reactions can be located from transformation class rather than by name.",Reaction Categories,,Category-based lookup page crosslinking named reactions to broad synthetic-use classes.,named reactions_567.jpg
p516,516,REACTION CATEGORIES,8.3 Reaction Categories,category_index,"Appendix category table page grouping named reactions by synthetic objective and brief use, so that reactions can be located from transformation class rather than by name.",Reaction Categories,,Category-based lookup page crosslinking named reactions to broad synthetic-use classes.,named reactions_568.jpg
p517,517,REACTION CATEGORIES,8.3 Reaction Categories,category_index,"Appendix category table page grouping named reactions by synthetic objective and brief use, so that reactions can be located from transformation class rather than by name.",Reaction Categories,,Category-based lookup page crosslinking named reactions to broad synthetic-use classes.,named reactions_569.jpg
p518,518,AFFECTED FUNCTIONAL GROUPS,8.4 Affected Functional Groups,functional_group_index,"Appendix lookup table page indexing named reactions by affected or newly formed functional group, intended to help find transformations from product-side functional-group goals.",Affected Functional Groups,,Functional-group lookup page organized around affected or newly generated motifs.,named reactions_570.jpg
p519,519,AFFECTED FUNCTIONAL GROUPS,8.4 Affected Functional Groups,functional_group_index,"Appendix lookup table page indexing named reactions by affected or newly formed functional group, intended to help find transformations from product-side functional-group goals.",Affected Functional Groups,,Functional-group lookup page organized around affected or newly generated motifs.,named reactions_571.jpg
p520,520,AFFECTED FUNCTIONAL GROUPS,8.4 Affected Functional Groups,functional_group_index,"Appendix lookup table page indexing named reactions by affected or newly formed functional group, intended to help find transformations from product-side functional-group goals.",Affected Functional Groups,,Functional-group lookup page organized around affected or newly generated motifs.,named reactions_572.jpg
p521,521,AFFECTED FUNCTIONAL GROUPS,8.4 Affected Functional Groups,functional_group_index,"Appendix lookup table page indexing named reactions by affected or newly formed functional group, intended to help find transformations from product-side functional-group goals.",Affected Functional Groups,,Functional-group lookup page organized around affected or newly generated motifs.,named reactions_573.jpg
p522,522,PREPARATION OF FUNCTIONAL GROUPS,8.5 Preparation of Functional Groups,functional_group_index,"Appendix lookup table page indexing named reactions by target functional group, precursor functional group, and transformation name to support retrosynthetic planning from desired functionality.",Preparation of Functional Groups,,Functional-group preparation index mapping target groups and substrate groups to appropriate named transformations.,named reactions_574.jpg
p523,523,PREPARATION OF FUNCTIONAL GROUPS,8.5 Preparation of Functional Groups,functional_group_index,"Appendix lookup table page indexing named reactions by target functional group, precursor functional group, and transformation name to support retrosynthetic planning from desired functionality.",Preparation of Functional Groups,,Functional-group preparation index mapping target groups and substrate groups to appropriate named transformations.,named reactions_575.jpg
p524,524,PREPARATION OF FUNCTIONAL GROUPS,8.5 Preparation of Functional Groups,functional_group_index,"Appendix lookup table page indexing named reactions by target functional group, precursor functional group, and transformation name to support retrosynthetic planning from desired functionality.",Preparation of Functional Groups,,Functional-group preparation index mapping target groups and substrate groups to appropriate named transformations.,named reactions_576.jpg
p525,525,PREPARATION OF FUNCTIONAL GROUPS,8.5 Preparation of Functional Groups,functional_group_index,"Appendix lookup table page indexing named reactions by target functional group, precursor functional group, and transformation name to support retrosynthetic planning from desired functionality.",Preparation of Functional Groups,,Functional-group preparation index mapping target groups and substrate groups to appropriate named transformations.,named reactions_577.jpg
p526,526,PREPARATION OF FUNCTIONAL GROUPS,8.5 Preparation of Functional Groups,functional_group_index,"Appendix lookup table page indexing named reactions by target functional group, precursor functional group, and transformation name to support retrosynthetic planning from desired functionality.",Preparation of Functional Groups,,Functional-group preparation index mapping target groups and substrate groups to appropriate named transformations.,named reactions_578.jpg
p527,527,PREPARATION OF FUNCTIONAL GROUPS,8.5 Preparation of Functional Groups,functional_group_index,"Appendix lookup table page indexing named reactions by target functional group, precursor functional group, and transformation name to support retrosynthetic planning from desired functionality.",Preparation of Functional Groups,,Functional-group preparation index mapping target groups and substrate groups to appropriate named transformations.,named reactions_579.jpg
p528,528,PREPARATION OF FUNCTIONAL GROUPS,8.5 Preparation of Functional Groups,functional_group_index,"Appendix lookup table page indexing named reactions by target functional group, precursor functional group, and transformation name to support retrosynthetic planning from desired functionality.",Preparation of Functional Groups,,Functional-group preparation index mapping target groups and substrate groups to appropriate named transformations.,named reactions_580.jpg
p529,529,PREPARATION OF FUNCTIONAL GROUPS,8.5 Preparation of Functional Groups,functional_group_index,"Appendix lookup table page indexing named reactions by target functional group, precursor functional group, and transformation name to support retrosynthetic planning from desired functionality.",Preparation of Functional Groups,,Functional-group preparation index mapping target groups and substrate groups to appropriate named transformations.,named reactions_581.jpg
p530,530,PREPARATION OF FUNCTIONAL GROUPS,8.5 Preparation of Functional Groups,functional_group_index,"Appendix lookup table page indexing named reactions by target functional group, precursor functional group, and transformation name to support retrosynthetic planning from desired functionality.",Preparation of Functional Groups,,Functional-group preparation index mapping target groups and substrate groups to appropriate named transformations.,named reactions_582.jpg
p531,531,IX. REFERENCES,IX. References,reference_bibliography,"Reference-section page listing literature citations associated with the named reactions covered in the handbook, intended as a back-of-book bibliography and source trail for the main reaction entries.",References,,Backmatter bibliography page.,named reactions_583.jpg
p532,532,IX. REFERENCES,IX. References continuation,reference_bibliography,"Reference-section page listing literature citations associated with the named reactions covered in the handbook, intended as a back-of-book bibliography and source trail for the main reaction entries.",References,,Backmatter bibliography page.,named reactions_584.jpg
p533,533,IX. REFERENCES,IX. References continuation,reference_bibliography,"Reference-section page listing literature citations associated with the named reactions covered in the handbook, intended as a back-of-book bibliography and source trail for the main reaction entries.",References,,Backmatter bibliography page.,named reactions_585.jpg
p534,534,IX. REFERENCES,IX. References continuation,reference_bibliography,"Reference-section page listing literature citations associated with the named reactions covered in the handbook, intended as a back-of-book bibliography and source trail for the main reaction entries.",References,,Backmatter bibliography page.,named reactions_586.jpg
p535,535,IX. REFERENCES,IX. References continuation,reference_bibliography,"Reference-section page listing literature citations associated with the named reactions covered in the handbook, intended as a back-of-book bibliography and source trail for the main reaction entries.",References,,Backmatter bibliography page.,named reactions_587.jpg
p536,536,IX. REFERENCES,IX. References continuation,reference_bibliography,"Reference-section page listing literature citations associated with the named reactions covered in the handbook, intended as a back-of-book bibliography and source trail for the main reaction entries.",References,,Backmatter bibliography page.,named reactions_588.jpg
