page_label,page_no,title,section_name,page_kind,reference_family_name,family_names,summary,notes,image_filename
p154,154,Eschenmoser Methenylation – Importance and Mechanism,Importance; Mechanism,canonical_overview,Eschenmoser Methenylation,Eschenmoser Methenylation,Overview page for Eschenmoser methenylation describing installation of an exocyclic methylene equivalent at the alpha-position of carbonyl compounds by reaction of enolates with Eschenmoser’s salt followed by elimination from the resulting aminomethylated intermediate.,"Key concepts: enolate trapping with Eschenmoser’s salt, formation of alpha-(dimethylamino)methyl carbonyl intermediates, oxidative or Hofmann/Cope-type elimination, and access to alpha-methylenated ketones or lactones.",named reactions_206.jpg
p155,155,Eschenmoser Methenylation – Synthetic Applications,Synthetic Applications,application_example,Eschenmoser Methenylation,Eschenmoser Methenylation,"Application page for Eschenmoser methenylation featuring exo-methylene hydroazulenone formation, one-pot access to alpha-exo-methylene lactones in the CP-263,114 series, alpha-methylene installation in crassin acetate methyl ether, and bicyclic oxetane preparation en route to (+)-gelsemine.","Examples emphasize LiHMDS/LiTMP or LDA-mediated enolate formation, use of Eschenmoser’s salt, oxidative N-oxide formation or exhaustive methylation/elimination, and deployment of the resulting exo-methylene group in natural-product synthesis.",named reactions_207.jpg
p156,156,Eschenmoser-Claisen Rearrangement – Importance and Mechanism,Importance; Mechanism,canonical_overview,Eschenmoser-Claisen Rearrangement,Eschenmoser-Claisen Rearrangement,"Overview page for the Eschenmoser-Claisen rearrangement describing Claisen-type [3,3]-sigmatropic rearrangement of allylic or benzylic alcohols heated with N,N-dimethylacetamide dimethyl acetal to furnish gamma,delta-unsaturated amides through ketene N,O-acetal intermediates.","Key concepts: allylic alcohol exchange with DMA-DMA, ketene aminal / ketene N,O-acetal formation, chairlike or boatlike transition-state control, and stereoselective generation of gamma,delta-unsaturated amides.",named reactions_208.jpg
p157,157,Eschenmoser-Claisen Rearrangement – Synthetic Applications,Synthetic Applications,application_example,Eschenmoser-Claisen Rearrangement,Eschenmoser-Claisen Rearrangement,"Application page for the Eschenmoser-Claisen rearrangement featuring syntheses of (+)-stenine, (+)-pravastatin, (+)-8-deoxyanisatin, and the AB ring system of norzoanthamine through stereocontrolled allylic-amide rearrangement chemistry.","Examples emphasize high-temperature rearrangement with DMA-DMA, installation of quaternary stereocenters, and use of rearranged amides as versatile synthetic handles in complex natural-product synthesis.",named reactions_209.jpg
p158,158,Eschenmoser-Tanabe Fragmentation – Importance and Mechanism,Importance; Mechanism,canonical_overview,Eschenmoser-Tanabe Fragmentation,Eschenmoser-Tanabe Fragmentation,"Overview page for the Eschenmoser-Tanabe fragmentation describing conversion of tosylhydrazones of alpha,beta-epoxy ketones into cyclic alkynones, alkynals, or acyclic alkynones by base-, acid-, or heat-induced fragmentation with loss of nitrogen.","Key concepts: epoxyketone hydrazone formation, Grob-type fragmentation, release of N2 and sulfinate leaving groups, and formation of medium-sized cyclic or acyclic alkynes / alkynones from epoxy ketone precursors.",named reactions_210.jpg
p159,159,Eschenmoser-Tanabe Fragmentation – Synthetic Applications,Synthetic Applications,application_example,Eschenmoser-Tanabe Fragmentation,Eschenmoser-Tanabe Fragmentation,"Application page for the Eschenmoser-Tanabe fragmentation featuring preparation of the Galbulimima alkaloid GB 13 alkynone, alkyl-substituted enol lactones from alkynoid ketones, unstable alkynals converted to 1,6-enynes, and cycloalkynone generation for Dötz benzannulation-based aromatic annulation studies.","Examples emphasize epoxidation–hydrazone formation–fragmentation sequences, rapid trapping of reactive alkynals, and use of the resulting alkynones or alkynals in downstream metathesis or benzannulation chemistry.",named reactions_211.jpg
p160,160,Eschweiler-Clarke Methylation (Reductive Alkylation) – Importance and Mechanism,Importance; Mechanism,canonical_overview,Eschweiler-Clarke Methylation,Eschweiler-Clarke Methylation|Leuckart-Wallach Reaction,"Overview page for Eschweiler-Clarke methylation describing one-pot reductive methylation of primary or secondary amines with formaldehyde and formic acid, together with related reductive alkylation and cyclization variants using carbonyl compounds and reducing agents.","Key concepts: iminium formation from amine and formaldehyde, hydride transfer from formic acid, selective N-methylation without overalkylation to quaternary salts, and relationship to Leuckart-Wallach-type reductive alkylation.",named reactions_212.jpg
p161,161,Eschweiler-Clarke Methylation (Reductive Alkylation) – Synthetic Applications,Synthetic Applications,application_example,Eschweiler-Clarke Methylation,Eschweiler-Clarke Methylation,"Application page for Eschweiler-Clarke methylation featuring modified N,N-dimethylamine installation in a calyculin A/B derivative, one-pot formation of (S)-N-methylanabasine, mild formaldehyde/cyanoborohydride methylation en route to (-)-horsfiline, and macrocyclic triazamethylation under Eschweiler-Clarke conditions.",Examples emphasize classical HCHO/HCO2H conditions as well as milder reductive alkylation variants using NaBH3CN or deprotection-hydrogenation sequences followed by formaldehyde-mediated methylation.,named reactions_213.jpg
p162,162,Evans Aldol Reaction – Importance and Mechanism,Importance; Mechanism,canonical_overview,Evans Aldol Reaction,Evans Aldol Reaction,"Overview page for the Evans aldol reaction describing boron-mediated, chiral auxiliary-controlled aldol addition of N-acyl oxazolidinones to aldehydes through Z-boron enolates, delivering syn aldol adducts with high diastereoselectivity via Zimmerman-Traxler transition states.","Key concepts: Bu2BOTf-mediated enolization of oxazolidinones, Z-enolate control, Zimmerman-Traxler transition-state model, and syn-selective carbon–carbon bond formation using Evans auxiliaries.",named reactions_214.jpg
p163,163,Evans Aldol Reaction – Synthetic Applications,Synthetic Applications,application_example,Evans Aldol Reaction,Evans Aldol Reaction,"Application page for the Evans aldol reaction featuring syntheses of glucolipsin A, the pentapeptide S fragment of bleomycin A2, and (-)-FR182877 through highly syn-selective boron-mediated aldol additions of chiral oxazolidinone derivatives to complex aldehydes.","Examples emphasize excellent syn diastereoselectivity, use of Bu2BOTf/DIPEA or boron enolate conditions, and direct incorporation of aldol fragments into advanced natural-product synthesis campaigns.",named reactions_215.jpg
