page_label,page_no,title,section_name,page_kind,reference_family_name,family_names,summary,notes,image_filename
p164,164,Favorskii and Homo-Favorskii Rearrangement – Importance and Mechanism,Importance; Mechanism,canonical_overview,Favorskii Rearrangement,Favorskii Rearrangement|Homo-Favorskii Rearrangement|Quasi-Favorskii Rearrangement,"Overview page for the Favorskii and homo-Favorskii rearrangements describing skeletal rearrangement of alpha-halo ketones and ring-expanded or ring-contracted beta-halo ketones under basic conditions, often via cyclopropanone or cyclobutanone intermediates that are trapped by external nucleophiles.","Key concepts: alpha-halo ketone rearrangement, cyclopropanone and cyclobutanone intermediates, regioselective ring opening, nucleophile trapping, and distinction between classical Favorskii, homo-Favorskii, and quasi-Favorskii pathways.",named reactions_216.jpg
p165,165,Favorskii and Homo-Favorskii Rearrangement – Synthetic Applications,Synthetic Applications,application_example,Favorskii Rearrangement,Favorskii Rearrangement|Homo-Favorskii Rearrangement,"Application page for the Favorskii and homo-Favorskii rearrangements featuring construction of a hexacyclic cage framework, stereoselective conversion of a carvone-derived chlorohydrin to (+)-dihydronepetalactone, and rearrangement-based ring editing en route to (+)-kelsoene.","Examples emphasize base-promoted rearrangement of bridged or bicyclic halo ketones, selective trapping of rearranged cyclopentanecarboxylates, and strategic use of ketone removal or ring-contraction sequences in terpene synthesis.",named reactions_217.jpg
p166,166,Feist-Bénary Furan Synthesis – Importance and Mechanism,Importance; Mechanism,canonical_overview,Feist-Bénary Furan Synthesis,Feist-Bénary Furan Synthesis|Interrupted Feist-Bénary Furan Synthesis,"Overview page for the Feist-Bénary furan synthesis describing base-mediated condensation of beta-keto esters with alpha-halogenated carbonyl compounds to form substituted furans, often through isolable dihydrofuranol or 1,4-dicarbonyl intermediates.","Key concepts: beta-keto ester enolate addition, intramolecular substitution, interrupted Feist-Bénary variants, acid-promoted dehydration, and access to highly substituted furan products.",named reactions_218.jpg
p167,167,Feist-Bénary Furan Synthesis – Synthetic Applications,Synthetic Applications,application_example,Feist-Bénary Furan Synthesis,Feist-Bénary Furan Synthesis,"Application page for the Feist-Bénary furan synthesis featuring assembly of the 7-deoxy zaragozic acid core, synthesis of 2,4-bis(trifluoromethyl)furan and furolignan derivatives, and preparation of patulin via oxidation of a disubstituted furan intermediate.","Examples emphasize interrupted and classical Feist-Bénary conditions, divergent C- versus O-alkylation behavior, and strategic deployment of substituted furans in natural-product synthesis.",named reactions_219.jpg
p168,168,Ferrier Reaction / Rearrangement – Importance and Mechanism,Importance; Mechanism,canonical_overview,Ferrier Reaction,Ferrier Reaction|Ferrier Rearrangement,"Overview page for the Ferrier reaction / rearrangement describing Lewis-acid-promoted conversion of unsaturated carbohydrate derivatives into 2,3-unsaturated glycosides or highly substituted cyclohexanones through allyloxycarbenium or ketoaldehyde intermediates.","Key concepts: Type I Ferrier reaction, Type II Ferrier rearrangement, allyloxycarbenium formation, nucleophilic addition to glycals, and aldol-like cyclization of enol ethers to cyclohexanones.",named reactions_220.jpg
p169,169,Ferrier Reaction / Rearrangement – Synthetic Applications,Synthetic Applications,application_example,Ferrier Reaction,Ferrier Reaction|Ferrier Rearrangement,"Application page for the Ferrier reaction / rearrangement featuring beta-linked C-disaccharide formation, assembly of (+)-4,5-deoxynodolabelline, and Type II Ferrier rearrangement routes to paniculide A and (+)-lycoricidine.","Examples emphasize glycal activation by boron trifluoride or mercury salts, selective hydrogenation or oxidation downstream of the rearrangement, and use of Ferrier chemistry to construct densely functionalized carbohydrate-derived rings.",named reactions_221.jpg
p170,170,Finkelstein Reaction – Importance and Mechanism,Importance; Mechanism,canonical_overview,Finkelstein Reaction,Finkelstein Reaction,"Overview page for the Finkelstein reaction describing halide exchange in alkyl halides driven by differential solubility of sodium halides in polar aprotic solvents, most often exchanging chlorides or bromides for iodides under SN2 conditions.","Key concepts: sodium iodide in acetone, precipitation-driven equilibrium, SN2 halogen exchange, behavior of primary versus hindered substrates, and related conversion of sulfonates or pseudohalides.",named reactions_222.jpg
p171,171,Finkelstein Reaction – Synthetic Applications,Synthetic Applications,application_example,Finkelstein Reaction,Finkelstein Reaction,"Application page for the Finkelstein reaction featuring iodide formation en route to (-)-stenine, benzylic bromide to bromide/iodide exchange for an RP 66453 macrocycle precursor, aryl iodide preparation for nakijiquinone synthesis, and double Finkelstein exchange in the route to (-)-brefeldin A.","Examples emphasize mesylate activation followed by NaI or LiBr displacement, generation of highly reactive alkyl iodides for downstream cyclization, and tandem halide-exchange strategies in complex-molecule synthesis.",named reactions_223.jpg
p172,172,Fischer Indole Synthesis – Importance and Mechanism,Importance; Mechanism,canonical_overview,Fischer Indole Synthesis,Fischer Indole Synthesis|Japp-Klingemann Reaction,Overview page for the Fischer indole synthesis describing acid- or Lewis-acid-catalyzed indolization of arylhydrazones derived from ketones or aldehydes to furnish substituted indoles through ene-hydrazine rearrangement and ring closure.,"Key concepts: hydrazone formation, ene-hydrazine tautomerization, [3,3]-sigmatropic rearrangement, proton-transfer-driven cyclization, and the role of acidity and substitution in regiocontrol.",named reactions_224.jpg
p173,173,Fischer Indole Synthesis – Synthetic Applications,Synthetic Applications,application_example,Fischer Indole Synthesis,Fischer Indole Synthesis|Japp-Klingemann Reaction,"Application page for the Fischer indole synthesis featuring syntheses of (+)-deethylibophyllidine, (+)-aspidospermidine, (+)-peduncularine, and tryprostatin A using highly regioselective indolization of complex ketones or hydrazones.","Examples emphasize use of phenylhydrazine or arylhydrazones under acetic acid or sulfuric acid conditions, late-stage indolization in alkaloid synthesis, and control of regiochemistry through substrate and hydrazine substitution.",named reactions_225.jpg
