page_label,page_no,title,section_name,page_kind,reference_family_name,family_names,summary,notes,image_filename
p254,254,KRÖHNKE PYRIDINE SYNTHESIS,Importance; Mechanism,canonical_overview,Kröhnke Pyridine Synthesis,Kröhnke Pyridine Synthesis|Krohnke pyridine synthesis,"Overview page for the Kröhnke pyridine synthesis describing the condensation of pyridinium salts derived from alpha-haloketones with alpha,beta-unsaturated ketones and ammonia equivalents to furnish substituted pyridines.","Key concepts: preparation of acylmethylpyridinium salts from alpha-haloketones and pyridine; Michael addition to enones; 1,5-diketone formation; cyclization with ammonium acetate or related ammonia surrogates; and direct pyridine formation without separate oxidation.",named reactions_306.jpg
p255,255,KRÖHNKE PYRIDINE SYNTHESIS,Synthetic Applications,application_example,Kröhnke Pyridine Synthesis,Kröhnke Pyridine Synthesis|Krohnke pyridine synthesis,"Application page for the Kröhnke pyridine synthesis featuring pyridine-type P,N-ligands from pinocarvone, a sexipyridine macrocycle, a topoisomerase-inhibitor pyridine, and tetrahydroquinoline-based ligands assembled through late-stage pyridine annulation.","Examples emphasize monoterpene-derived enones, multiple Still-type couplings preceding Kröhnke annulation, heteroaryl enone partners, and use of pyridine construction as a convergent route to ligand and medicinal-chemistry scaffolds.",named reactions_307.jpg
p256,256,KULINKOVICH REACTION,Importance; Mechanism,canonical_overview,Kulinovich Reaction,Kulinovich Reaction|Kulinkovich reaction,Overview page for the Kulinkovich reaction describing titanium-mediated conversion of esters or amides into 1-alkylcyclopropanols and cyclopropylamines using Grignard reagents and titanium alkoxides.,Key concepts: generation of titanacyclopropane from Ti(O-i-Pr)4 and EtMgBr or related Grignard reagents; dialkylation of esters or amides; cis-selective cyclopropane formation; sensitivity to steric demand and substrate class; and catalytic variants using reduced titanium loadings.,named reactions_308.jpg
p257,257,KULINKOVICH REACTION,Synthetic Applications,application_example,Kulinovich Reaction,Kulinovich Reaction|Kulinkovich reaction,"Application page for the Kulinkovich reaction featuring (S)-cleonin, bicyclic cyclopropylamines from N-allylamides, bicyclo[5.3.0]decan-3-ones from tethered amides, and fused bicyclic products from dialkenylcyclopropanols.","Examples emphasize use of substituted serine-derived esters, intramolecular Kulinkovich cyclizations of allylic amides, tandem ring-expansion/cyclization sequences after cyclopropane formation, and oxy-Cope rearrangements of cis-1,2-divinylcyclopropanols.",named reactions_309.jpg
p258,258,KUMADA CROSS-COUPLING,Importance; Mechanism,canonical_overview,Kumada Cross-Coupling,Kumada Cross-Coupling|Kumada cross-coupling|Kumada-Corriu coupling,Overview page for the Kumada cross-coupling describing transition-metal-catalyzed union of aryl or alkenyl halides with Grignard or organolithium reagents to form carbon-carbon bonds.,Key concepts: Ni- or Pd-catalyzed oxidative addition/transmetalation/reductive elimination cycles; stereoretentive coupling of alkenyl halides; dependence of reactivity on ligand and halide type; and tradeoffs between organomagnesium and more reactive organolithium or organoaluminum partners.,named reactions_310.jpg
p259,259,KUMADA CROSS-COUPLING,Synthetic Applications,application_example,Kumada Cross-Coupling,Kumada Cross-Coupling|Kumada cross-coupling|Kumada-Corriu coupling,"Application page for the Kumada cross-coupling featuring (+)-ambruticin, [18]dehydrodexoxyepothilone B, tetrahydrocannabinol derivatives, and an atropisomeric diazahelicene precursor assembled through stereospecific vinyl-iodide or enol-phosphate coupling.","Examples emphasize preservation of vinyl-halide geometry, late-stage installation of conjugated dienes or methyl substituents, coupling of enol phosphates with MeMgCl, and C2-symmetric atroposelective scaffold construction via bis-triflate cross-coupling.",named reactions_311.jpg
p260,260,LAROCK INDOLE SYNTHESIS,Importance; Mechanism,canonical_overview,Larock Indole Synthesis,Larock Indole Synthesis|Larock indole synthesis|Larock heteroannulation,"Overview page for the Larock indole synthesis describing Pd-catalyzed heteroannulation of o-iodoanilines with internal alkynes to furnish 2,3-disubstituted indoles or fused indole systems.","Key concepts: oxidative addition of o-iodoanilines, alkyne carbopalladation, regioselectivity governed by alkyne substituent size, chloride additives and base requirements, and modified fused-system variants employing o-iodoaniline-derived imines.",named reactions_312.jpg
p261,261,LAROCK INDOLE SYNTHESIS,Synthetic Applications,application_example,Larock Indole Synthesis,Larock Indole Synthesis|Larock indole synthesis|Larock heteroannulation,"Application page for the Larock indole synthesis featuring (-)-fuschiaefoline, a gonadotropin-releasing hormone antagonist, 5-azaindoles, and a C-glycosyl iso-tryptophan assembled through coupling of substituted o-iodoanilines with internal or terminal alkynes.","Examples emphasize enantioenriched Schollkopf-derived alkynes, aminoiodopyridine substrates for azaindole synthesis, silver-assisted iododesilylation relay strategies, and unusual regioselectivity reversal in glycosyl-propargyl glycine annulations.",named reactions_313.jpg
p262,262,LEY OXIDATION,Importance; Mechanism,canonical_overview,Ley Oxidation,Ley Oxidation|Ley oxidation|TPAP oxidation,Overview page for the Ley oxidation describing TPAP/NMO-mediated oxidation of primary and secondary alcohols to aldehydes and ketones under mild nonaqueous conditions.,Key concepts: catalytic ruthenate reoxidation by NMO or related co-oxidants; use of TPAP with finely ground 4A molecular sieves; mild room-temperature oxidation in CH2Cl2 or MeCN; and adaptation to sensitive multifunctional substrates on small or large scale.,named reactions_314.jpg
p263,263,LEY OXIDATION,Synthetic Applications,application_example,Ley Oxidation,Ley Oxidation|Ley oxidation|TPAP oxidation,"Application page for the Ley oxidation featuring (-)-pironetin, allocyathin B3, a zoanthamine intermediate, and an N-Boc-valine-Adda fragment assembled through mild TPAP/NMO oxidation of primary or secondary alcohols.","Examples emphasize direct relay of crude aldehydes into lactone annulation, oxidation of sterically congested terpene alcohols to ketones, tandem Pd-catalyzed hydrostannylation followed by mild Ley oxidation, and hydrated-aldehyde oxidation to carboxylic acids under modified TPAP/NMO/H2O conditions.",named reactions_315.jpg
