page_label,page_no,title,section_name,page_kind,summary,family_names,reference_family_name,notes,image_filename
p456,456,TISHCHENKO REACTION,Importance; Mechanism,canonical_overview,Overview page for the Tishchenko reaction describing dimerization or crossed coupling of aldehydes to esters through hydride transfer catalyzed by metal alkoxides or related Lewis acidic systems.,Tishchenko Reaction,Tishchenko Reaction,"Covers traditional, crossed, aldol-Tishchenko, and Evans-Tishchenko variants with emphasis on aldehyde disproportionation to esters and 1,3-diol monoester formation.",named reactions_508.jpg
p457,457,TISHCHENKO REACTION,Synthetic Applications,application_example,"Application page for the Tishchenko reaction highlighting Evans-Tishchenko and related aldol-Tishchenko strategies in the syntheses of sarain A, rapamycin, and rhizoxin D.",Tishchenko Reaction,Tishchenko Reaction,Examples emphasize SmI2-mediated anti-selective monoester formation and tandem aldol/Tishchenko sequences in complex natural product synthesis.,named reactions_509.jpg
p458,458,TSUJI-TROST REACTION / ALLYLATION,Importance; Mechanism,canonical_overview,Overview page for the Tsuji-Trost allylation describing Pd-catalyzed substitution of allylic electrophiles by soft or hard nucleophiles through π-allylpalladium intermediates.,Tsuji-Trost Reaction / Allylation,Tsuji-Trost Reaction / Allylation,"Focuses on allylic substitution, regioselectivity with soft versus hard nucleophiles, and retention or inversion trends in Pd-mediated allylation chemistry.",named reactions_510.jpg
p459,459,TSUJI-TROST REACTION / ALLYLATION,Synthetic Applications,application_example,"Application page for the Tsuji-Trost reaction showing intramolecular and intermolecular allylations in the syntheses of FR182877, biotin, cristatc acid, and amphidinolide K fragments.",Tsuji-Trost Reaction / Allylation,Tsuji-Trost Reaction / Allylation,"Examples highlight carbon, nitrogen, oxygen, and sulfone-derived soft nucleophiles in allylic substitution during target-oriented synthesis.",named reactions_511.jpg
p460,460,TSUJI-WILKINSON DECARBONYLATION REACTION,Importance; Mechanism,canonical_overview,Overview page for the Tsuji-Wilkinson decarbonylation describing RhCl(PPh3)3-mediated removal of formyl groups from aldehydes and acyl halides to give decarbonylated hydrocarbons or halides.,Tsuji-Wilkinson Decarbonylation Reaction,Tsuji-Wilkinson Decarbonylation Reaction,"Emphasizes Wilkinson catalyst promoted decarbonylation of aldehydes, acyl halides, and 1,2-diketones with retention of stereochemistry at the formyl-bearing center.",named reactions_512.jpg
p461,461,TSUJI-WILKINSON DECARBONYLATION REACTION,Synthetic Applications,application_example,"Application page for the Tsuji-Wilkinson decarbonylation featuring formyl-group removal in the syntheses of FR-900482 core, neuroactive benzo[e]indenes, gomisin J, and aphanamol I.",Tsuji-Wilkinson Decarbonylation Reaction,Tsuji-Wilkinson Decarbonylation Reaction,Representative examples show selective deformylation late in synthesis using RhCl(PPh3)3 under reflux conditions.,named reactions_513.jpg
p462,462,UGI MULTICOMPONENT REACTION,Importance; Mechanism,canonical_overview,"Overview page for the Ugi multicomponent reaction describing four-component coupling of amines, carbonyl compounds, isocyanides, and nucleophiles such as carboxylic acids to furnish α-acylamino amides and related products.",Ugi Multicomponent Reaction,Ugi Multicomponent Reaction,"Highlights the classical Ugi four-component reaction together with hydantoin, thiourea, and tetrazole-producing variants derived from alternative acidic components.",named reactions_514.jpg
p463,463,UGI MULTICOMPONENT REACTION,Synthetic Applications,application_example,"Application page for the Ugi multicomponent reaction showing use in the syntheses of furanomycin, ecteinascidin 743 fragments, and ketopiperazine libraries.",Ugi Multicomponent Reaction,Ugi Multicomponent Reaction,Examples emphasize rapid multicomponent assembly of peptide-like and alkaloid-oriented scaffolds followed by deprotection or cyclization.,named reactions_515.jpg
p464,464,ULLMANN BIARYL ETHER AND BIARYL AMINE SYNTHESIS / CONDENSATION,Importance; Mechanism,canonical_overview,Overview page for Ullmann biaryl ether and biaryl amine synthesis describing Cu-mediated coupling of aryl halides with phenols or arylamines to form biaryl ethers and diarylamines.,Ullmann Biaryl Ether and Biaryl Amine Synthesis / Condensation,Ullmann Biaryl Ether and Biaryl Amine Synthesis / Condensation,"Summarizes classical high-temperature Ullmann conditions and modified Cu(I)/Cu(II)-mediated protocols for ether, amine, and sulfide bond formation.",named reactions_516.jpg
p465,465,ULLMANN BIARYL ETHER AND BIARYL AMINE SYNTHESIS / CONDENSATION,Synthetic Applications,application_example,"Application page for Ullmann condensation featuring macrocyclizations and biaryl ether/amine formation in the syntheses of combretastatin D-2, diepoxin σ, vancomycin model systems, and SB-214857.",Ullmann Biaryl Ether and Biaryl Amine Synthesis / Condensation,Ullmann Biaryl Ether and Biaryl Amine Synthesis / Condensation,Examples showcase intramolecular and intermolecular Cu-mediated aryl O- and N-couplings under both classical and modified Ullmann conditions.,named reactions_517.jpg
