page_label,page_no,title,section_name,page_kind,reference_family_name,family_names,summary,notes,image_filename
p114,114,Criegee Oxidation – Importance and Mechanism,Importance; Mechanism,canonical_overview,Criegee Oxidation,Criegee Oxidation,"Overview page for the Criegee oxidation describing oxidative cleavage of vicinal diols to carbonyl compounds with lead tetraacetate under anhydrous organic conditions, including cyclic and acyclic substrates and mechanistic pathways involving lead glycolate intermediates.","Key concepts: vicinal diol cleavage, Pb(OAc)4-mediated oxidation, lead glycolate intermediates, carbonyl-fragment generation from cyclic and acyclic 1,2-diols.",named reactions_166.jpg
p115,115,Criegee Oxidation – Synthetic Applications,Synthetic Applications,application_example,Criegee Oxidation,Criegee Oxidation,"Application page for the Criegee oxidation featuring selective cleavage of advanced vicinal diols in syntheses of linear triquinanes, halicholactone, (+)-pyrenolide B, and (+)-silphinene, often paired with downstream ozonolysis, allylation, or ring-expansion sequences.",Examples emphasize mild oxidative C–C bond cleavage within densely functionalized bicyclic and tricyclic diol systems.,named reactions_167.jpg
p116,116,Curtius Rearrangement – Importance and Mechanism,Importance; Mechanism,canonical_overview,Curtius Rearrangement,Curtius Rearrangement,"Overview page for the Curtius rearrangement describing thermal decomposition of acyl azides to isocyanates, which are then intercepted by water, amines, or alcohols to furnish amines, ureas, and carbamates. The page also compares routes from acid chlorides, mixed anhydrides, and carboxylic acids using azide-transfer reagents such as DPPA or trimethylsilyl azide.","Key concepts: acyl azide formation, thermal loss of N2, isocyanate intermediates, amine/urea/carbamate product formation.",named reactions_168.jpg
p117,117,Curtius Rearrangement – Synthetic Applications,Synthetic Applications,application_example,Curtius Rearrangement,Curtius Rearrangement,"Application page for the Curtius rearrangement featuring isocyanate capture and carbamate formation in syntheses of (-)-cytoxazone, streptonigrone, (+/-)-TAN1251A, and pancratistatin from advanced carboxylic acid intermediates.",Examples highlight intramolecular trapping of isocyanates and late-stage amine or carbamate installation in complex targets.,named reactions_169.jpg
p118,118,Dakin Oxidation – Importance and Mechanism,Importance; Mechanism,canonical_overview,Dakin Oxidation,Dakin Oxidation,"Overview page for the Dakin oxidation describing conversion of ortho- or para-hydroxylated, alkoxylated, or amino-substituted aromatic aldehydes and ketones to substituted phenols using hydrogen peroxide or organic peracids under basic conditions through O-acylphenol intermediates.","Key concepts: hydroperoxide addition, 1,2-aryl shift, O-acylphenol intermediates, substituted phenol formation from activated aromatic carbonyl compounds.",named reactions_170.jpg
p119,119,Dakin Oxidation – Synthetic Applications,Synthetic Applications,application_example,Dakin Oxidation,Dakin Oxidation,"Application page for the Dakin oxidation featuring modified peroxide/seleninic acid conditions in syntheses of vineomycinone B2 methyl ester, selectively protected L-Dopa derivatives, and carboxyfluorescein precursors from substituted aromatic aldehydes.",Examples emphasize chemoselective phenol unveiling and oxygenation within multifunctional anthracene and catechol-derived systems.,named reactions_171.jpg
p120,120,Dakin-West Reaction – Importance and Mechanism,Importance; Mechanism,canonical_overview,Dakin-West Reaction,Dakin-West Reaction,"Overview page for the Dakin-West reaction describing conversion of alpha-amino acids into alpha-acylamino ketones by treatment with acid anhydrides and base through mixed anhydride and oxazolone intermediates, followed by acyl transfer and decarboxylation.","Key concepts: amino-acid N-acylation, mixed anhydride formation, oxazolone intermediates, alpha-acylamino ketone formation.",named reactions_172.jpg
p121,121,Dakin-West Reaction – Synthetic Applications,Synthetic Applications,application_example,Dakin-West Reaction,Dakin-West Reaction,"Application page for the Dakin-West reaction featuring preparation of alpha-aminoketone building blocks and peptidomimetics, including 2-methylsulfanyl imidazoles, ketomethylene pseudopeptide analogues, 3,9-diazabicyclo[3.3.1]non-6-en-2-one scaffolds, and oxazole-containing dual PPAR agonists.",Examples show the reaction as a flexible amino-acid-to-ketone platform for medicinal chemistry and heterocycle synthesis.,named reactions_173.jpg
p122,122,Danheiser Benzannulation – Importance and Mechanism,Importance; Mechanism,canonical_overview,Danheiser Benzannulation,Danheiser Benzannulation,"Overview page for the Danheiser benzannulation describing conversion of cyclobutenones or alpha-diazoketones and activated heterosubstituted alkynes into highly substituted aromatic rings through vinylketene generation, cycloaddition, electrocyclic ring opening, and dienylketene rearrangement.","Key concepts: cyclobutenone annulation, vinylketene intermediates, [2+2] cycloaddition/electrocyclic cascade, highly substituted aromatic ring synthesis.",named reactions_174.jpg
p123,123,Danheiser Benzannulation – Synthetic Applications,Synthetic Applications,application_example,Danheiser Benzannulation,Danheiser Benzannulation,"Application page for the Danheiser benzannulation featuring aromatic annulation steps in syntheses of hyellazole, Δ-6-tetrahydrocannabinol, and (-)-cylindrocyclophane F from diazoketone or alkoxyacetylene precursors.",Examples emphasize convergent arene construction from activated alkynes and advanced cyclobutenone or diazoketone partners.,named reactions_175.jpg
