page_label,page_no,title,section_name,page_kind,reference_family_name,family_names,summary,notes,image_filename
p62,62,Bischler-Napieralski Isoquinoline Synthesis – Importance and Mechanism,Importance; Mechanism,canonical_overview,Bischler-Napieralski Isoquinoline Synthesis,Bischler-Napieralski Isoquinoline Synthesis,"Overview page for the Bischler-Napieralski isoquinoline synthesis describing cyclodehydration of acylated phenethylamines with dehydrating agents such as POCl3, P2O5, PPA, or Tf2O to give 3,4-dihydroisoquinolines or isoquinolines through intramolecular electrophilic aromatic substitution.","Key concepts: cyclodehydration, acyliminium-like activation, isoquinoline assembly.",named reactions_114.jpg
p63,63,Bischler-Napieralski Isoquinoline Synthesis – Synthetic Applications,Synthetic Applications,application_example,Bischler-Napieralski Isoquinoline Synthesis,Bischler-Napieralski Isoquinoline Synthesis,"Application page for the Bischler-Napieralski isoquinoline synthesis featuring annoretine, yohimbane/alloyohimbane, ancistrocladine, melinonine-E, and strychnoxanthine-type alkaloid frameworks assembled through isoquinoline-forming cyclization.",Natural-product-oriented isoquinoline annulation examples.,named reactions_115.jpg
p64,64,Brook Rearrangement – Importance and Mechanism,Importance; Mechanism,canonical_overview,Brook Rearrangement,Brook Rearrangement,"Overview page for the Brook rearrangement describing intramolecular migration of a silyl group from carbon to oxygen under anionic conditions, including [1,2]- and [1,n]-silyl shifts through pentacoordinate silicon intermediates and the reverse retro-Brook process.","Key concepts: acyl silanes, silyl migration, pentacoordinate silicon.",named reactions_116.jpg
p65,65,Brook Rearrangement – Synthetic Applications,Synthetic Applications,application_example,Brook Rearrangement,Brook Rearrangement,"Application page for the Brook rearrangement featuring eight-membered carbocycle synthesis, the spirocyclic core of fredericamycin A, cyathin tricycles, and (+)-onocerin through Brook-mediated annulation, rearrangement/cyclization, or dimerization logic.",Annulation and ring-expansion applications from acyl silanes.,named reactions_117.jpg
p66,66,Brown Hydroboration Reaction – Importance and Mechanism,Importance; Mechanism,canonical_overview,Brown Hydroboration Reaction,Brown Hydroboration Reaction,"Overview page for the Brown hydroboration reaction describing regio- and stereoselective addition of borane across alkenes or alkynes to form organoboranes, typically with anti-Markovnikov selectivity, followed by oxidation or other transformations.","Key concepts: BH3 addition, four-centered transition state, organoboranes.",named reactions_118.jpg
p67,67,Brown Hydroboration Reaction – Synthetic Applications,Synthetic Applications,application_example,Brown Hydroboration Reaction,Brown Hydroboration Reaction,"Application page for the Brown hydroboration reaction featuring trinerine, cis-fused decalin synthesis, rhodium-catalyzed asymmetric hydroboration of styrenes, and the total synthesis of (-)-cassine via hydroboration/oxidation sequences.",Hydroboration/oxidation and catalytic asymmetric hydroboration examples.,named reactions_119.jpg
p68,68,Buchner Method of Ring Expansion – Importance and Mechanism,Importance; Mechanism,canonical_overview,Buchner Method of Ring Expansion,Buchner Method of Ring Expansion,"Overview page for the Buchner method of ring expansion describing carbene or metal-carbenoid addition to aromatic rings, formation of norcaradiene intermediates, and electrocyclic rearrangement to cycloheptatriene derivatives.","Key concepts: diazo esters, rhodium carbenoids, norcaradiene/cycloheptatriene equilibrium.",named reactions_120.jpg
p69,69,Buchner Method of Ring Expansion – Synthetic Applications,Synthetic Applications,application_example,Buchner Method of Ring Expansion,Buchner Method of Ring Expansion,"Application page for the Buchner method of ring expansion featuring azulene synthesis toward egualen sodium (KT1-32), fullerene functionalization, and harringtonolide construction through Buchner-mediated seven-membered ring formation.",Ring-expansion and cycloheptatriene-based target synthesis examples.,named reactions_121.jpg
p70,70,Buchwald-Hartwig Cross-Coupling – Importance and Mechanism,Importance; Mechanism,canonical_overview,Buchwald-Hartwig Cross-Coupling,Buchwald-Hartwig Cross-Coupling,"Overview page for the Buchwald-Hartwig cross-coupling describing palladium-catalyzed C-N and C-O bond formation between aryl halides or sulfonates and amines or alkoxides under basic conditions via oxidative addition, amido/alkoxo palladium formation, and reductive elimination.","Key concepts: Pd catalysis, ligand-controlled amination/etherification.",named reactions_122.jpg
p71,71,Buchwald-Hartwig Cross-Coupling – Synthetic Applications,Synthetic Applications,application_example,Buchwald-Hartwig Cross-Coupling,Buchwald-Hartwig Cross-Coupling,"Application page for the Buchwald-Hartwig cross-coupling featuring cyclazocine amine derivatives, 1,2-aziridinomitosene synthesis, and polysubstituted phenazines assembled by Pd-catalyzed aryl amination.",Representative amination-driven target syntheses.,named reactions_123.jpg
