source_label,page_label,page_no,title,section_name,page_kind,summary,family_names,reference_family_name,notes,image_filename
named_reactions_frontmatter_batch10,p52,52,Benzilic Acid Rearrangement – Importance and Mechanism,VII. Named Organic Reactions in Alphabetical Order,canonical_overview,"Overview page for the benzilic acid rearrangement describing base-induced rearrangement of alpha-diketones into alpha-hydroxy carboxylic acid salts through nucleophilic addition, 1,2-shift, and proton-transfer steps. The page also highlights ring-contraction variants and retro-benzilic acid rearrangements in cyclic systems.",Benzilic Acid Rearrangement,Benzilic Acid Rearrangement,"Emphasizes hydroxide or alkoxide attack on diketones, irreversible migration, and formation of alpha-hydroxy acid products from acyclic or cyclic alpha-diketones.",named reactions_104.jpg
named_reactions_frontmatter_batch10,p53,53,Benzilic Acid Rearrangement – Synthetic Applications,VII. Named Organic Reactions in Alphabetical Order,application_example,"Application page for the benzilic acid rearrangement featuring ring-contraction of a pyranosylated indolocarbazole toward the carbohydrate moiety of (+)-K252a, steroidal ketolactol rearrangement to a novel 5-ring D-homosteroid, retro-benzilic acid access to hinesol and agarospirol, and rearrangement routes to shinjulactone derivatives.",Benzilic Acid Rearrangement,Benzilic Acid Rearrangement,"Applications stress ring contraction, skeletal editing, and base-controlled migration in complex natural-product frameworks.",named reactions_105.jpg
named_reactions_frontmatter_batch10,p54,54,Benzoin and Retro-Benzoin Condensation – Importance and Mechanism,VII. Named Organic Reactions in Alphabetical Order,canonical_overview,"Overview page for the benzoin and retro-benzoin condensation describing cyanide- or thiazolium-catalyzed umpolung coupling of aldehydes to alpha-hydroxy ketones and the reverse fragmentation of benzoins back to carbonyl compounds. The mechanism highlights cyanohydrin-type activation, Breslow-type thiazolium intermediates, proton transfer, and catalyst turnover.",Benzoin and Retro-Benzoin Condensation,Benzoin and Retro-Benzoin Condensation,"The page frames classical cyanide catalysis and modern thiazolium/NHC catalysis as complementary benzoin manifolds, with retro-benzoin cleavage as a useful ketone-forming strategy.",named reactions_106.jpg
named_reactions_frontmatter_batch10,p55,55,Benzoin and Retro-Benzoin Condensation – Synthetic Applications,VII. Named Organic Reactions in Alphabetical Order,application_example,"Application page for the benzoin and retro-benzoin condensation featuring ketone synthesis via cleavage of alpha-benzyloins, access to 2-substituted quinazolines, catalytic crossed aldehyde-ketone benzoin condensation to functionalized preanthraquinones, and benzoin-based assembly of diarylimidazoles.",Benzoin and Retro-Benzoin Condensation,Benzoin and Retro-Benzoin Condensation,Applications show both constructive C-C bond formation and retro-benzoin fragmentation logic in heteroaromatic and medicinally relevant settings.,named reactions_107.jpg
named_reactions_frontmatter_batch10,p56,56,Bergman Cycloaromatization Reaction – Importance and Mechanism,VII. Named Organic Reactions in Alphabetical Order,canonical_overview,Overview page for the Bergman cycloaromatization reaction describing thermal or metal-assisted cycloaromatization of enediynes to benzenoid diradicals that abstract hydrogen atoms from donors such as cyclohexadiene. The page emphasizes distance and geometry requirements of the enediyne and the relevance of the resulting diradical to DNA-cleaving natural products.,Bergman Cycloaromatization Reaction,Bergman Cycloaromatization Reaction,"Focuses on enediyne-to-aromatic conversion, benzenoid diradical formation, and conditions such as 150-200 °C or Mg2+-induced cyclization.",named reactions_108.jpg
named_reactions_frontmatter_batch10,p57,57,Bergman Cycloaromatization Reaction – Synthetic Applications,VII. Named Organic Reactions in Alphabetical Order,application_example,"Application page for the Bergman cycloaromatization reaction featuring 10-membered pyrimidine enediynes, [n]phenacenoporphyrins, calicheamicin/speramicin-inspired trisulfide-triggered cyclizations, 7-methyl-2-methylene-acenaphthen-1-ol, and 2-tert-butylperylene.",Bergman Cycloaromatization Reaction,Bergman Cycloaromatization Reaction,Applications highlight triggerable enediyne activation and rapid fused-ring construction from the initially formed diradical.,named reactions_109.jpg
named_reactions_frontmatter_batch10,p58,58,Biginelli Reaction – Importance and Mechanism,VII. Named Organic Reactions in Alphabetical Order,canonical_overview,"Overview page for the Biginelli reaction describing acid-catalyzed three-component condensation of an aldehyde, a beta-keto ester, and urea or thiourea to give dihydropyrimidinones or related heterocycles. The mechanism features N-acyliminium-ion formation, enolized beta-keto ester attack, and cyclodehydration.",Biginelli Reaction,Biginelli Reaction,"The page collects classical and modified Biginelli conditions, including Atwal and Shuvalov-type variants, and emphasizes DHPM synthesis.",named reactions_110.jpg
named_reactions_frontmatter_batch10,p59,59,Biginelli Reaction – Synthetic Applications,VII. Named Organic Reactions in Alphabetical Order,application_example,"Application page for the Biginelli reaction featuring total syntheses of isocrambescidin 800, monastrol, and batzelladine F through tethered or intermolecular multicomponent condensation strategies.",Biginelli Reaction,Biginelli Reaction,Applications show enantioselective/tethered Biginelli manifolds and medicinally relevant DHPM scaffolds.,named reactions_111.jpg
named_reactions_frontmatter_batch10,p60,60,Birch Reduction – Importance and Mechanism,VII. Named Organic Reactions in Alphabetical Order,canonical_overview,"Overview page for the Birch reduction describing dissolving-metal reduction of aromatic rings or electron-poor heteroarenes with alkali metals in liquid ammonia and an alcohol proton source to give unconjugated cyclohexadienes or partially reduced heterocycles. The mechanism proceeds through sequential electron transfer, radical anion formation, protonation, and regiocontrolled second electron/proton delivery.",Birch Reduction,Birch Reduction,"Highlights substituent-dependent regioselectivity, use of Li or Na in NH3(l), and applicability to pyridines, furans, and related systems under electron-withdrawing substitution.",named reactions_112.jpg
named_reactions_frontmatter_batch10,p61,61,Birch Reduction – Synthetic Applications,VII. Named Organic Reactions in Alphabetical Order,application_example,"Application page for the Birch reduction featuring syntheses of (-)-taxol, (+)-apovincamine, galbulimima alkaloid GB 13, substituted 2-pyrrolines, and (+)-nemorensic acid through regioselective arene or heteroarene reduction and Birch reductive alkylation.",Birch Reduction,Birch Reduction,"Applications demonstrate Birch reductive alkylation, oxygenation after partial reduction, and strategic dearomatization in complex natural-product settings.",named reactions_113.jpg
