source_label,page_label,page_no,title,section_name,page_kind,summary,family_names,reference_family_name,notes,image_filename
named_reactions_frontmatter_batch4,xliv,44,V. List of Abbreviations (TPS to Z/Cbz),V. List of Abbreviations,abbreviation_glossary,"Abbreviation glossary page covering TPS to Z(Cbz), including trityl protecting groups, TTN, UHP, Vitride/Red-Al, and reaction-time shorthand.",,,Alias-normalization seed page.,named reactions_44.jpg
named_reactions_frontmatter_batch4,vii_cover,53,VII. Named Organic Reactions in Alphabetical Order,VII. Named Organic Reactions in Alphabetical Order,section_cover,Section cover introducing the alphabetical named reaction compendium that follows.,,,Section divider / navigation page.,named reactions_53.jpg
named_reactions_frontmatter_batch4,xlv,45,VI. List of Named Organic Reactions (Acetoacetic Ester Synthesis to Bischler-Napieralski Isoquinoline Synthesis),VI. List of Named Organic Reactions,named_reaction_index,Alphabetical named reaction index page listing 31 reactions from Acetoacetic Ester Synthesis to Bischler-Napieralski Isoquinoline Synthesis.,"Acetoacetic Ester Synthesis|Acyloin Condensation|Alder (Ene) Reaction (Hydro-Allyl Addition)|Aldol Reaction|Alkene (Olefin) Metathesis|Alkyne Metathesis|Amadori Reaction/Rearrangement|Arbuzov Reaction (Michaelis-Arbuzov Reaction)|Arndt-Eistert Homologation/Synthesis|Aza-Claisen Rearrangement (3-Aza-Cope Rearrangement)|Aza-Cope Rearrangement|Aza-Wittig Reaction|Aza[2,3]-Wittig Rearrangement|Baeyer-Villiger Oxidation/Rearrangement|Baker-Venkataraman Rearrangement|Baldwin's Rules/Guidelines for Ring-Closing Reactions|Balz-Schiemann Reaction (Schiemann Reaction)|Bamford-Stevens-Shapiro Olefination|Barbier Coupling Reaction|Bartoli Indole Synthesis|Barton Nitrite Ester Reaction|Barton Radical Decarboxylation Reaction|Barton-McCombie Radical Deoxygenation Reaction|Baylis-Hillman Reaction|Beckmann Rearrangement|Benzilic Acid Rearrangement|Benzoin and Retro-Benzoin Condensation|Bergman Cycloaromatization Reaction|Biginelli Reaction|Birch Reduction|Bischler-Napieralski Isoquinoline Synthesis",,High-value family-seed index page.,named reactions_45.jpg
named_reactions_frontmatter_batch4,xlvi,46,VI. List of Named Organic Reactions (Brook Rearrangement to Davis' Oxaziridine Oxidations),VI. List of Named Organic Reactions,named_reaction_index,Alphabetical named reaction index page listing 34 reactions from Brook Rearrangement to Davis' Oxaziridine Oxidations.,Brook Rearrangement|Brown Hydroboration Reaction|Buchner Method of Ring Expansion (Buchner Reaction)|Buchwald-Hartwig Cross-Coupling|Burgess Dehydration Reaction|Cannizzaro Reaction|Carroll Rearrangement (Kimel-Cope Rearrangement)|Castro-Stephens Coupling|Chichibabin Amination Reaction (Chichibabin Reaction)|Chugaev Elimination Reaction (Xanthate Ester Pyrolysis)|Ciamician-Dennstedt Rearrangement|Claisen Condensation/Claisen Reaction|Claisen Rearrangement|Claisen-Ireland Rearrangement|Clemmensen Reduction|Combes Quinoline Synthesis|Cope Elimination / Cope Reaction|Cope Rearrangement|Corey-Bakshi-Shibata Reduction (CBS Reduction)|Corey-Chaykovsky Epoxidation and Cyclopropanation|Corey-Fuchs Alkyne Synthesis|Corey-Kim Oxidation|Corey-Nicolaou Macrolactonization|Corey-Winter Olefination|Cornforth Rearrangement|Criegee Oxidation|Curtius Rearrangement|Dakin Oxidation|Dakin-West Reaction|Danheiser Benzannulation|Danheiser Cyclopentene Annulation|Danishefsky's Diene Cycloaddition|Darzens Glycidic Ester Condensation|Davis' Oxaziridine Oxidations,,High-value family-seed index page.,named reactions_46.jpg
named_reactions_frontmatter_batch4,xlvii,47,VI. List of Named Organic Reactions (De Mayo Cycloaddition to Heine Reaction),VI. List of Named Organic Reactions,named_reaction_index,Alphabetical named reaction index page listing 34 reactions from De Mayo Cycloaddition (Enone-Alkene [2+2] Photocycloaddition) to Heine Reaction.,"De Mayo Cycloaddition (Enone-Alkene [2+2] Photocycloaddition)|Demjanov Rearrangement and Tiffeneau-Demjanov Rearrangement|Dess-Martin Oxidation|Dieckmann Condensation|Diels-Alder Cycloaddition|Dienone-Phenol Rearrangement|Dimroth Rearrangement|Doering-LaFlamme Allene Synthesis|Dötz Benzannulation Reaction|Enders SAMP/RAMP Hydrazone Alkylation|Enyne Metathesis|Eschenmoser Methenylation|Eschenmoser-Claisen Rearrangement|Eschenmoser-Tanabe Fragmentation|Eschweiler-Clarke Methylation (Reductive Alkylation)|Evans Aldol Reaction|Favorskii and Homo-Favorskii Rearrangement|Feist-Bénary Furan Synthesis|Ferrier Reaction/Rearrangement|Finkelstein Reaction|Fischer Indole Synthesis|Fleming-Tamao Oxidation|Friedel-Crafts Acylation|Friedel-Crafts Alkylation|Fries-, Photo-Fries, and Anionic Ortho-Fries Rearrangement|Gabriel Synthesis|Gattermann and Gattermann-Koch Formylation|Glaser Coupling|Grignard Reaction|Grob Fragmentation|Hajos-Parrish Reaction|Hantzsch Dihydropyridine Synthesis|Heck Reaction|Heine Reaction",,High-value family-seed index page.,named reactions_47.jpg
named_reactions_frontmatter_batch4,xlviii,48,VI. List of Named Organic Reactions (Hell-Volhard-Zelinsky Reaction to Lossen Rearrangement),VI. List of Named Organic Reactions,named_reaction_index,Alphabetical named reaction index page listing 34 reactions from Hell-Volhard-Zelinsky Reaction to Lossen Rearrangement.,Hell-Volhard-Zelinsky Reaction|Henry Reaction|Hetero Diels-Alder Cycloaddition (HDA)|Hofmann Elimination|Hofmann-Löffler-Freytag Reaction (Remote Functionalization)|Hofmann Rearrangement|Horner-Wadsworth-Emmons Olefination|Horner-Wadsworth-Emmons Olefination – Still-Gennari Modification|Houben-Hoesch Reaction/Synthesis|Hunsdiecker Reaction|Jacobsen Hydrolytic Kinetic Resolution|Jacobsen-Katsuki Epoxidation|Japp-Klingemann Reaction|Johnson-Claisen Rearrangement|Jones Oxidation/Oxidation of Alcohols by Chromium Reagents|Julia-Lythgoe Olefination|Kagan-Molander Samarium Diiodide-Mediated Coupling|Kahne Glycosidation|Keck Asymmetric Allylation|Keck Macrolactonization|Keck Radical Allylation|Knoevenagel Condensation|Knorr Pyrrole Synthesis|Koenigs-Knorr Glycosidation|Kolbe-Schmitt Reaction|Kornblum Oxidation|Krapcho Dealkoxycarbonylation (Krapcho Reaction)|Kröhnke Pyridine Synthesis|Kulinkovich Reaction|Kumada Cross-Coupling|Larock Indole Synthesis|Ley Oxidation|Lieben Haloform Reaction|Lossen Rearrangement,,High-value family-seed index page.,named reactions_48.jpg
named_reactions_frontmatter_batch4,xlix,49,VI. List of Named Organic Reactions (Luche Reduction to Pauson-Khand Reaction),VI. List of Named Organic Reactions,named_reaction_index,Alphabetical named reaction index page listing 34 reactions from Luche Reduction to Pauson-Khand Reaction.,Luche Reduction|Madelung Indole Synthesis|Malonic Ester Synthesis|Mannich Reaction|McMurry Coupling|Meerwein Arylation|Meerwein-Ponndorf-Verley Reduction|Meisenheimer Rearrangement|Meyer-Schuster and Rupe Rearrangement|Michael Addition Reaction|Midland Alpine Borane Reduction|Minisci Reaction|Mislow-Evans Rearrangement|Mitsunobu Reaction|Miyaura Boration|Mukaiyama Aldol Reaction|Myers Asymmetric Alkylation|Nagata Hydrocyanation|Nazarov Cyclization|Neber Rearrangement|Nef Reaction|Negishi Cross-Coupling|Nenitzescu Indole Synthesis|Nicholas Reaction|Noyori Asymmetric Hydrogenation|Nozaki-Hiyama-Kishi Reaction|Oppenauer Oxidation|Overman Rearrangement|Oxy-Cope Rearrangement and Anionic Oxy-Cope Rearrangement|Paal-Knorr Furan Synthesis|Paal-Knorr Pyrrole Synthesis|Passerini Multicomponent Reaction|Paternò-Büchi Reaction|Pauson-Khand Reaction,,High-value family-seed index page.,named reactions_49.jpg
named_reactions_frontmatter_batch4,l,50,VI. List of Named Organic Reactions (Payne Rearrangement to Seyferth-Gilbert Homologation),VI. List of Named Organic Reactions,named_reaction_index,Alphabetical named reaction index page listing 34 reactions from Payne Rearrangement to Seyferth-Gilbert Homologation.,Payne Rearrangement|Perkin Reaction|Petasis Boronic Acid-Mannich Reaction|Petasis-Ferrier Rearrangement|Peterson Olefination|Pfitzner-Moffatt Oxidation|Pictet-Spengler Tetrahydroisoquinoline Synthesis|Pinacol and Semipinacol Rearrangement|Pinner Reaction|Pinnick Oxidation|Polonovski Reaction|Pomeranz-Fritsch Reaction|Prévost Reaction|Prilezhaev Reaction|Prins Reaction|Prins-Pinacol Rearrangement|Pummerer Rearrangement|Quasi-Favorskii Rearrangement|Ramberg-Bäcklund Rearrangement|Reformatsky Reaction|Regitz Diazo Transfer|Reimer-Tiemann Reaction|Riley Selenium Dioxide Oxidation|Ritter Reaction|Robinson Annulation|Roush Asymmetric Allylation|Rubottom Oxidation|Saegusa Oxidation|Sakurai Allylation|Sandmeyer Reaction|Schmidt Reaction|Schotten-Baumann Reaction|Schwartz Hydrozirconation|Seyferth-Gilbert Homologation,,High-value family-seed index page.,named reactions_50.jpg
named_reactions_frontmatter_batch4,li,51,VI. List of Named Organic Reactions (Sharpless Asymmetric Aminohydroxylation to Vinylcyclopropane-Cyclopentene Rearrangement),VI. List of Named Organic Reactions,named_reaction_index,Alphabetical named reaction index page listing 34 reactions from Sharpless Asymmetric Aminohydroxylation to Vinylcyclopropane-Cyclopentene Rearrangement.,Sharpless Asymmetric Aminohydroxylation|Sharpless Asymmetric Dihydroxylation|Sharpless Asymmetric Epoxidation|Shi Asymmetric Epoxidation|Simmons-Smith Cyclopropanation|Skraup and Doebner-Miller Quinoline Synthesis|Smiles Rearrangement|Smith-Tietze Multicomponent Dithiane Linchpin Coupling|Snieckus Directed Ortho Metalation|Sommelet-Hauser Rearrangement|Sonogashira Cross-Coupling|Staudinger Ketene Cycloaddition|Staudinger Reaction|Stephen Aldehyde Synthesis (Stephen Reduction)|Stetter Reaction|Stevens Rearrangement|Stille Carbonylative Cross-Coupling|Stille Cross-Coupling (Migita-Kosugi-Stille Coupling)|Stille-Kelly Coupling|Stobbe Condensation|Stork Enamine Synthesis|Strecker Reaction|Suzuki Cross-Coupling (Suzuki-Miyaura Cross-Coupling)|Swern Oxidation|Takai-Utimoto Olefination (Takai Reaction)|Tebbe Olefination/Petasis-Tebbe Olefination|Tishchenko Reaction|Tsuji-Trost Reaction/Allylation|Tsuji-Wilkinson Decarbonylation Reaction|Ugi Multicomponent Reaction|Ullmann Biaryl Ether and Biaryl Amine Synthesis/Condensation|Ullmann Reaction/Coupling/Biaryl Synthesis|Vilsmeier-Haack Formylation|Vinylcyclopropane-Cyclopentene Rearrangement,,High-value family-seed index page.,named reactions_51.jpg
named_reactions_frontmatter_batch4,liii,52,VI. List of Named Organic Reactions (von Pechmann Reaction to Yamaguchi Macrolactonization),VI. List of Named Organic Reactions,named_reaction_index,Alphabetical named reaction index page listing 15 reactions from von Pechmann Reaction to Yamaguchi Macrolactonization.,"von Pechmann Reaction|Wacker Oxidation|Wagner-Meerwein Rearrangement|Weinreb Ketone Synthesis|Wharton Fragmentation|Wharton Olefin Synthesis (Wharton Transposition)|Williamson Ether Synthesis|Wittig Reaction|Wittig Reaction - Schlosser Modification|Wittig-[1,2]- and [2,3]-Rearrangement|Wohl-Ziegler Bromination|Wolff Rearrangement|Wolff-Kishner Reduction|Wurtz Coupling|Yamaguchi Macrolactonization",,High-value family-seed index page.,named reactions_52.jpg
