page_label,page_no,title,section_name,page_kind,summary,family_names,reference_family_name,notes,image_filename
p466,466,ULLMANN REACTION / COUPLING / BIARYL SYNTHESIS,Importance; Mechanism,canonical_overview,Overview page for Ullmann biaryl synthesis describing copper-mediated homocoupling and cross-coupling of aryl halides to symmetrical or unsymmetrical biaryls.,Ullmann Reaction / Coupling / Biaryl Synthesis,Ullmann Reaction / Coupling / Biaryl Synthesis,Emphasizes classical high-temperature copper-mediated biaryl bond formation and mechanistic proposals involving aryl radicals or arylcopper intermediates.,named reactions_518.jpg
p467,467,ULLMANN REACTION / COUPLING / BIARYL SYNTHESIS,Synthetic Applications,application_example,"Application page for Ullmann biaryl synthesis highlighting Ziegler-modified and mild Cu-mediated biaryl couplings in the syntheses of tortuosine, mastigophorenes, taspine, and heterobiaryls.",Ullmann Reaction / Coupling / Biaryl Synthesis,Ullmann Reaction / Coupling / Biaryl Synthesis,"Examples showcase atroposelective oxazoline-assisted coupling, classical Cu-bronze coupling, and room-temperature CuTC-mediated heteroaryl couplings.",named reactions_519.jpg
p468,468,VILSMEIER-HAACK FORMYLATION,Importance; Mechanism,canonical_overview,Overview page for the Vilsmeier-Haack formylation describing electrophilic formylation with a chloroiminium reagent generated from DMF and phosphoryl chloride or related acid chlorides.,Vilsmeier-Haack Formylation,Vilsmeier-Haack Formylation,"Covers reagent formation, aromatic and heteroaromatic formylation, and enol-ether or diene applications leading to aldehydes and α,β-unsaturated carbonyl compounds.",named reactions_520.jpg
p469,469,VILSMEIER-HAACK FORMYLATION,Synthetic Applications,application_example,"Application page for the Vilsmeier-Haack formylation featuring regioselective formylation in the syntheses of calanolide A, FR-900482, illudin C, homofascaplysin C, and arthrographol.",Vilsmeier-Haack Formylation,Vilsmeier-Haack Formylation,"Examples emphasize late-stage introduction or manipulation of aldehydes on coumarins, indoles, enol ethers, and fused azaaromatics.",named reactions_521.jpg
p470,470,VINYLCYCLOPROPANE-CYCLOPENTENE REARRANGEMENT,Importance; Mechanism,canonical_overview,"Overview page for the vinylcyclopropane-cyclopentene rearrangement describing thermal, photochemical, or Lewis-acid-mediated conversion of vinylcyclopropanes into cyclopentenes.",Vinylcyclopropane-Cyclopentene Rearrangement,Vinylcyclopropane-Cyclopentene Rearrangement,Highlights mechanistic pictures involving diradical or dipolar pathways and notes the importance of flash vacuum pyrolysis and competing retro-ene processes.,named reactions_522.jpg
p471,471,VINYLCYCLOPROPANE-CYCLOPENTENE REARRANGEMENT,Synthetic Applications,application_example,"Application page for the vinylcyclopropane-cyclopentene rearrangement highlighting photoinduced, Lewis-acid-mediated, thermal, and low-temperature variants in the syntheses of capnellene, antheridic acid, retigeranic acid, and specionin.",Vinylcyclopropane-Cyclopentene Rearrangement,Vinylcyclopropane-Cyclopentene Rearrangement,Examples show rearrangement-enabled construction of cyclopentane-annulated and tricyclic frameworks in terpene synthesis.,named reactions_523.jpg
p472,472,VON PECHMANN REACTION,Importance; Mechanism,canonical_overview,Overview page for the von Pechmann reaction describing acid-catalyzed condensation of phenols with β-keto esters or related carbonyl partners to form coumarins.,von Pechmann Reaction,von Pechmann Reaction,"Summarizes the classical Pechmann condensation and its substrate, catalyst, and mechanistic trends for coumarin synthesis.",named reactions_524.jpg
p473,473,VON PECHMANN REACTION,Synthetic Applications,application_example,"Application page for the von Pechmann reaction highlighting coumarin assembly in the syntheses of pyridoangelicins, 4-substituted coumarins, benzopsoralen derivatives, and retinoid X receptor modulators.",von Pechmann Reaction,von Pechmann Reaction,Examples emphasize both strongly acidic and mild InCl3-catalyzed variants for medicinally relevant coumarin and fused psoralen scaffolds.,named reactions_525.jpg
p474,474,WACKER OXIDATION,Importance; Mechanism,canonical_overview,Overview page for the Wacker oxidation describing Pd/Cu-catalyzed oxidation of terminal alkenes to methyl ketones and related Wacker-type oxidative cyclizations or allylic ether oxidations.,Wacker Oxidation,Wacker Oxidation,"Includes the industrial Wacker-Smidt process, Wacker-type nucleophile-assisted cyclizations, and β-alkoxyketone formation from allylic ethers.",named reactions_526.jpg
p475,475,WACKER OXIDATION,Synthetic Applications,application_example,"Application page for the Wacker oxidation highlighting terminal alkene oxidation and intramolecular Wacker-type cyclizations in the syntheses of sclerophytin A, hennoxazole A, himandrine skeleton, and garsubellin A core.",Wacker Oxidation,Wacker Oxidation,Examples show both classical PdCl2/CuCl/O2 conditions and modified Cu(OAc)2- or peroxide-assisted oxidative cyclizations.,named reactions_527.jpg
