source_label,page_label,page_no,title,page_kind,image_filename
named_reactions_frontmatter_batch7,p22,22,Aza-Cope Rearrangement – Importance and Mechanism,canonical_overview,named reactions_74.jpg
named_reactions_frontmatter_batch7,p23,23,Aza-Cope Rearrangement – Synthetic Applications,application_example,named reactions_75.jpg
named_reactions_frontmatter_batch7,p24,24,Aza-Wittig Reaction – Importance and Mechanism,canonical_overview,named reactions_76.jpg
named_reactions_frontmatter_batch7,p25,25,Aza-Wittig Reaction – Synthetic Applications,application_example,named reactions_77.jpg
named_reactions_frontmatter_batch7,p26,26,Aza-[2,3]-Wittig Rearrangement – Importance and Mechanism,canonical_overview,named reactions_78.jpg
named_reactions_frontmatter_batch7,p27,27,Aza-[2,3]-Wittig Rearrangement – Synthetic Applications,application_example,named reactions_79.jpg
named_reactions_frontmatter_batch7,p28,28,Baeyer-Villiger Oxidation/Rearrangement – Importance and Mechanism,canonical_overview,named reactions_80.jpg
named_reactions_frontmatter_batch7,p29,29,Baeyer-Villiger Oxidation/Rearrangement – Synthetic Applications,application_example,named reactions_81.jpg
named_reactions_frontmatter_batch7,p30,30,Baker-Venkataraman Rearrangement – Importance and Mechanism,canonical_overview,named reactions_82.jpg
named_reactions_frontmatter_batch7,p31,31,Baker-Venkataraman Rearrangement – Synthetic Applications,application_example,named reactions_83.jpg
