page_label,page_no,title,section_name,page_kind,summary,family_names,reference_family_name,notes,image_filename
p554,554,VIII. APPENDIX,8.1 Brief explanation of the organization of this section,meta_explanatory,"Appendix overview page explaining how the back-of-book appendix is organized, including chronological lists, reaction-category tables, and functional-group lookup tables intended for rapid navigation of named reactions.",Appendix|Chronological Reaction Index|Reaction Categories|Affected Functional Groups|Preparation of Functional Groups,Appendix,Meta-navigation page for the appendix section rather than a single reaction family.,named reactions_554.jpg
p555,555,LIST OF NAMED REACTIONS IN CHRONOLOGICAL ORDER OF THEIR DISCOVERY,8.2 Chronological Order of Discovery,chronological_index,"Chronological appendix table page listing named reactions by year of discovery together with the corresponding textbook page numbers, serving as a historical lookup index.",Chronological Reaction Index,,Historical appendix index page; useful for locating named reactions by discovery year.,named reactions_555.jpg
p556,556,LIST OF NAMED REACTIONS IN CHRONOLOGICAL ORDER OF THEIR DISCOVERY,8.2 Chronological Order of Discovery,chronological_index,"Chronological appendix table page listing named reactions by year of discovery together with the corresponding textbook page numbers, serving as a historical lookup index.",Chronological Reaction Index,,Historical appendix index page; useful for locating named reactions by discovery year.,named reactions_556.jpg
p557,557,LIST OF NAMED REACTIONS IN CHRONOLOGICAL ORDER OF THEIR DISCOVERY,8.2 Chronological Order of Discovery,chronological_index,"Chronological appendix table page listing named reactions by year of discovery together with the corresponding textbook page numbers, serving as a historical lookup index.",Chronological Reaction Index,,Historical appendix index page; useful for locating named reactions by discovery year.,named reactions_557.jpg
p558,558,LIST OF NAMED REACTIONS IN CHRONOLOGICAL ORDER OF THEIR DISCOVERY,8.2 Chronological Order of Discovery,chronological_index,"Chronological appendix table page listing named reactions by year of discovery together with the corresponding textbook page numbers, serving as a historical lookup index.",Chronological Reaction Index,,Historical appendix index page; useful for locating named reactions by discovery year.,named reactions_558.jpg
p559,559,LIST OF NAMED REACTIONS IN CHRONOLOGICAL ORDER OF THEIR DISCOVERY,8.2 Chronological Order of Discovery,chronological_index,"Chronological appendix table page listing named reactions by year of discovery together with the corresponding textbook page numbers, serving as a historical lookup index.",Chronological Reaction Index,,Historical appendix index page; useful for locating named reactions by discovery year.,named reactions_559.jpg
p560,560,REACTION CATEGORIES,8.3 Reaction Categories,category_index,"Appendix category table page grouping named reactions by synthetic objective and brief use, so that reactions can be located from transformation class rather than by name.",Reaction Categories,,Category-based lookup page crosslinking named reactions to broad synthetic-use classes.,named reactions_560.jpg
p561,561,REACTION CATEGORIES,8.3 Reaction Categories,category_index,"Appendix category table page grouping named reactions by synthetic objective and brief use, so that reactions can be located from transformation class rather than by name.",Reaction Categories,,Category-based lookup page crosslinking named reactions to broad synthetic-use classes.,named reactions_561.jpg
p562,562,REACTION CATEGORIES,8.3 Reaction Categories,category_index,"Appendix category table page grouping named reactions by synthetic objective and brief use, so that reactions can be located from transformation class rather than by name.",Reaction Categories,,Category-based lookup page crosslinking named reactions to broad synthetic-use classes.,named reactions_562.jpg
p563,563,REACTION CATEGORIES,8.3 Reaction Categories,category_index,"Appendix category table page grouping named reactions by synthetic objective and brief use, so that reactions can be located from transformation class rather than by name.",Reaction Categories,,Category-based lookup page crosslinking named reactions to broad synthetic-use classes.,named reactions_563.jpg
p564,564,REACTION CATEGORIES,8.3 Reaction Categories,category_index,"Appendix category table page grouping named reactions by synthetic objective and brief use, so that reactions can be located from transformation class rather than by name.",Reaction Categories,,Category-based lookup page crosslinking named reactions to broad synthetic-use classes.,named reactions_564.jpg
p565,565,REACTION CATEGORIES,8.3 Reaction Categories,category_index,"Appendix category table page grouping named reactions by synthetic objective and brief use, so that reactions can be located from transformation class rather than by name.",Reaction Categories,,Category-based lookup page crosslinking named reactions to broad synthetic-use classes.,named reactions_565.jpg
p566,566,REACTION CATEGORIES,8.3 Reaction Categories,category_index,"Appendix category table page grouping named reactions by synthetic objective and brief use, so that reactions can be located from transformation class rather than by name.",Reaction Categories,,Category-based lookup page crosslinking named reactions to broad synthetic-use classes.,named reactions_566.jpg
p567,567,REACTION CATEGORIES,8.3 Reaction Categories,category_index,"Appendix category table page grouping named reactions by synthetic objective and brief use, so that reactions can be located from transformation class rather than by name.",Reaction Categories,,Category-based lookup page crosslinking named reactions to broad synthetic-use classes.,named reactions_567.jpg
p568,568,REACTION CATEGORIES,8.3 Reaction Categories,category_index,"Appendix category table page grouping named reactions by synthetic objective and brief use, so that reactions can be located from transformation class rather than by name.",Reaction Categories,,Category-based lookup page crosslinking named reactions to broad synthetic-use classes.,named reactions_568.jpg
