page_label,page_no,title,section_name,page_kind,summary,family_names,reference_family_name,notes,image_filename
p446,446,STRECKER REACTION,Importance; Mechanism,canonical_overview,"Overview page for the Strecker reaction describing aldehyde or ketone condensation with amines and cyanide to form α-amino nitriles, including classical and asymmetric variants for amino acid synthesis.",Strecker Reaction,Strecker Reaction,"Key concepts: aldehyde/ketone + amine + cyanide manifold, α-amino nitrile intermediates, and hydrolysis to α-amino acids under acidic or basic conditions.",named reactions_498.jpg
p447,447,STRECKER REACTION,Synthetic Applications,application_example,"Application page for the Strecker reaction highlighting asymmetric α-amino nitrile formation and amino acid synthesis in the preparation of (-)-hemiasterlin, (-)-α-kainic acid, polyoxamic acid lactone, and amiclenomycin.",Strecker Reaction,Strecker Reaction,"Examples emphasize chiral imine, zirconium-mediated, sulfinimine-mediated, and Lewis-acid-mediated Strecker variants in natural-product-oriented synthesis.",named reactions_499.jpg
p448,448,SUZUKI CROSS-COUPLING (SUZUKI-MIYAURA CROSS-COUPLING),Importance; Mechanism,canonical_overview,Overview page for the Suzuki cross-coupling describing palladium-catalyzed C-C bond formation between organoboron reagents and organic halides or pseudohalides under basic conditions.,Suzuki Cross-Coupling (Suzuki-Miyaura Cross-Coupling),Suzuki Cross-Coupling (Suzuki-Miyaura Cross-Coupling),"Key concepts: organoboron transmetallation, tolerance of functional groups and water, and broad use for alkenyl, aryl, alkyl, and alkynyl couplings.",named reactions_500.jpg
p449,449,SUZUKI CROSS-COUPLING (SUZUKI-MIYAURA CROSS-COUPLING),Synthetic Applications,application_example,"Application page for the Suzuki cross-coupling featuring TMC-95A, epothilone A, myxalamide A, and oximidine II, showcasing assembly of highly substituted fragments and macrocyclic frameworks.",Suzuki Cross-Coupling (Suzuki-Miyaura Cross-Coupling),Suzuki Cross-Coupling (Suzuki-Miyaura Cross-Coupling),"Examples emphasize B-alkyl Suzuki coupling, alkenylborane/iodoalkene unions, and intramolecular Suzuki-type macrocyclizations using boron-based nucleophiles.",named reactions_501.jpg
p450,450,SWERN OXIDATION,Importance; Mechanism,canonical_overview,Overview page for the Swern oxidation describing low-temperature DMSO activation with oxalyl chloride or trifluoroacetic anhydride to convert primary and secondary alcohols into aldehydes and ketones.,Swern Oxidation,Swern Oxidation,"Key concepts: activated alkoxysulfonium intermediates, low-temperature operation, and relation to Albright-Goldman, Pfitzner-Moffatt, and Parikh-Doering oxidation manifolds.",named reactions_502.jpg
p451,451,SWERN OXIDATION,Synthetic Applications,application_example,"Application page for the Swern oxidation highlighting selective alcohol-to-carbonyl conversions in the synthesis of (+)-deoxyneodolabelline, ircinal A, and (+)-asteltoxin.",Swern Oxidation,Swern Oxidation,"Examples emphasize α-hydroxy ketone formation from secondary alcohols, double Swern oxidation to dialdehydes, and HWE olefination sequences enabled by Swern-derived aldehydes.",named reactions_503.jpg
p452,452,TAKAI-UTIMOTO OLEFINATION (TAKAI REACTION),Importance; Mechanism,canonical_overview,"Overview page for the Takai-Utimoto olefination describing chromium-mediated conversion of aldehydes into stereodefined alkenyl halides, typically favoring the (E)-isomer.",Takai-Utimoto Olefination (Takai Reaction),Takai-Utimoto Olefination (Takai Reaction),"Key concepts: CrCl2/haloform or gem-dihalide reagents, aldehyde-selective olefination, and formation of (E)-alkenyl iodides, bromides, and chlorides under mild conditions.",named reactions_504.jpg
p453,453,TAKAI-UTIMOTO OLEFINATION (TAKAI REACTION),Synthetic Applications,application_example,"Application page for the Takai-Utimoto olefination showing installation of vinyl halide motifs in aplysiapyranoid C, polycephalin C, bengamide E, and (-)-equisetin.",Takai-Utimoto Olefination (Takai Reaction),Takai-Utimoto Olefination (Takai Reaction),"Examples emphasize highly (E)-selective alkenyl iodide formation, iterative double Takai olefination, and integration with Stille or Suzuki couplings and Diels-Alder strategies.",named reactions_505.jpg
p454,454,TEBBE OLEFINATION / PETASIS-TEBBE OLEFINATION,Importance; Mechanism,canonical_overview,"Overview page for the Tebbe olefination and Petasis-Tebbe olefination describing titanium-methylene-mediated methylenation of aldehydes, ketones, esters, lactones, amides, and related carbonyl derivatives.",Tebbe Olefination/Petasis-Tebbe Olefination,Tebbe Olefination/Petasis-Tebbe Olefination,"Key concepts: formation of titanocene methylidene from the Tebbe or Petasis reagent, methylenation of carbonyl compounds, and access to enol ethers, enamines, and alkenes.",named reactions_506.jpg
p455,455,TEBBE OLEFINATION / PETASIS-TEBBE OLEFINATION,Synthetic Applications,application_example,"Application page for Tebbe/Petasis-Tebbe olefination featuring (+)-epoxydictyene, (+)-laurencin, (+)-21-oxogelsemine/(+)-gelsemine, and methylenated β-lactams and lactams.",Tebbe Olefination/Petasis-Tebbe Olefination,Tebbe Olefination/Petasis-Tebbe Olefination,"Examples emphasize methylenation of lactones, aldehydes, ketones, and electron-deficient amides in complex-molecule synthesis, including cases followed by Claisen rearrangement or downstream olefin functionalization.",named reactions_507.jpg
