page_label,page_no,title,section_name,page_kind,reference_family_name,family_names,summary,notes,image_filename
p234,234,KAHNE GLYCOSIDATION,Importance; Mechanism,canonical_overview,Kahne Glycosidation,Kahne Glycosidation|Kahne Glycosylation|Kahne glycosidation (sulfoxide method)|reverse Kahne glycosidation,"Overview page for the Kahne glycosidation describing activation of glycosyl sulfoxides with triflic anhydride or related activators to generate glycosyl triflates that react with O-, S-, or N-nucleophiles with high anomeric control.","Key concepts: sulfoxide method; glycosyl triflate formation; activation by Tf2O, TMSOTf, or TfOH with bases such as DTBMP/TTBP; participation of neighboring groups; and low-temperature coupling to alcohol, phenol, thiol, or amide nucleophiles.",named reactions_286.jpg
p235,235,KAHNE GLYCOSIDATION,Synthetic Applications,application_example,Kahne Glycosidation,Kahne Glycosidation|Kahne Glycosylation|reverse Kahne glycosidation,"Application page for the Kahne glycosidation featuring (-)-cassioside, etoposide, and the trisaccharide fragment of cyclamycin O assembled through sulfoxide-donor activation and highly selective glycoside bond formation.","Examples emphasize low-temperature activation of glycosyl sulfoxides with Tf2O/DTBMP, reverse Kahne glycosidation from aglycon sulfoxides, and one-pot multicomponent control of alpha/beta selectivity in densely functionalized carbohydrate targets.",named reactions_287.jpg
p236,236,KECK ASYMMETRIC ALLYLATION,Importance; Mechanism,canonical_overview,Keck Asymmetric Allylation,Keck Asymmetric Allylation|Keck allylation,Overview page for the Keck asymmetric allylation describing catalytic enantioselective addition of allylstannanes or allylsilanes to aldehydes under BINOL/Ti(IV) Lewis-acid catalysis to form chiral secondary homoallylic alcohols.,"Key concepts: in situ assembly of Ti(Oi-Pr)4/BINOL catalysts, use of molecular sieves, aldehyde allylation with allyltributylstannane, enantioselective transition-state models, and catalyst variants derived from BINOL and diamine ligands.",named reactions_288.jpg
p237,237,KECK ASYMMETRIC ALLYLATION,Synthetic Applications,application_example,Keck Asymmetric Allylation,Keck Asymmetric Allylation|Keck allylation,"Application page for the Keck asymmetric allylation featuring (-)-gloeosporone, epothilone A, the Kishi epoxide/CD subunit of spongistatins, and the C10–C20 subunit of rhizoxin A prepared through enantioselective allylation of aldehydes.","Examples emphasize freshly prepared Ti(Oi-Pr)4/BINOL catalysts, high enantioselectivity in macrocyclic fragment synthesis, and iterative allylation strategies for polyoxygenated polyketide targets.",named reactions_289.jpg
p238,238,KECK MACROLACTONIZATION,Importance; Mechanism,canonical_overview,Keck Macrolactonization,Keck Macrolactonization|Keck macrolactonization|Corey-Nicolaou macrolactonization,Overview page for the Keck macrolactonization describing high-dilution cyclization of hydroxy acids using carbodiimide activation with DMAP and DMAP·HCl or EDCI to form medium- and large-ring lactones.,"Key concepts: syringe-pump substrate addition under reflux, DCC or EDCI activation, DMAP/DMAP·HCl proton-transfer mediation, suppression of N-acylurea byproducts, and comparison with Corey-Nicolaou and Shiina-type macrolactonizations.",named reactions_290.jpg
p239,239,KECK MACROLACTONIZATION,Synthetic Applications,application_example,Keck Macrolactonization,Keck Macrolactonization|Keck macrolactonization,"Application page for the Keck macrolactonization featuring (-)-hectochlorin, (-)-bafilomycin A1, (+)-apicularen A, and epothilone B, showcasing closure of 10- to 16-membered macrolactones in complex natural products.","Examples emphasize DCC/DMAP/DMAP·HCl or EDCI variants, slow addition of hydroxy-acid substrates, and selectivity between alternative hydroxy groups during late-stage macrolactone formation.",named reactions_291.jpg
p240,240,KECK RADICAL ALLYLATION,Importance; Mechanism,canonical_overview,Keck Radical Allylation,Keck Radical Allylation|Keck radical allylation,"Overview page for the Keck radical allylation describing free-radical substitution of alkyl halides and related radical precursors with allyltributyltin under AIBN, benzoyl peroxide, heat, or photolysis to install allyl groups.","Key concepts: atom-transfer initiation from alkyl bromides, chlorides, or selenides; radical chain propagation with allyltributyltin; chemoselective allylation of halides over many functional groups; and mechanistic comparison with earlier Kosugi and Grignon procedures.",named reactions_292.jpg
p241,241,KECK RADICAL ALLYLATION,Synthetic Applications,application_example,Keck Radical Allylation,Keck Radical Allylation|Keck radical allylation,"Application page for the Keck radical allylation featuring merrilactone A, (-)-tuberostemonine, C-glycosides, and a tetracyclic subunit of manzamine A assembled through tin-mediated radical allyl transfer to alkyl halides or phenylselenides.","Examples emphasize AIBN/benzene conditions, sequential allylation–isomerization or cross-metathesis elaboration, and use of radical allylation to introduce side chains in densely functionalized alkaloid and carbohydrate targets.",named reactions_293.jpg
p242,242,KNOEVENAGEL CONDENSATION,Importance; Mechanism,canonical_overview,Knoevenagel Condensation,Knoevenagel Condensation|Knoevenagel condensation,"Overview page for the Knoevenagel condensation describing base- or amine-catalyzed condensation of aldehydes or ketones with active methylene compounds to furnish alpha,beta-unsaturated carbonyl or related electron-poor alkenes.","Key concepts: primary, secondary, or tertiary amine catalysis; active methylene donors such as malonates, cyanoacetates, or 1,3-dicarbonyl compounds; dehydration of beta-hydroxyl intermediates; and competition between aldol addition and iminium/enamine pathways.",named reactions_294.jpg
p243,243,KNOEVENAGEL CONDENSATION,Synthetic Applications,application_example,Knoevenagel Condensation,Knoevenagel Condensation|Knoevenagel condensation|Knoevenagel condensation/hetero-Diels-Alder reaction,"Application page for the Knoevenagel condensation featuring sarcodictyin A, hirsutine, (+)-leporin A, and (+)-gelsemine, where amine-catalyzed condensation of aldehydes with active methylene partners sets electron-poor alkene or heterodiene intermediates for further cyclization.","Examples emphasize beta-alanine or piperidine catalysis, ethyl cyanoacetate or Meldrum's acid partners, tandem hetero-Diels–Alder sequences, and preparation of divinylcyclopropane–cycloheptadiene rearrangement precursors from alkylidene indolinones.",named reactions_295.jpg
