page_label,page_no,title,section_name,page_kind,summary,family_names,reference_family_name,notes,image_filename
p390,390,SAEGUSA OXIDATION,Importance; Mechanism,canonical_overview,"Overview page for the Saegusa oxidation describing the palladium-mediated dehydrogenation of silyl enol ethers to α,β-unsaturated carbonyl compounds, including both stoichiometric and catalytic variants as well as allyl enol carbonate modifications.",Saegusa Oxidation|Saegusa–Ito oxidation|Larock modified Saegusa oxidation,Saegusa Oxidation,"Key concepts: conversion of preformed silyl enol ethers into enones and enals, need for palladium(II) oxidants or co-oxidants such as p-benzoquinone, compatibility with cyclic and acyclic substrates, and mechanistic β-hydride elimination from π-allyl or oxo-π-allylpalladium intermediates.",named reactions_442.jpg
p391,391,SAEGUSA OXIDATION,Synthetic Applications,application_example,"Application page for the Saegusa oxidation featuring (-)-Gambierol, (-)-Preussomerin G, (±)-8,14-Cedranoxide, and cis-fused octahydroquinolines, highlighting late-stage installation of cycloenone motifs from silyl enol ethers in natural-product synthesis.",Saegusa Oxidation|Larock modified Saegusa oxidation,Saegusa Oxidation,"Examples emphasize stoichiometric Pd(OAc)2 oxidation for medium-ring ether synthesis, TMS enol ether formation with TMSOTf or TMSCl before dehydrogenation, and modified catalytic variants under aerobic DMSO conditions.",named reactions_443.jpg
p392,392,SAKURAI ALLYLATION,Importance; Mechanism,canonical_overview,"Overview page for the Sakurai allylation describing Lewis-acid-promoted addition of allylsilanes to aldehydes, ketones, and acetals to give homoallylic alcohols with characteristic regio- and diastereocontrol.",Sakurai Allylation|Hosomi–Sakurai reaction,Sakurai Allylation,"Key concepts: allylsilane attack on Lewis-acid-activated carbonyl compounds, C3 substitution effects on syn versus anti homoallylic alcohol formation, frequent use of TiCl4 or BF3·OEt2, and open transition-state models for stereochemical outcome.",named reactions_444.jpg
p393,393,SAKURAI ALLYLATION,Synthetic Applications,application_example,"Application page for the Sakurai allylation featuring Furaquinocin A, (-)-Amphidinolide P, and (-)-Laulimalide, demonstrating high-value use of allylsilanes for installing homoallylic side chains and densely functionalized stereocenters in complex targets.",Sakurai Allylation|Hosomi–Sakurai reaction,Sakurai Allylation,"Examples emphasize control with TiCl4 or BF3·OEt2, use of chiral acyloxyborane Lewis acids in asymmetric variants, and conversion of minor diastereomers to desired isomers in macrocycle synthesis.",named reactions_445.jpg
p394,394,SANDMEYER REACTION,Importance; Mechanism,canonical_overview,"Overview page for the Sandmeyer reaction describing substitution of aryldiazonium salts with halides or pseudohalides under copper(I) promotion to give aryl chlorides, bromides, nitriles, iodides, and related derivatives.",Sandmeyer Reaction|Gattermann reaction|Balz–Schiemann reaction,Sandmeyer Reaction,"Key concepts: diazotization of arylamines, use of Cu(I) halides or CuCN, radical-type dediazoniation pathways, and related substitution manifolds such as hydrolysis, iodination, and fluorination of aryldiazonium intermediates.",named reactions_446.jpg
p395,395,SANDMEYER REACTION,Synthetic Applications,application_example,"Application page for the Sandmeyer reaction featuring Teicoplanin aglycone, Nemertelline, and (±)-A80915G, illustrating late-stage aromatic halogen or pseudohalogen installation on advanced intermediates for antibiotic and heteroaromatic target synthesis.",Sandmeyer Reaction|Sandmeyer iodination|Sandmeyer halogenation,Sandmeyer Reaction,"Examples emphasize diazotization with t-BuONO or NaNO2/HBr followed by CuCl, CuBr, or KI-mediated substitution, and showcase downstream use of the halogenated products in Suzuki and Stille cross-coupling sequences.",named reactions_447.jpg
p396,396,SCHMIDT REACTION,Importance; Mechanism,canonical_overview,"Overview page for the Schmidt reaction describing acid-promoted reaction of hydrazoic acid with ketones, aldehydes, and carboxylic acids to furnish amides, lactams, nitriles, or amines through azidoalcohol or acyl azide intermediates.",Schmidt Reaction|intramolecular Schmidt reaction,Schmidt Reaction,"Key concepts: hydrazoic-acid addition to carbonyl compounds under strongly acidic conditions, migration-controlled rearrangements, retention of stereochemistry at migrating centers, and ring expansion of cyclic ketones to lactams.",named reactions_448.jpg
p397,397,SCHMIDT REACTION,Synthetic Applications,application_example,"Application page for the Schmidt reaction featuring the fully functionalized skeleton of lysergic acid, (+)-Methylxanthoxylol, the carbocyclic [6-7] core of guanacastepenes, and A58365A, showing both rhodium-catalyzed diazo decomposition routes and classical rearrangements in alkaloid synthesis.",Schmidt Reaction|Regitz diazo transfer assisted Schmidt sequence,Schmidt Reaction,"Examples emphasize intramolecular isomünchnone cycloaddition precursors, deacylative diazo transfer followed by metal-carbene insertion, and rhodium-mediated rearrangements that provide ring-expanded nitrogen-containing frameworks.",named reactions_449.jpg
p398,398,SCHOTTEN-BAUMANN REACTION,Importance; Mechanism,canonical_overview,Overview page for the Schotten-Baumann reaction describing acylation of amines and alcohols with acid chlorides or anhydrides under biphasic aqueous base or related basic conditions to form amides and esters.,Schotten-Baumann Reaction|Schotten–Baumann acylation,Schotten-Baumann Reaction,"Key concepts: nucleophilic acyl substitution under interfacial basic conditions, selective amidation over competing alcohol acylation, utility for benzoylation and peptide-bond formation, and modern modifications using pyridine, DMAP, or Lewis acids.",named reactions_450.jpg
p399,399,SCHOTTEN-BAUMANN REACTION,Synthetic Applications,application_example,"Application page for the Schotten-Baumann reaction featuring (-)-Tejedine, Fumiquinazoline G, ceramide analogues bearing thienyl sphingoid motifs, and (+)-Cannabisativine, illustrating chemoselective amide-bond formation in alkaloid, peptide, and lipid synthesis.",Schotten-Baumann Reaction|Schotten–Baumann acylation,Schotten-Baumann Reaction,"Examples emphasize two-phase NaOH or carbonate conditions, selective acylation of amino diols and peptide fragments, and mild coupling of advanced acid chlorides with chiral auxiliaries or sphingoid bases.",named reactions_451.jpg
