page_label,page_no,title,section_name,page_kind,summary,family_names,reference_family_name,notes,image_filename
p350,350,PINACOL AND SEMIPINACOL REARRANGEMENT,Importance; Mechanism,canonical_overview,"Overview page for pinacol and semipinacol rearrangements describing acid- or Lewis-acid-promoted dehydration of vicinal diols or ionization of β-heterosubstituted alcohols to trigger a [1,2]-shift en route to ketones or aldehydes.",Pinacol and Semipinacol Rearrangement|Pinacol rearrangement|Semipinacol rearrangement,Pinacol and Semipinacol Rearrangement,"Key concepts: migratory aptitude in carbocation rearrangements, ring expansion or contraction, and mild semipinacol variants that exploit preinstalled leaving groups under highly controlled conditions.",named reactions_402.jpg
p351,351,PINACOL AND SEMIPINACOL REARRANGEMENT,Synthetic Applications,application_example,"Application page for pinacol and semipinacol rearrangements featuring (+)-furoscrobiculin B, hydroxyphenstatin, (+)-fredericamycin A, and protomycinolide IV, illustrating ring expansion, vicinal-diol rearrangement, mercury-mediated semipinacol shift, and organoaluminum-triggered alkyl migration in natural-product synthesis.",Pinacol and Semipinacol Rearrangement|Pinacol rearrangement|Semipinacol rearrangement,Pinacol and Semipinacol Rearrangement,"Examples emphasize azulenofuran construction from a cis-vicinal diol, rearrangement of an optically active vicinal diol to hydroxyphenstatin, mercuric semipinacol chemistry in spirocenter formation, and DIBALH/Et3Al-promoted [1,2]-alkenyl shifts.",named reactions_403.jpg
p352,352,PINNER REACTION,Importance; Mechanism,canonical_overview,Overview page for the Pinner reaction describing acid-catalyzed addition of alcohols or thiols to nitriles to form imino ether or imino thioether hydrohalide salts that can be hydrolyzed to esters or converted to amidinium salts.,Pinner Reaction|Pinner synthesis,Pinner Reaction,"Key concepts: dry hydrogen halide activation of nitriles, imino ether hydrochloride intermediates, conversion to amidines, and extension to phenols, monohydric alcohols, and thiols.",named reactions_404.jpg
p353,353,PINNER REACTION,Synthetic Applications,application_example,"Application page for the Pinner reaction featuring AI-77B, (±)-sacacarin, and an enantiomerically pure nonpeptidic thrombin inhibitor, highlighting intramolecular ester-forming Pinner cyclization, selective cyano-group activation in a cage diterpenoid, and amidinium-salt generation from aromatic nitriles.",Pinner Reaction|Pinner synthesis,Pinner Reaction,"Examples emphasize low-temperature HCl/MeOH conditions, cyclic imino ether hydrochlorides, hydrolysis to acids or esters, and conversion of aromatic nitriles into amidinium hydrochloride motifs for medicinal chemistry.",named reactions_405.jpg
p354,354,PINNICK OXIDATION,Importance; Mechanism,canonical_overview,"Overview page for the Pinnick oxidation describing buffered sodium chlorite oxidation of aldehydes to carboxylic acids under mild conditions, commonly using NaH2PO4 and an alkene scavenger such as 2-methyl-2-butene to suppress hypochlorous-acid side reactions.",Pinnick Oxidation|Pinnick reaction|Lindgren oxidation,Pinnick Oxidation,"Key concepts: NaClO2-mediated aldehyde oxidation, pH control with phosphate buffer, scavenging of hypochlorous acid, tolerance of α,β-unsaturated aldehydes, and compatibility with diverse sensitive functionality.",named reactions_406.jpg
p355,355,PINNICK OXIDATION,Synthetic Applications,application_example,"Application page for the Pinnick oxidation featuring ditryptophenaline, (+)-zaragozic acid C, and (+)-himbacine, illustrating chemoselective aldehyde-to-acid conversion in late-stage alkaloid, polyketide, and terpenoid synthesis without damaging adjacent stereocenters or sensitive unsaturation.",Pinnick Oxidation|Pinnick reaction|Lindgren oxidation,Pinnick Oxidation,"Examples emphasize Dess-Martin plus Pinnick oxidation sequencing, triacid generation en route to zaragozic acid, and preservation of a delicate enyne motif during conversion of an aldehyde-ene fragment into the corresponding acid.",named reactions_407.jpg
p356,356,POLONOVSKI REACTION,Importance; Mechanism,canonical_overview,"Overview page for the Polonovski reaction describing activation of tertiary amine N-oxides with acylating agents to generate iminium intermediates that fragment or react further to give amides, aldehydes, alkenes, or other α-functionalized amine products.",Polonovski Reaction|Polonovski-Potier reaction,Polonovski Reaction,"Key concepts: O-acylation of amine N-oxides, iminium-ion generation, divergent α-C–H functionalization or C–C cleavage pathways, and use of acetic anhydride or trifluoroacetic anhydride in classical and Potier variants.",named reactions_408.jpg
p357,357,POLONOVSKI REACTION,Synthetic Applications,application_example,"Application page for the Polonovski reaction featuring serratezomine A, (±)-dynemicin A, (−)-altimicidin, and the core nucleus of FR-900482, showing biomimetic amine oxidation, quinone-imine precursor activation, introduction of a carbamoyl amine unit, and selective oxygenation in mitomycinlike systems.",Polonovski Reaction|Polonovski-Potier reaction,Polonovski Reaction,"Examples emphasize mCPBA oxidation to the N-oxide, TFAA-mediated Polonovski-Potier activation, NaBH3CN reduction of iminium intermediates, and installation of oxygenated motifs in densely functionalized alkaloid frameworks.",named reactions_409.jpg
p358,358,POMERANZ-FRITSCH REACTION,Importance; Mechanism,canonical_overview,"Overview page for the Pomeranz-Fritsch reaction describing condensation of aromatic aldehydes or ketones with 2,2-dialkoxyethylamines to form Schiff bases that cyclize under protic or Lewis acidic conditions to substituted isoquinolines, including Bobbitt and Schlittler-Müller modifications.",Pomeranz-Fritsch Reaction|Bobbitt modification|Schlittler-Müller modification,Pomeranz-Fritsch Reaction,"Key concepts: benzalaminoacetal formation, acid-triggered isoquinoline ring closure, regioselectivity issues with ortho-unsubstituted aromatic aldehydes, and modified routes to 1-substituted or tetrahydroisoquinoline products.",named reactions_410.jpg
p359,359,POMERANZ-FRITSCH REACTION,Synthetic Applications,application_example,"Application page for the Pomeranz-Fritsch reaction featuring the ABFGH subunit of ET 743, (+)-4-hydroxycoryrebanine, papaverine, and (−)-salsolidine, illustrating Bobbitt-modified and asymmetric variants for tetrahydroisoquinoline and isoquinoline construction in alkaloid synthesis.",Pomeranz-Fritsch Reaction|Bobbitt modification|Schlittler-Müller modification,Pomeranz-Fritsch Reaction,"Examples emphasize enantiopure benzylamine precursors, Schiff-base generation from aminoacetaldehyde diethylacetal, acid-promoted cyclization under 6N HCl or dioxane/HCl, and BzCl-mediated installation of an N-benzyl dihydroisoquinolinium precursor.",named reactions_411.jpg
