source_label,page_label,page_no,title,page_kind,image_filename
named_reactions_frontmatter_batch8,p32,32,Baldwin's Rules / Guidelines for Ring-Closing Reactions – Importance,canonical_overview,named reactions_84.jpg
named_reactions_frontmatter_batch8,p33,33,Baldwin's Rules / Guidelines for Ring-Closing Reactions – Synthetic Applications,application_example,named reactions_85.jpg
named_reactions_frontmatter_batch8,p34,34,Balz-Schiemann Reaction (Schiemann Reaction) – Importance and Mechanism,canonical_overview,named reactions_86.jpg
named_reactions_frontmatter_batch8,p35,35,Balz-Schiemann Reaction (Schiemann Reaction) – Synthetic Applications,application_example,named reactions_87.jpg
named_reactions_frontmatter_batch8,p36,36,Bamford-Stevens-Shapiro Olefination – Importance and Mechanism,canonical_overview,named reactions_88.jpg
named_reactions_frontmatter_batch8,p37,37,Bamford-Stevens-Shapiro Olefination – Synthetic Applications,application_example,named reactions_89.jpg
named_reactions_frontmatter_batch8,p38,38,Barbier Coupling Reaction – Importance and Mechanism,canonical_overview,named reactions_90.jpg
named_reactions_frontmatter_batch8,p39,39,Barbier Coupling Reaction – Synthetic Applications,application_example,named reactions_91.jpg
named_reactions_frontmatter_batch8,p40,40,Bartoli Indole Synthesis – Importance and Mechanism,canonical_overview,named reactions_92.jpg
named_reactions_frontmatter_batch8,p41,41,Bartoli Indole Synthesis – Synthetic Applications,application_example,named reactions_93.jpg
