page_label,page_no,title,section_name,page_kind,summary,family_names,reference_family_name,notes,image_filename
p340,340,PETASIS BORONIC ACID-MANNICH REACTION,Importance; Mechanism,canonical_overview,"Overview page for the Petasis boronic acid-Mannich reaction describing three-component coupling of an amine, a carbonyl compound, and a boronic acid to furnish allylic or benzylic amines under mild, often neutral conditions.",Petasis Boronic Acid-Mannich Reaction|Petasis reaction|Petasis borono-Mannich reaction,Petasis Boronic Acid-Mannich Reaction,"Key concepts: iminium formation, boronate ate-complex generation, stereoretentive vinyl transfer from alkenylboronic acids, and expansion from formaldehyde to other aldehydes, ketones, and N-acyliminium variants.",named reactions_392.jpg
p341,341,PETASIS BORONIC ACID-MANNICH REACTION,Synthetic Applications,application_example,"Application page for the Petasis boronic acid-Mannich reaction featuring (-)-cytoxazone, diketopiperazine derivatives, 2H-chromene derivatives, and (+)-6-deoxycastanospermine, illustrating amino alcohol, heterocycle, and alkaloid synthesis from boronic acid transfer chemistry.",Petasis Boronic Acid-Mannich Reaction|Petasis reaction|Petasis borono-Mannich reaction,Petasis Boronic Acid-Mannich Reaction,"Examples emphasize diastereoselective amino alcohol assembly, parallel diketopiperazine library construction, catalytic chromene annulation, and N-acyliminium-based boronic acid addition in iminosugar synthesis.",named reactions_393.jpg
p342,342,PETASIS-FERRIER REARRANGEMENT,Importance; Mechanism,canonical_overview,Overview page for the Petasis-Ferrier rearrangement describing Lewis-acid-promoted conversion of five- and six-membered enol acetals derived from dioxolan-4-ones or dioxane-4-ones into substituted tetrahydrofurans and tetrahydropyrans.,Petasis-Ferrier Rearrangement,Petasis-Ferrier Rearrangement,"Key concepts: formation of exocyclic enol acetals with titanocene dimethylidene reagents, aluminum-mediated oxocarbenium rearrangement, carbonyl transposition, and stereocontrolled ring construction in linked-fragment assembly.",named reactions_394.jpg
p343,343,PETASIS-FERRIER REARRANGEMENT,Synthetic Applications,application_example,"Application page for the Petasis-Ferrier rearrangement featuring the C3-C19 and C22-C26 subtargets of (+)-phorboxazole A together with (+)-dactylolide and (+)-zampanolide studies, highlighting substituted tetrahydropyran construction in polyketide synthesis.",Petasis-Ferrier Rearrangement,Petasis-Ferrier Rearrangement,"Examples emphasize modified Me2AlCl-mediated rearrangements, Type-II Julia olefination to set enol ethers, and cis-2,6-disubstituted tetrahydropyran assembly for macrocyclic natural products.",named reactions_395.jpg
p344,344,PETERSON OLEFINATION,Importance; Mechanism,canonical_overview,Overview page for the Peterson olefination describing reaction of α-silyl carbanions with carbonyl compounds to form β-hydroxysilanes that undergo acid- or base-induced elimination to alkenes with controllable stereochemical outcomes.,Peterson Olefination|Peterson reaction,Peterson Olefination,"Key concepts: α-silyl carbanion addition, β-hydroxysilane intermediates, syn versus anti elimination under different conditions, and complementary access to E- or Z-alkenes from the same precursor.",named reactions_396.jpg
p345,345,PETERSON OLEFINATION,Synthetic Applications,application_example,"Application page for the Peterson olefination featuring (+)-maritimol, the macrocyclic core of roseophilin, (+)-brasilenyne, and (-)-(Z)-lancifolol, demonstrating alkene and enyne installation in terpene, alkaloid, and macrocycle synthesis.",Peterson Olefination|Peterson reaction,Peterson Olefination,"Examples emphasize late-stage olefination for ring annulation precursors, Z-selective enyne formation, and stereochemical control in the installation of sensitive unsaturation patterns.",named reactions_397.jpg
p346,346,PFITZNER-MOFFATT OXIDATION,Importance; Mechanism,canonical_overview,"Overview page for the Pfitzner-Moffatt oxidation describing DMSO-based oxidation of primary and secondary alcohols to aldehydes or ketones using carbodiimides and catalytic acid under mild, weakly acidic conditions.",Pfitzner-Moffatt Oxidation|Moffatt oxidation|P-M oxidation,Pfitzner-Moffatt Oxidation,"Key concepts: activation of DMSO by protonated carbodiimide, alkoxysulfonium formation, elimination to carbonyl products, and relationship to Albright-Goldman, Parikh-Doering, and Swern-type activated DMSO oxidations.",named reactions_398.jpg
p347,347,PFITZNER-MOFFATT OXIDATION,Synthetic Applications,application_example,"Application page for the Pfitzner-Moffatt oxidation featuring herbicidin B, (+)-paspalicine, (+)-citreoviral, and (-)-pereniporin A, illustrating chemoselective alcohol oxidation in carbohydrate, indole diterpene, terpene, and sesquiterpene synthesis.",Pfitzner-Moffatt Oxidation|Moffatt oxidation|P-M oxidation,Pfitzner-Moffatt Oxidation,"Examples emphasize compatibility with silyl and thioacetal protecting groups, tandem oxidation/isomerization sequences, oxidation-reduction epimerization, and preservation of sensitive hydroxy aldehyde motifs.",named reactions_399.jpg
p348,348,PICTET-SPENGLER TETRAHYDROISOQUINOLINE SYNTHESIS,Importance; Mechanism,canonical_overview,"Overview page for the Pictet-Spengler tetrahydroisoquinoline synthesis describing acid-promoted condensation of β-arylethylamines with aldehydes, ketones, or acyl-labile surrogates to give substituted tetrahydroisoquinolines via iminium cyclization.",Pictet-Spengler Tetrahydroisoquinoline Synthesis|Pictet-Spengler reaction,Pictet-Spengler Tetrahydroisoquinoline Synthesis,"Key concepts: Schiff base formation, iminium activation, 6-endo-trig arene capture, dependence on electron-rich aryl substitution, and use of protic or Lewis acids to promote cyclization.",named reactions_400.jpg
p349,349,PICTET-SPENGLER TETRAHYDROISOQUINOLINE SYNTHESIS,Synthetic Applications,application_example,"Application page for the Pictet-Spengler tetrahydroisoquinoline synthesis featuring (-)-suaveoline, (±)-deoxyfrenolicin, (+)-coccinine, and the ABFGH subunit of ET 743, showcasing indole, naphthyl, and highly substituted aryl cyclizations in alkaloid and antitumor-target synthesis.",Pictet-Spengler Tetrahydroisoquinoline Synthesis|Pictet-Spengler reaction,Pictet-Spengler Tetrahydroisoquinoline Synthesis,"Examples emphasize cis-selective indole cyclization, oxa-Pictet-Spengler annulation, benzyl deprotection under strongly acidic conditions, and spiro-center installation en route to the ET 743 core.",named reactions_401.jpg
