page_label,page_no,title,section_name,page_kind,reference_family_name,family_names,summary,notes,image_filename
p274,274,MANNICH REACTION,Importance; Mechanism,canonical_overview,Mannich Reaction,Mannich Reaction|Mannich reaction,Overview page for the Mannich reaction describing aminomethylation of enolizable carbonyl compounds and related CH-acidic partners with formaldehyde and primary or secondary amines via iminium intermediates.,"Key concepts: iminium-ion formation from aldehydes and amines, attack of enolized carbonyl nucleophiles, utility of preformed iminium salts for milder conditions, and broad use of Mannich bases as synthetic intermediates.",named reactions_326.jpg
p275,275,MANNICH REACTION,Synthetic Applications,application_example,Mannich Reaction,Mannich Reaction|Mannich reaction,"Application page for the Mannich reaction featuring (+)-aspidospermidine, (-)-O-methylshikoccin, (+)-dihydydrostemofoline, and (+)-croomine assembled through intra- or intermolecular Mannich cyclizations and vinylogous Mannich logic.","Examples emphasize cascade ring construction, Eschenmoser methenylation after Mannich activation, aza-Cope/Mannich tandem sequences, and vinylogous Mannich reactions to set densely functionalized alkaloid frameworks.",named reactions_327.jpg
p276,276,McMURRY COUPLING,Importance; Mechanism,canonical_overview,McMurry Coupling,McMurry Coupling|McMurry coupling,"Overview page for the McMurry coupling describing reductive coupling of aldehydes and ketones with low-valent titanium reagents to form alkenes, including intra- and intermolecular variants.","Key concepts: low-valent titanium generated from TiCl3 or TiCl4 with reducing metals, pinacolate-like intermediates, deoxygenation to alkenes, and special value for macrocyclizations and sterically hindered olefins.",named reactions_328.jpg
p277,277,McMURRY COUPLING,Synthetic Applications,application_example,McMurry Coupling,McMurry Coupling|McMurry coupling,"Application page for the McMurry coupling featuring (-)-13-hydroxyoeocembrene, (+)-11-dehydrostene methyl ether, ADAM II non-nucleoside reverse transcriptase inhibitors, and archaeal 72-membered macrocyclic lipids assembled through intramolecular or intermolecular reductive olefination.","Examples emphasize E-selective macrocyclization, tandem Claisen-rearrangement/McMurry sequences, diaryl-ketone/aldehyde coupling under TiCl4/Zn conditions, and construction of giant macrocyclic lipid frameworks.",named reactions_329.jpg
p278,278,MEERWEIN ARYLATION,Importance; Mechanism,canonical_overview,Meerwein Arylation,Meerwein Arylation|Meerwein arylation,"Overview page for the Meerwein arylation describing addition of aryl radicals derived from aryldiazonium salts to electron-poor olefins, often in the presence of copper salts, to furnish aryl-substituted olefins or related adducts.","Key concepts: in situ diazotization of anilines, radical aryl addition to activated alkenes, decarboxylative arylation of cinnamic-acid-type substrates, and frequent use of Cu(I)/Cu(II) salts in aqueous or mixed solvents.",named reactions_330.jpg
p279,279,MEERWEIN ARYLATION,Synthetic Applications,application_example,Meerwein Arylation,Meerwein Arylation|Meerwein arylation,"Application page for the Meerwein arylation featuring calpain I inhibitor derivatives, N(5)-ergolines, gilvocarcin-M aglycone, and thiazolidinedione analogues of pioglitazone prepared via diazonium-radical arylation or tandem Meerwein arylation/Diels-Alder sequences.","Examples emphasize chloronitrile formation from acrylonitrile, arylation of butadiene as a setup for heterocycle construction, tandem arylation/cycloaddition en route to gilvocarcin frameworks, and medicinal-chemistry analog generation from diazotized anilines.",named reactions_331.jpg
p280,280,MEERWEIN-PONNDORF-VERLEY REDUCTION,Importance; Mechanism,canonical_overview,Meerwein-Ponndorf-Verley Reduction,Meerwein-Ponndorf-Verley Reduction|MPV reduction|Meerwein-Ponndorf-Verley reduction,"Overview page for the Meerwein-Ponndorf-Verley reduction describing reversible transfer-hydrogen reduction of aldehydes and ketones with aluminum alkoxides, typically aluminum isopropoxide, to furnish alcohols under nonacidic conditions.","Key concepts: six-membered transition state for hydride transfer, reversibility with Oppenauer oxidation, chemoselective reduction of carbonyl groups in the presence of many other functionalities, and common use of aluminum isopropoxide with isopropanol or related secondary alcohols.",named reactions_332.jpg
p281,281,MEERWEIN-PONNDORF-VERLEY REDUCTION,Synthetic Applications,application_example,Meerwein-Ponndorf-Verley Reduction,Meerwein-Ponndorf-Verley Reduction|MPV reduction|Meerwein-Ponndorf-Verley reduction,"Application page for the Meerwein-Ponndorf-Verley reduction featuring GA111 methyl ester, dl-coccuvinine, degradation products of rutamycin antibiotics, and ammiool assembled or resolved through highly selective transfer-hydrogen reduction of ketone or aldehyde intermediates.","Examples emphasize diastereoselective reduction of rigid polycycles, selective reduction of alpha,beta-unsaturated ketones without over-reduction, Samarium(II)-catalyzed MPV variants, and late-stage aldehyde reduction in oxygenated heteroaromatic systems.",named reactions_333.jpg
p282,282,MEISENHEIMER REARRANGEMENT,Importance; Mechanism,canonical_overview,Meisenheimer Rearrangement,"Meisenheimer Rearrangement|Meisenheimer rearrangement|[1,2]-Meisenheimer rearrangement|[2,3]-Meisenheimer rearrangement","Overview page for the Meisenheimer rearrangement describing thermal or oxidative rearrangement of tertiary amine N-oxides to N,O-disubstituted hydroxylamines or ring-expanded oxazacycles via [1,2]- or [2,3]-shifts.","Key concepts: acyclic and cyclic N-oxide rearrangements, competition between [1,2]- and [2,3]-shifts depending on substitution and beta-hydrogen content, and frequent use of N-oxide generation followed by thermal rearrangement or spontaneous ring expansion.",named reactions_334.jpg
p283,283,MEISENHEIMER REARRANGEMENT,Synthetic Applications,application_example,Meisenheimer Rearrangement,"Meisenheimer Rearrangement|Meisenheimer rearrangement|[1,2]-Meisenheimer rearrangement|[2,3]-Meisenheimer rearrangement","Application page for the Meisenheimer rearrangement featuring (R)-sulcatol, the 12(S)-carba-eudistomin skeleton, O-allyl hydroxylamine derivatives of norfloxacin, and magallanesine prepared through stereospecific [2,3]- or [1,2]-N-oxide rearrangements.","Examples emphasize allylic N-oxide rearrangements to hydroxylamine or oxazepine products, antibiotic prodrug design via O-allyl hydroxylamine formation, and use of N-oxide rearrangements in alkaloid total synthesis.",named reactions_335.jpg
