page_label,page_no,title,section_name,page_kind,reference_family_name,family_names,summary,notes,image_filename
p204,204,Hetero Diels-Alder Cycloaddition – Importance and Mechanism,Importance; Mechanism,canonical_overview,Hetero Diels-Alder Cycloaddition,Hetero Diels-Alder Cycloaddition|Hetero D-A Cycloaddition|HDA Reaction,"Overview page for the hetero Diels-Alder cycloaddition describing [4+2] or related cycloadditions in which one atom of the diene or dienophile is a heteroatom, including normal and inverse electron-demand variants.","Key concepts: heterodienes and heterodienophiles, normal versus inverse electron-demand activation, concerted or stepwise pathways, Lewis-acid catalysis, and regio- and stereochemical control in oxygen- and nitrogen-containing cycloadduct formation.",named reactions_256.jpg
p205,205,Hetero Diels-Alder Cycloaddition – Synthetic Applications,Synthetic Applications,application_example,Hetero Diels-Alder Cycloaddition,Hetero Diels-Alder Cycloaddition|Hetero D-A Cycloaddition|HDA Reaction,"Application page for the hetero Diels-Alder cycloaddition featuring reveromycin B, strychnine, lepadin A, and the Taxol A-ring side chain assembled through normal or inverse electron-demand hetero cycloadditions.","Examples emphasize biomimetic annulations, acylnitroso or iminium-derived heterodienes, intramolecular HDA manifolds, and efficient installation of densely functionalized oxygen- and nitrogen-heterocycles.",named reactions_257.jpg
p206,206,Hofmann Elimination – Importance and Mechanism,Importance; Mechanism,canonical_overview,Hofmann Elimination,Hofmann Elimination|Hofmann Degradation,Overview page for the Hofmann elimination describing exhaustive methylation of amines to quaternary ammonium salts followed by base-promoted beta-elimination to furnish the least substituted alkene.,"Key concepts: quaternary ammonium hydroxides, anti elimination, Hofmann versus Saytzeff selectivity, pyrolytic decomposition, and degradation of alkaloid-derived amines to define unsaturation patterns.",named reactions_258.jpg
p207,207,Hofmann Elimination – Synthetic Applications,Synthetic Applications,application_example,Hofmann Elimination,Hofmann Elimination|Hofmann Degradation,"Application page for the Hofmann elimination featuring 4-demethoxydaunomycin, cryptosporin, atisine, and picrasin where exhaustive methylation and elimination reveal key allylic or exocyclic olefins.","Examples emphasize strategic deamination, spontaneous elimination of quaternary ammonium salts, alkaloid degradations, and conversion of dimethylamino substituents into alkenes in complex settings.",named reactions_259.jpg
p208,208,Hofmann-Löffler-Freytag Reaction – Importance and Mechanism,Importance; Mechanism,canonical_overview,Hofmann-Loffler-Freytag Reaction,Hofmann-Loffler-Freytag Reaction|HLF Reaction|Hofmann-Loeffler-Freytag Reaction,"Overview page for the Hofmann-Loffler-Freytag reaction describing radical-mediated remote C-H amination of N-haloamines or related precursors via 1,5-hydrogen abstraction and cyclization to saturated nitrogen heterocycles.","Key concepts: N-centered radicals, 1,5-hydrogen abstraction, halogen rebound, cyclization under acidic or neutral photochemical conditions, and Suarez-type remote functionalization variants.",named reactions_260.jpg
p209,209,Hofmann-Löffler-Freytag Reaction – Synthetic Applications,Synthetic Applications,application_example,Hofmann-Loffler-Freytag Reaction,Hofmann-Loffler-Freytag Reaction|HLF Reaction|Hofmann-Loeffler-Freytag Reaction|Suarez Modification,"Application page for the Hofmann-Loffler-Freytag reaction featuring podocarpane alkaloid cores, bicyclic aza- and oxa-systems, and saccharin derivatives assembled through remote radical amination or Suarez-type oxidative cyclization.","Examples emphasize bridge-forming radical cyclizations, carbohydrate-derived intramolecular C-H functionalization, and N-radical mediated remote oxidation or glycosidation.",named reactions_261.jpg
p210,210,Hofmann Rearrangement – Importance and Mechanism,Importance; Mechanism,canonical_overview,Hofmann Rearrangement,Hofmann Rearrangement|Hofmann Degradation,Overview page for the Hofmann rearrangement describing conversion of primary carboxamides into amines or trapped isocyanate derivatives through N-haloamide formation and migration to an isocyanate.,"Key concepts: N-haloamide intermediates, concerted rearrangement to isocyanates, retention of configuration, hydrolysis to one-carbon-shorter amines, and trapping of isocyanates with alcohols or amines.",named reactions_262.jpg
p211,211,Hofmann Rearrangement – Synthetic Applications,Synthetic Applications,application_example,Hofmann Rearrangement,Hofmann Rearrangement|Hofmann Degradation,"Application page for the Hofmann rearrangement featuring epibatidine, cepharamine, preussin, and capreomycin intermediates where chemoselective amide contraction installs amines or carbamates late in synthesis.","Examples emphasize hypervalent iodine or classical hypobromite variants, stereoretentive migration, and selective conversion of primary amides into protected amines in complex natural product synthesis.",named reactions_263.jpg
p212,212,Horner-Wadsworth-Emmons Olefination – Importance and Mechanism,Importance; Mechanism,canonical_overview,Horner-Wadsworth-Emmons Olefination,Horner-Wadsworth-Emmons Olefination|HWE Olefination|Horner-Wittig Reaction|Wadsworth-Emmons Reaction,"Overview page for the Horner-Wadsworth-Emmons olefination describing phosphonate-stabilized carbanion addition to aldehydes or ketones followed by elimination to form alkenes, typically with high E selectivity.","Key concepts: phosphonate carbanions, HWE versus Wittig reactivity, E/Z selectivity control, Still-Gennari-type modifications, mild base conditions, and water-soluble phosphate byproducts facilitating product isolation.",named reactions_264.jpg
p213,213,Horner-Wadsworth-Emmons Olefination – Synthetic Applications,Synthetic Applications,application_example,Horner-Wadsworth-Emmons Olefination,Horner-Wadsworth-Emmons Olefination|HWE Olefination|Horner-Wittig Reaction|Wadsworth-Emmons Reaction,"Application page for the Horner-Wadsworth-Emmons olefination featuring cylindrocyclophane A, carbacephalosporin, and callipeltoside A assembled through intramolecular or intermolecular phosphonate olefination steps.","Examples emphasize macrocyclizing HWE dimerization, beta-lactam-containing olefinations, and late-stage coupling of complex side chains to phosphonate- or phosphine-oxide-derived fragments.",named reactions_265.jpg
