page_label,page_no,title,section_name,page_kind,summary,family_names,reference_family_name,notes,image_filename
p583,583,IX. REFERENCES,IX. References,reference_bibliography,"Reference-section page listing literature citations associated with the named reactions covered in the handbook, intended as a back-of-book bibliography and source trail for the main reaction entries.",References,,Backmatter bibliography page.,named reactions_583.jpg
p584,584,IX. REFERENCES,IX. References continuation,reference_bibliography,"Reference-section page listing literature citations associated with the named reactions covered in the handbook, intended as a back-of-book bibliography and source trail for the main reaction entries.",References,,Backmatter bibliography page.,named reactions_584.jpg
p585,585,IX. REFERENCES,IX. References continuation,reference_bibliography,"Reference-section page listing literature citations associated with the named reactions covered in the handbook, intended as a back-of-book bibliography and source trail for the main reaction entries.",References,,Backmatter bibliography page.,named reactions_585.jpg
p586,586,IX. REFERENCES,IX. References continuation,reference_bibliography,"Reference-section page listing literature citations associated with the named reactions covered in the handbook, intended as a back-of-book bibliography and source trail for the main reaction entries.",References,,Backmatter bibliography page.,named reactions_586.jpg
p587,587,IX. REFERENCES,IX. References continuation,reference_bibliography,"Reference-section page listing literature citations associated with the named reactions covered in the handbook, intended as a back-of-book bibliography and source trail for the main reaction entries.",References,,Backmatter bibliography page.,named reactions_587.jpg
p588,588,IX. REFERENCES,IX. References continuation,reference_bibliography,"Reference-section page listing literature citations associated with the named reactions covered in the handbook, intended as a back-of-book bibliography and source trail for the main reaction entries.",References,,Backmatter bibliography page.,named reactions_588.jpg
p589,589,IX. REFERENCES,IX. References continuation,reference_bibliography,"Reference-section page listing literature citations associated with the named reactions covered in the handbook, intended as a back-of-book bibliography and source trail for the main reaction entries.",References,,Backmatter bibliography page.,named reactions_589.jpg
p590,590,IX. REFERENCES,IX. References continuation,reference_bibliography,"Reference-section page listing literature citations associated with the named reactions covered in the handbook, intended as a back-of-book bibliography and source trail for the main reaction entries.",References,,Backmatter bibliography page.,named reactions_590.jpg
p591,591,IX. REFERENCES,IX. References continuation,reference_bibliography,"Reference-section page listing literature citations associated with the named reactions covered in the handbook, intended as a back-of-book bibliography and source trail for the main reaction entries.",References,,Backmatter bibliography page.,named reactions_591.jpg
p592,592,IX. REFERENCES,IX. References continuation,reference_bibliography,"Reference-section page listing literature citations associated with the named reactions covered in the handbook, intended as a back-of-book bibliography and source trail for the main reaction entries.",References,,Backmatter bibliography page.,named reactions_592.jpg
p593,593,IX. REFERENCES,IX. References continuation,reference_bibliography,"Reference-section page listing literature citations associated with the named reactions covered in the handbook, intended as a back-of-book bibliography and source trail for the main reaction entries.",References,,Backmatter bibliography page.,named reactions_593.jpg
p594,594,IX. REFERENCES,IX. References continuation,reference_bibliography,"Reference-section page listing literature citations associated with the named reactions covered in the handbook, intended as a back-of-book bibliography and source trail for the main reaction entries.",References,,Backmatter bibliography page.,named reactions_594.jpg
p595,595,IX. REFERENCES,IX. References continuation,reference_bibliography,"Reference-section page listing literature citations associated with the named reactions covered in the handbook, intended as a back-of-book bibliography and source trail for the main reaction entries.",References,,Backmatter bibliography page.,named reactions_595.jpg
p596,596,IX. REFERENCES,IX. References continuation,reference_bibliography,"Reference-section page listing literature citations associated with the named reactions covered in the handbook, intended as a back-of-book bibliography and source trail for the main reaction entries.",References,,Backmatter bibliography page.,named reactions_596.jpg
p597,597,IX. REFERENCES,IX. References continuation,reference_bibliography,"Reference-section page listing literature citations associated with the named reactions covered in the handbook, intended as a back-of-book bibliography and source trail for the main reaction entries.",References,,Backmatter bibliography page.,named reactions_597.jpg
p598,598,IX. REFERENCES,IX. References continuation,reference_bibliography,"Reference-section page listing literature citations associated with the named reactions covered in the handbook, intended as a back-of-book bibliography and source trail for the main reaction entries.",References,,Backmatter bibliography page.,named reactions_598.jpg
p599,599,IX. REFERENCES,IX. References continuation,reference_bibliography,"Reference-section page listing literature citations associated with the named reactions covered in the handbook, intended as a back-of-book bibliography and source trail for the main reaction entries.",References,,Backmatter bibliography page.,named reactions_599.jpg
p600,600,IX. REFERENCES,IX. References continuation,reference_bibliography,"Reference-section page listing literature citations associated with the named reactions covered in the handbook, intended as a back-of-book bibliography and source trail for the main reaction entries.",References,,Backmatter bibliography page.,named reactions_600.jpg
p601,601,IX. REFERENCES,IX. References continuation,reference_bibliography,"Reference-section page listing literature citations associated with the named reactions covered in the handbook, intended as a back-of-book bibliography and source trail for the main reaction entries.",References,,Backmatter bibliography page.,named reactions_601.jpg
p602,602,IX. REFERENCES,IX. References continuation,reference_bibliography,"Reference-section page listing literature citations associated with the named reactions covered in the handbook, intended as a back-of-book bibliography and source trail for the main reaction entries.",References,,Backmatter bibliography page.,named reactions_602.jpg
p603,603,IX. REFERENCES,IX. References continuation,reference_bibliography,"Reference-section page listing literature citations associated with the named reactions covered in the handbook, intended as a back-of-book bibliography and source trail for the main reaction entries.",References,,Backmatter bibliography page.,named reactions_603.jpg
p604,604,IX. REFERENCES,IX. References continuation,reference_bibliography,"Reference-section page listing literature citations associated with the named reactions covered in the handbook, intended as a back-of-book bibliography and source trail for the main reaction entries.",References,,Backmatter bibliography page.,named reactions_604.jpg
p605,605,IX. REFERENCES,IX. References continuation,reference_bibliography,"Reference-section page listing literature citations associated with the named reactions covered in the handbook, intended as a back-of-book bibliography and source trail for the main reaction entries.",References,,Backmatter bibliography page.,named reactions_605.jpg
p606,606,IX. REFERENCES,IX. References continuation,reference_bibliography,"Reference-section page listing literature citations associated with the named reactions covered in the handbook, intended as a back-of-book bibliography and source trail for the main reaction entries.",References,,Backmatter bibliography page.,named reactions_606.jpg
p607,607,IX. REFERENCES,IX. References continuation,reference_bibliography,"Reference-section page listing literature citations associated with the named reactions covered in the handbook, intended as a back-of-book bibliography and source trail for the main reaction entries.",References,,Backmatter bibliography page.,named reactions_607.jpg
p608,608,IX. REFERENCES,IX. References continuation,reference_bibliography,"Reference-section page listing literature citations associated with the named reactions covered in the handbook, intended as a back-of-book bibliography and source trail for the main reaction entries.",References,,Backmatter bibliography page.,named reactions_608.jpg
p609,609,IX. REFERENCES,IX. References continuation,reference_bibliography,"Reference-section page listing literature citations associated with the named reactions covered in the handbook, intended as a back-of-book bibliography and source trail for the main reaction entries.",References,,Backmatter bibliography page.,named reactions_609.jpg
p610,610,IX. REFERENCES,IX. References continuation,reference_bibliography,"Reference-section page listing literature citations associated with the named reactions covered in the handbook, intended as a back-of-book bibliography and source trail for the main reaction entries.",References,,Backmatter bibliography page.,named reactions_610.jpg
p611,611,IX. REFERENCES,IX. References continuation,reference_bibliography,"Reference-section page listing literature citations associated with the named reactions covered in the handbook, intended as a back-of-book bibliography and source trail for the main reaction entries.",References,,Backmatter bibliography page.,named reactions_611.jpg
