page_label,page_no,title,section_name,page_kind,reference_family_name,family_names,summary,notes,image_filename
p284,284,MEYER-SCHUSTER AND RUPE REARRANGEMENT,Importance; Mechanism,canonical_overview,Meyer-Schuster and Rupe Rearrangement,Meyer-Schuster and Rupe Rearrangement|Meyer-Schuster rearrangement|Rupe rearrangement,"Overview page for the Meyer-Schuster and Rupe rearrangements describing acid-catalyzed conversion of secondary or tertiary propargylic alcohols into alpha,beta-unsaturated carbonyl compounds.","Key concepts: protic or Lewis-acid catalysis, Meyer-Schuster rearrangement of secondary/tertiary propargylic alcohols to enones or enals, Rupe rearrangement of tertiary alcohols to alpha,beta-unsaturated ketones, and mechanistic involvement of propargylic/allenyl cation equilibration.",named reactions_336.jpg
p285,285,MEYER-SCHUSTER AND RUPE REARRANGEMENT,Synthetic Applications,application_example,Meyer-Schuster and Rupe Rearrangement,Meyer-Schuster and Rupe Rearrangement|Meyer-Schuster rearrangement|Rupe rearrangement,"Application page for the Meyer-Schuster and Rupe rearrangements featuring (+)-capnellene, histamine H3-receptor antagonists, steroidal ketones, and (+)-LL-Z1271alpha prepared through acid-promoted rearrangement of propargylic alcohols.","Examples emphasize strategic use of Rupe rearrangement for cyclopentenone construction, Meyer-Schuster rearrangement for cinnamaldehyde formation, large-scale steroid rearrangements, and tandem organolithium addition/rearrangement sequences in natural-product synthesis.",named reactions_337.jpg
p286,286,MICHAEL ADDITION/REACTION,Importance; Mechanism,canonical_overview,Michael Addition Reaction,Michael Addition/Reaction|Michael Addition Reaction|Michael addition|Michael reaction,"Overview page for the Michael addition describing 1,4-conjugate addition of carbon or heteroatom nucleophiles to activated alkenes or alkynes bearing electron-withdrawing groups.","Key concepts: conjugate addition to alpha,beta-unsaturated carbonyl and related acceptors, use of stabilized carbon nucleophiles or heteroatom donors, thermodynamic reversibility in protic media, and broad utility of Michael adducts in cascade synthesis.",named reactions_338.jpg
p287,287,MICHAEL ADDITION/REACTION,Synthetic Applications,application_example,Michael Addition Reaction,Michael Addition/Reaction|Michael Addition Reaction|Michael addition|Michael reaction,"Application page for the Michael addition featuring (+)-batrachotoxinin A, fredericamycin A, (+)-longiborneol, and (-)-dysiherbaine assembled through inter- or intramolecular Michael additions.","Examples emphasize enolate trapping after conjugate addition, tandem Michael/Dieckmann annulation, intramolecular double Michael cyclizations to bridged terpenes, and ring-forming hetero-Michael additions in neuroactive natural-product synthesis.",named reactions_339.jpg
p288,288,MIDLAND ALPINE-BORANE® REDUCTION (MIDLAND REDUCTION),Importance; Mechanism,canonical_overview,Midland Alpine Borane Reduction,Midland Alpine-Borane Reduction (Midland Reduction)|Midland Alpine Borane Reduction|Midland reduction|Alpine-Borane reduction,Overview page for the Midland Alpine-Borane reduction describing asymmetric reduction of ketones and aldehydes with chiral B-3-alpha-pinanyl-9-BBN reagents to give enantioenriched alcohols.,"Key concepts: preparation of Alpine-Borane from alpha-pinene and 9-BBN, chiral hydride delivery to prochiral carbonyl compounds, substrate- and steric-effects on rate and selectivity, and mechanistic transition-state models for enantioselection.",named reactions_340.jpg
p289,289,MIDLAND ALPINE-BORANE® REDUCTION (MIDLAND REDUCTION),Synthetic Applications,application_example,Midland Alpine Borane Reduction,Midland Alpine-Borane Reduction (Midland Reduction)|Midland Alpine Borane Reduction|Midland reduction|Alpine-Borane reduction,"Application page for the Midland reduction featuring lembehyne A, chirally deuterated (S)-D-[6-2H1]glucose, (+)-chondrillin, and labeled glycine derivatives prepared through enantioselective Alpine-Borane reductions.","Examples emphasize introduction of a single stereocenter into propargylic ketones, isotope-labeled sugar synthesis, peroxide natural-product synthesis, and chirality transfer into amino-acid precursors for mechanistic studies.",named reactions_341.jpg
p290,290,MINISCI REACTION,Importance; Mechanism,canonical_overview,Minisci Reaction,Minisci Reaction|Minisci reaction,Overview page for the Minisci reaction describing radical alkylation or acylation of protonated electron-deficient heteroarenes under oxidative conditions.,"Key concepts: generation of carbon-centered radicals from diverse precursors, addition to protonated azaarenes, reoxidation to restore aromaticity, and regioselective functionalization of pyridines, quinolines, isoquinolines, and related heterocycles.",named reactions_342.jpg
p291,291,MINISCI REACTION,Synthetic Applications,application_example,Minisci Reaction,Minisci Reaction|Minisci reaction,"Application page for the Minisci reaction featuring a C-nucleoside, 8-azaergoline, hydroxymethyl-substituted pyridines, tetramethyl isonicotinamide, and amidated chloropyridines assembled through classical or decarboxylative Minisci processes.","Examples emphasize radical addition to quinoline and pyridine systems, intramolecular tandem decarboxylation-cyclization Minisci chemistry, N-methoxy pyridinium radical substitutions, and medicinally relevant azaarene derivatization.",named reactions_343.jpg
p292,292,MISLOW-EVANS REARRANGEMENT,Importance; Mechanism,canonical_overview,Mislow-Evans Rearrangement,Mislow-Evans Rearrangement|Mislow-Evans rearrangement,"Overview page for the Mislow-Evans rearrangement describing allylic sulfoxide/sulfinate-sulfoxide rearrangement chemistry that delivers allylic alcohols through reversible [2,3]-sigmatropic sulfur migration.","Key concepts: thermal racemization of allylic sulfoxides, conversion of allylic alcohols to allylic sulfoxides and alcohols, stereospecific [2,3]-rearrangement through sulfinate esters, and thiophile-assisted reductive cleavage to allylic alcohol products.",named reactions_344.jpg
p293,293,MISLOW-EVANS REARRANGEMENT,Synthetic Applications,application_example,Mislow-Evans Rearrangement,Mislow-Evans Rearrangement|Mislow-Evans rearrangement,"Application page for the Mislow-Evans rearrangement featuring ethyl ester of PGE2um, (+)-pyrenolide D, (+)-14-deoxisoamijiol, and halicholactone prepared through allylic sulfoxide rearrangements.","Examples emphasize control of double-bond geometry in prostaglandin synthesis, oxidative ring-contraction via anomeric allylic sulfoxides, use of sulfoxide-sulfinate rearrangement to epimerize allylic alcohols, and stereochemical relay into macrocyclic lactone targets.",named reactions_345.jpg
