alias,canonical_name,entity_type,source_page,notes
MPPC,N-methyl piperidinium chlorochromate,oxidant,34,
Ms,mesyl (methanesulfonyl),protecting_group,34,
MS,mass spectrometry / molecular sieves,analysis_term,34,Ambiguous glossary abbreviation on page: also molecular sieves.
MSA,methanesulfonic acid,reagent,34,
MSH,o-mesitylenesulfonyl hydroxylamine,reagent,34,
MSTFA,N-methyl-N-(trimethylsilyl)trifluoroacetamide,reagent,34,
MTAD,N-methyltriazolinedione,reagent,34,
MTEE,methyl tert-butyl ether,solvent,34,Shown as MTEE (MTBE).
MTBE,methyl tert-butyl ether,solvent,34,Synonym shown on glossary page.
MTM,methylthiomethyl,protecting_group,34,
MTO,methyltrioxorhenium,catalyst,34,
Mtr,"(4-methoxy-2,3,6-trimethylphenyl)sulfonyl",protecting_group,34,
MVK,methyl vinyl ketone,reagent,34,
mw,microwave,condition_term,34,
n,normal (unbranched alkyl chain),general_term,34,
NADPH,nicotinamide adenine dinucleotide phosphate,reagent,34,Biological redox cofactor.
NaHMDS,sodium bis(trimethylsilyl)amide,base,35,
Naph,naphthyl,substituent,35,Shown as Naph (Np).
Np,naphthyl,substituent,35,Alias shown with Naph.
NBA,N-bromoacetamide,reagent,35,
NBD,norbornadiene,ligand,35,Shown as NBD (nbd).
nbd,norbornadiene,ligand,35,Lowercase alias shown with NBD.
NBS,N-bromosuccinimide,reagent,35,
NCS,N-chlorosuccinimide,reagent,35,
Nf,nonafluorobutanesulfonyl,protecting_group,35,
NHPI,N-hydroxyphthalimide,reagent,35,
NIS,N-iodosuccinimide,reagent,35,
NMM,N-methylmorpholine,base,35,
NMO,N-methylmorpholine oxide,oxidant,35,
NMP,N-methyl-2-pyrrolidone,solvent,35,
NMR,nuclear magnetic resonance,analysis_term,35,
NORPHOS,bis(diphenylphosphino)bicyclo[2.2.1]hept-5-ene,ligand,35,
Nos,4-nitrobenzenesulfonyl,protecting_group,35,
NPM,N-phenylmaleimide,reagent,36,
NR,no reaction,general_term,36,
Ns,2-nitrobenzenesulfonyl,protecting_group,36,
NSAID,non steroidal anti-inflammatory drug,general_term,36,
Nuc,nucleophile (general),general_term,36,
o,ortho,general_term,36,
Oxone,potassium peroxymonosulfate,oxidant,36,
p,para,general_term,36,
PAP,"2,8,9-trialkyl-2,5,8,9-tetraaza-1-phospha-bicyclo[3.3.3]undecane",base,36,
PBP,pyridinium bromide perbromide,reagent,36,
PCC,pyridinium chlorochromate,oxidant,36,
PDC,pyridinium dichromate,oxidant,36,
PEG,polyethylene glycol,solvent,36,
Pf,9-phenylfluorenyl,protecting_group,36,
pfb,perfluorobutyrate,reagent,36,
Ph,phenyl,substituent,36,
PHAL,phthalazine,ligand,36,
phen,"9,10-phenanthroline",ligand,36,
Phth,phthaloyl,protecting_group,37,
