page_label,page_no,title,section_name,page_kind,reference_family_name,family_names,summary,notes,image_filename
p72,72,Burgess Dehydration Reaction – Importance and Mechanism,Importance; Mechanism,canonical_overview,Burgess Dehydration Reaction,Burgess Dehydration Reaction,"Overview page for the Burgess dehydration reaction describing mild syn-elimination of secondary and tertiary alcohols through sulfamate ester formation using the Burgess reagent, with extensions to dehydration of formamides, amides, oximes, and nitroalkanes.","Key concepts: Burgess reagent, sulfamate ester, syn elimination, mild dehydration.",named reactions_124.jpg
p73,73,Burgess Dehydration Reaction – Synthetic Applications,Synthetic Applications,application_example,Burgess Dehydration Reaction,Burgess Dehydration Reaction,"Application page for the Burgess dehydration reaction featuring exocyclic alkene formation in taxol synthesis, oxazole construction in madumycin II synthesis, and enone generation en route to herbicidin B.",Natural product oriented dehydration and cyclodehydration examples.,named reactions_125.jpg
p74,74,Cannizzaro Reaction – Importance and Mechanism,Importance; Mechanism,canonical_overview,Cannizzaro Reaction,Cannizzaro Reaction,"Overview page for the Cannizzaro reaction describing base-promoted disproportionation of non-enolizable aldehydes into alcohol and carboxylate products via hydride transfer, including crossed and intramolecular variants and Lewis-acid-enabled asymmetric versions.","Key concepts: hydride transfer, non-enolizable aldehydes, crossed Cannizzaro, intramolecular Cannizzaro.",named reactions_126.jpg
p75,75,Cannizzaro Reaction – Synthetic Applications,Synthetic Applications,application_example,Cannizzaro Reaction,Cannizzaro Reaction,"Application page for the Cannizzaro reaction featuring transannular prismane-lactone formation, dibenzoheptalene bislactones, hydroxymethyl pyridine synthesis, and atropoenantioselective coumarin assembly.",Examples emphasize unusual intramolecular and crossed hydride-transfer manifolds.,named reactions_127.jpg
p76,76,Carroll Rearrangement (Kimel-Cope Rearrangement) – Importance and Mechanism,Importance; Mechanism,canonical_overview,Carroll Rearrangement,Carroll Rearrangement; Kimel-Cope Rearrangement,"Overview page for the Carroll rearrangement describing [3,3]-sigmatropic rearrangement of allylic beta-keto esters to gamma,delta-unsaturated ketones, often followed by decarboxylation, and conceptually related to a decarboxylative Claisen rearrangement.","Key concepts: ester enolate, [3,3]-sigmatropic shift, decarboxylation, gamma-delta unsaturated ketone formation.",named reactions_128.jpg
p77,77,Carroll Rearrangement (Kimel-Cope Rearrangement) – Synthetic Applications,Synthetic Applications,application_example,Carroll Rearrangement,Carroll Rearrangement; Kimel-Cope Rearrangement,"Application page for the Carroll rearrangement featuring malyngolide, 4-epi-acetomycin, prelog-djerassi lactone, and substituted arylacetones generated through stereoselective ester-enolate or beta-keto ester rearrangement sequences.",Highlights stereochemical control from chair-like transition states.,named reactions_129.jpg
p78,78,Castro-Stephens Coupling – Importance and Mechanism,Importance; Mechanism,canonical_overview,Castro-Stephens Coupling,Castro-Stephens Coupling,"Overview page for the Castro-Stephens coupling describing copper(I)-mediated coupling of aryl or vinyl halides with copper acetylides or terminal alkynes to form substituted alkynes and, when ortho-substituents are present, heterocycles.","Key concepts: copper acetylides, aryl/vinyl halides, four-centered transition state, heterocycle formation.",named reactions_130.jpg
p79,79,Castro-Stephens Coupling – Synthetic Applications,Synthetic Applications,application_example,Castro-Stephens Coupling,Castro-Stephens Coupling,"Application page for the Castro-Stephens coupling featuring isocumestan synthesis, tribenzocyclotriyne assembly, macrocyclic diene/triene lactones, and epothilone B fragment coupling under copper-mediated alkynylation conditions.",Examples emphasize macrocyclization and polyalkyne assembly.,named reactions_131.jpg
p80,80,Chichibabin Amination Reaction – Importance and Mechanism,Importance; Mechanism,canonical_overview,Chichibabin Amination Reaction,Chichibabin Amination Reaction,Overview page for the Chichibabin amination reaction describing nucleophilic aromatic substitution of hydride on electron-deficient azines and diazines by amide or amine equivalents to install amino groups under strongly basic conditions.,"Key concepts: amide ion, heteroaromatic SNAr, hydride loss, electron-deficient azines.",named reactions_132.jpg
p81,81,Chichibabin Amination Reaction – Synthetic Applications,Synthetic Applications,application_example,Chichibabin Amination Reaction,Chichibabin Amination Reaction,"Application page for the Chichibabin amination reaction featuring PHIP mutagen synthesis, tetrahydronaphthyridine preparation, bisubstrate reaction templates, and pyridinophane macrocycle assembly via single or double Chichibabin-type amination.",Examples emphasize aminopyridine synthesis and macrocyclic aza-heterocycle construction.,named reactions_133.jpg
