page_label,page_no,title,section_name,page_kind,reference_family_name,family_names,summary,notes,image_filename
p244,244,KNORR PYRROLE SYNTHESIS,Importance; Mechanism,canonical_overview,Knorr Pyrrole Synthesis,Knorr Pyrrole Synthesis|Knorr pyrrole synthesis,"Overview page for the Knorr pyrrole synthesis describing condensation of alpha-amino ketones with ketones or active methylene compounds to furnish substituted pyrroles, often after in situ reduction of alpha-nitroso ketones.","Key concepts: preparation of alpha-amino ketones from alpha-nitroso ketones under Zn/AcOH, sodium dithionite, or hydrogenation conditions; condensation with 1,3-dicarbonyl or other activated carbonyl partners; imine/enamine cyclization; and regiochemical control in substituted pyrrole formation.",named reactions_296.jpg
p245,245,KNORR PYRROLE SYNTHESIS,Synthetic Applications,application_example,Knorr Pyrrole Synthesis,Knorr Pyrrole Synthesis|Knorr pyrrole synthesis,"Application page for the Knorr pyrrole synthesis featuring a tricyclic thienocycloheptapyrrole acid, tetrasubstituted pyrroles from Weinreb-amide-derived alpha-amino ketones, SB-342219, and Ro 22-1319 prepared through late-stage pyrrole annulation.","Examples emphasize nitrosation/reduction sequences to alpha-amino ketones, use of acetoacetic ester or amino ketone hydrochlorides as coupling partners, and rapid construction of highly substituted pyrrole-fused medicinal scaffolds.",named reactions_297.jpg
p246,246,KOENIGS-KNORR GLYCOSIDATION,Importance; Mechanism,canonical_overview,Koenigs-Knorr Glycosidation,Koenigs-Knorr Glycosidation|Koenigs-Knorr glycosidation|Koenigs-Knorr glycosylation,"Overview page for the Koenigs-Knorr glycosidation describing coupling of glycosyl halides with alcohols or phenols under heavy-metal salts, Lewis acids, or phase-transfer conditions to form O-alkyl or aryl glycosides with substrate-controlled stereochemistry.",Key concepts: preparation and activation of glycosyl chlorides or bromides; neighboring-group participation for beta-selectivity; use of silver or mercury salts and Lewis acids; oxocarbenium/dioxolanium ion reactivity; and limitations caused by elimination or hydrolysis of glycosyl halides.,named reactions_298.jpg
p247,247,KOENIGS-KNORR GLYCOSIDATION,Synthetic Applications,application_example,Koenigs-Knorr Glycosidation,Koenigs-Knorr Glycosidation|Koenigs-Knorr glycosidation|modified Koenigs-Knorr glycosidation,"Application page for the Koenigs-Knorr glycosidation featuring sophorolipid lactone, (+)-lepicidin A, and (-)-lithospermoside assembled through silver-promoted glycosylation of complex aglycons and cyanoglycoside precursors.","Examples emphasize modified AgOTf- or Ag-zeolite-mediated conditions, preservation of acid-labile protecting groups, selective beta-glycoside formation from alpha-glycosyl halides, and late-stage installation of glycosidic linkages in densely functionalized natural products.",named reactions_299.jpg
p248,248,KOLBE-SCHMITT REACTION,Importance; Mechanism,canonical_overview,Kolbe-Schmitt Reaction,Kolbe-Schmitt Reaction|Kolbe-Schmitt carboxylation|Kolbe-Lautemann reaction,Overview page for the Kolbe-Schmitt reaction describing carboxylation of phenoxide salts with carbon dioxide under thermal or pressurized conditions to afford ortho- or para-hydroxy aromatic carboxylic acids such as salicylic acid derivatives.,"Key concepts: conversion of phenols to alkali-metal phenoxides, CO2 insertion under heat or pressure, regiochemical control by cation size and substrate substitution, phenoxide-CO2 complex formation, and application to mono- or polyhydric phenols and naphthols.",named reactions_300.jpg
p249,249,KOLBE-SCHMITT REACTION,Synthetic Applications,application_example,Kolbe-Schmitt Reaction,Kolbe-Schmitt Reaction|Kolbe-Schmitt carboxylation,"Application page for the Kolbe-Schmitt reaction featuring a biphenyl-based alkene metathesis catalyst precursor, 3,5-di-tert-butyl-gamma-resorcylic acid, tri-o-thymotide (TOT), and (+)-pulvilloric acid prepared by late-stage aromatic carboxylation.","Examples emphasize dry basic conditions with CO2 at atmospheric pressure or under heat, downstream esterification or cyclodehydration of salicylate products, and use of Kolbe-Schmitt carboxylation to install salicylic-acid motifs in catalyst and natural-product synthesis.",named reactions_301.jpg
p250,250,KORNBLUM OXIDATION,Importance; Mechanism,canonical_overview,Kornblum Oxidation,Kornblum Oxidation|Ganem oxidation|Kornblum-Ganem oxidation,"Overview page for the Kornblum oxidation describing conversion of activated alkyl halides or alpha-halo carbonyl compounds to aldehydes, ketones, or alpha-oxo carbonyl compounds by dimethyl sulfoxide under basic or silver-assisted conditions.","Key concepts: displacement of halide by DMSO to form alkoxysulfonium salts, deprotonation and [2,3]-sigmatropic or elimination pathways to carbonyl compounds, silver-assisted activation with AgOTs or AgBF4, and Ganem variants employing tertiary amine N-oxides.",named reactions_302.jpg
p251,251,KORNBLUM OXIDATION,Synthetic Applications,application_example,Kornblum Oxidation,Kornblum Oxidation|modified Kornblum oxidation|Ganem oxidation,"Application page for the Kornblum oxidation featuring a fluorescent nucleoside derivative, (+)-solidago alcohol, an anthralin analogue, and the triene fragment of apotolidin assembled through oxidation of benzylic or allylic halides to carbonyl intermediates.","Examples emphasize DMSO/DBU or AgBF4-promoted conditions, conversion of bicyclic bromides and benzylic bromides to aldehydes or ketones, and selection between original Kornblum and milder Ganem oxidation conditions for sensitive polyunsaturated systems.",named reactions_303.jpg
p252,252,KRAPCHO DEALKOXYCARBONYLATION (KRAPCHO REACTION),Importance; Mechanism,canonical_overview,Krapcho Dealkoxycarbonylation,Krapcho Dealkoxycarbonylation|Krapcho Reaction|Krapcho dealkoxycarbonylation,"Overview page for the Krapcho dealkoxycarbonylation describing salt-promoted cleavage of methoxycarbonyl or ethoxycarbonyl groups from malonic esters, beta-keto esters, alpha-cyano esters, and related electron-poor esters in wet polar aprotic solvents.","Key concepts: one-pot dealkoxycarbonylation using NaCN, KCN, LiCl, NaCl, or related salts in DMSO, DMF, DMA, or HMPT; dependence on alpha-substitution and ester identity; mechanistic pathways involving cyanide addition or SN2 displacement at alkyl esters; and compatibility with base-sensitive substrates.",named reactions_304.jpg
p253,253,KRAPCHO DEALKOXYCARBONYLATION (KRAPCHO REACTION),Synthetic Applications,application_example,Krapcho Dealkoxycarbonylation,Krapcho Dealkoxycarbonylation|Krapcho Reaction|Krapcho dealkoxycarbonylation,"Application page for the Krapcho dealkoxycarbonylation featuring metacycloprodigiosin, (-)-epibatidine, deacetoxyalcyonin acetate, and paeonilactone A synthesized through late-stage removal of alkoxycarbonyl groups from beta-keto or malonate-derived intermediates.","Examples emphasize wet DMSO with NaCl or LiCl, thermal dealkoxycarbonylation of beta-keto esters, rare epimerizing methyl-ketone formation, and combination of Krapcho dealkoxycarbonylation with downstream hydrogenation, methylation, or palladium-catalyzed cyclization steps.",named reactions_305.jpg
