page_label,page_no,title,section_name,page_kind,summary,family_names,reference_family_name,notes,image_filename
p436,436,STILLE CARBONYLATIVE CROSS-COUPLING,Importance; Mechanism,canonical_overview,Overview page for the Stille carbonylative cross-coupling describing Pd-catalyzed carbon monoxide insertion into organostannane/electrophile couplings to form ketones with broad chemo- and stereocontrol.,Stille Carbonylative Cross-Coupling,Stille Carbonylative Cross-Coupling,"Key concepts: carbon monoxide insertion between oxidative addition and transmetalation manifolds, use of organostannanes with acyl or aryl/vinyl electrophiles, and access to ketones under palladium catalysis.",named reactions_488.jpg
p437,437,STILLE CARBONYLATIVE CROSS-COUPLING,Synthetic Examples,application_example,"Application page for the Stille carbonylative cross-coupling featuring (-)-strychnine, C-glycosides, photoactivatable 4-benzoyl-L-phenylalanines, and 5-carbonyluridine analogues, highlighting carbonylative ketone formation in alkaloid, carbohydrate, peptide, and nucleoside synthesis.",Stille Carbonylative Cross-Coupling,Stille Carbonylative Cross-Coupling,"Examples emphasize CO insertion under Pd catalysis, C-glycoside assembly from stannylglucals and iodoglucals, peptide benzophenone installation, and nucleoside carbonylation chemistry.",named reactions_489.jpg
p438,438,STILLE CROSS-COUPLING (MIGITA-KOSUGI-STILLE COUPLING),Importance; Mechanism,canonical_overview,"Overview page for the Stille cross-coupling describing Pd-catalyzed C-C bond formation between organostannanes and aryl, vinyl, allyl, or acyl electrophiles under mild conditions with high functional-group tolerance.",Stille Cross-Coupling (Migita-Kosugi-Stille Coupling)|Stille cross-coupling,Stille Cross-Coupling (Migita-Kosugi-Stille Coupling),"Key concepts: oxidative addition, transmetalation from organostannanes, reductive elimination, compatibility with many functional groups, and frequent preservation of alkene geometry in the coupled product.",named reactions_490.jpg
p439,439,STILLE CROSS-COUPLING (MIGITA-KOSUGI-STILLE COUPLING),Synthetic Applications,application_example,"Application page for the Stille cross-coupling featuring (+)-mycotrienol, ircinal A, quadrigemine C, and callipeltoside aglycon, illustrating vinyl, dienyl, and highly convergent fragment couplings in complex natural-product synthesis.",Stille Cross-Coupling (Migita-Kosugi-Stille Coupling)|Stille cross-coupling,Stille Cross-Coupling (Migita-Kosugi-Stille Coupling),"Examples emphasize macrocyclization-compatible Stille coupling, tandem Stille/Diels-Alder and double Stille-Heck strategies, and careful catalyst selection for diene-yne fragment assembly.",named reactions_491.jpg
p440,440,STILLE-KELLY COUPLING,Importance; Mechanism,canonical_overview,Overview page for the Stille-Kelly coupling describing Pd-catalyzed intramolecular biaryl formation from aryl halides or triflates and distannanes to furnish arylstannane intermediates and cyclized biaryls.,Stille-Kelly Coupling,Stille-Kelly Coupling,"Key concepts: tandem oxidative addition/transmetalation sequences with distannanes, arylstannane intermediates, intramolecular biaryl formation, and usefulness for medium-ring and macrocyclic biaryl synthesis.",named reactions_492.jpg
p441,441,STILLE-KELLY COUPLING,Synthetic Applications,application_example,"Application page for the Stille-Kelly coupling featuring N-mesyl-α-carboline, benzo[4,5]furo[3,2-c]pyridine, hippadine, and plagiochin D, showing intramolecular biaryl couplings in heteroaromatic alkaloids and macrocycles.",Stille-Kelly Coupling,Stille-Kelly Coupling,"Examples emphasize sequential Buchwald-Hartwig/Stille-Kelly planning, heterobiaryl cyclization, indole alkaloid assembly, and macrocyclic biaryl closure from stannylated intermediates.",named reactions_493.jpg
p442,442,STOBBE CONDENSATION,Importance; Mechanism,canonical_overview,Overview page for the Stobbe condensation describing base-mediated condensation of aldehydes or ketones with dialkyl succinates to give alkylidene succinic acid monoesters or related half-esters after acidic workup.,Stobbe Condensation,Stobbe Condensation,"Key concepts: succinate enolate addition to carbonyl compounds, aldol-type intermediates, lactone opening and double-bond formation, and preference for monoester/half-acid products after acidification.",named reactions_494.jpg
p443,443,STOBBE CONDENSATION,Synthetic Applications,application_example,"Application page for the Stobbe condensation featuring (+)-codeine, a conformationally constrained analogue of Δ8-THC, and 3,5-bis-trifluoromethylbenzylidene diphenylmethylene succinic anhydride, illustrating alkylidene succinate installation in alkaloid, cannabinoid, and stereochemical studies.",Stobbe Condensation,Stobbe Condensation,"Examples emphasize intramolecular carbonyl additions in alkaloid synthesis, in situ hydrogenation/cyclization of diacid intermediates, and definitive determination of E-olefin geometry in highly substituted Stobbe adducts.",named reactions_495.jpg
p444,444,STORK ENAMINE SYNTHESIS,Importance; Mechanism,canonical_overview,"Overview page for the Stork enamine synthesis describing condensation of aldehydes or ketones with secondary amines to form enamines that undergo α-alkylation, acylation, Michael addition, or related electrophilic functionalization before hydrolysis.",Stork Enamine Synthesis|Stork enamine synthesis,Stork Enamine Synthesis,"Key concepts: enamine formation from carbonyl compounds and secondary amines, neutral enamine alkylation/acylation, hydrolysis back to α-functionalized carbonyl compounds, and use in Michael-type annulations.",named reactions_496.jpg
p445,445,STORK ENAMINE SYNTHESIS,Synthetic Applications,application_example,"Application page for the Stork enamine synthesis featuring (+)-parviflorine, (±)-biactractylolide, (+)-jatropholone A, and (-)-8-aza-12-oxo-17-desoxoestrone, highlighting enamine-mediated alkylation and conjugate addition in terpenoid and alkaloid synthesis.",Stork Enamine Synthesis|Stork enamine synthesis,Stork Enamine Synthesis,"Examples emphasize enamine generation with pyrrolidine or morpholine, use of crude enamines in complex synthesis, acylation to 1,3-diketones, and intramolecular variants for aza-steroid construction.",named reactions_497.jpg
