page_label,page_no,title,section_name,page_kind,reference_family_name,family_names,summary,notes,image_filename
p124,124,Danheiser Cyclopentene Annulation – Importance and Mechanism,Importance; Mechanism,canonical_overview,Danheiser Cyclopentene Annulation,Danheiser Cyclopentene Annulation,"Overview page for the Danheiser cyclopentene annulation describing TiCl4-promoted [3+2] annulation of trimethylsilylallenes with electron-deficient alkenes (allenophiles) to form highly substituted cyclopentenes through allylic cation capture and 1,2-silyl shift pathways.","Key concepts: TiCl4 activation of enones, trimethylsilylallene addition, allylic carbocation intermediates, 1,2-silyl shift, highly substituted cyclopentene formation.",named reactions_176.jpg
p125,125,Danheiser Cyclopentene Annulation – Synthetic Applications,Synthetic Applications,application_example,Danheiser Cyclopentene Annulation,Danheiser Cyclopentene Annulation,"Application page for the Danheiser cyclopentene annulation featuring disilane variants and complex annulations in syntheses of bicyclic ketones, clavukerin and isoclavukerin intermediates, and cis-substituted dihydrofurans from aldehyde-derived heteroallenophile partners.","Examples highlight bicyclic ring construction, disilanyl annulation chemistry, and high stereoselectivity in cyclic enone substrates.",named reactions_177.jpg
p126,126,Danishefsky's Diene Cycloaddition – Importance and Mechanism,Importance; Mechanism,canonical_overview,Danishefsky's Diene Cycloaddition,Danishefsky's Diene Cycloaddition,"Overview page for Danishefsky's diene cycloaddition describing the electron-rich 1-methoxy-3-trimethylsilyloxy-1,3-butadiene as a versatile heterodiene in Lewis-acid-mediated or thermal [4+2] cycloadditions, often proceeding through Mukaiyama-aldol or Diels–Alder manifolds to oxygenated cyclohexenones and dihydropyrones.","Key concepts: Danishefsky diene, hetero Diels–Alder cycloaddition, Mukaiyama aldol pathway, Lewis-acid activation, oxygenated six-membered rings.",named reactions_178.jpg
p127,127,Danishefsky's Diene Cycloaddition – Synthetic Applications,Synthetic Applications,application_example,Danishefsky's Diene Cycloaddition,Danishefsky's Diene Cycloaddition,"Application page for Danishefsky's diene cycloaddition featuring regioselective annulations in syntheses of tubipofuran, (-)-phyllanthine, (+/-)-A80915G, and fluorinated dihydropyrone building blocks from quinone or cyclic imine partners.","Examples emphasize Lewis-acid-promoted hetero Diels–Alder reactions with quinones, imines, and fluorinated aldehydes.",named reactions_179.jpg
p128,128,Darzens Glycidic Ester Condensation – Importance and Mechanism,Importance; Mechanism,canonical_overview,Darzens Glycidic Ester Condensation,Darzens Glycidic Ester Condensation,"Overview page for the Darzens glycidic ester condensation describing base-promoted reaction of aldehydes or ketones with alpha-halo esters, nitriles, sulfones, or amides to form glycidic esters or related epoxides through enolate addition and intramolecular SN2 ring closure.","Key concepts: alpha-halo carbonyl pronucleophiles, Darzens condensation, halohydrin/enolate intermediates, glycidic ester formation, cis/trans epoxide control.",named reactions_180.jpg
p129,129,Darzens Glycidic Ester Condensation – Synthetic Applications,Synthetic Applications,application_example,Darzens Glycidic Ester Condensation,Darzens Glycidic Ester Condensation,"Application page for the Darzens glycidic ester condensation featuring stereocontrolled spiro-epoxide formation in coriolin synthesis, epoxides used en route to epiasarinin, and auxiliary-controlled asymmetric Darzens reactions in diltiazem synthesis.","Examples emphasize stereochemical control through enolate geometry, bromohydrin generation, and chiral auxiliary induction.",named reactions_181.jpg
p130,130,Davis' Oxaziridine Oxidations – Importance and Mechanism,Importance; Mechanism,canonical_overview,Davis' Oxaziridine Oxidations,Davis' Oxaziridine Oxidations,"Overview page for Davis' oxaziridine oxidations describing N-sulfonyloxaziridines as neutral oxygen-transfer reagents for sulfide and selenide oxidation, amine N-oxidation, and especially alpha-hydroxylation of enolates to acyloins via SN2-type oxygen transfer.","Key concepts: oxaziridine oxygen transfer, Davis reagent family, enolate alpha-hydroxylation, sulfide oxidation, non-chelated transition-state control.",named reactions_182.jpg
p131,131,Davis' Oxaziridine Oxidations – Synthetic Applications,Synthetic Applications,application_example,Davis' Oxaziridine Oxidations,Davis' Oxaziridine Oxidations,"Application page for Davis' oxaziridine oxidations featuring alpha-hydroxylation steps in syntheses of epothilone B, okadaic-acid domains, and (-)-fumiquinazoline natural products from chiral oxazolidinone-derived or lactone enolates.",Examples highlight stereocontrolled alpha-oxygenation of complex enolates and downstream elaboration to advanced natural-product fragments.,named reactions_183.jpg
p132,132,De Mayo Cycloaddition (Enone-Alkene [2+2] Photocycloaddition) – Importance and Mechanism,Importance; Mechanism,canonical_overview,De Mayo Cycloaddition,De Mayo Cycloaddition,"Overview page for the De Mayo cycloaddition describing photochemical [2+2] cycloaddition between enones and alkenes to generate cyclobutanes or, via beta-hydroxy ketone intermediates and retro-aldol fragmentation, 1,5-diketones. The page emphasizes triplet-state exciplexes, 1,4-biradicals, and topology-dependent regioselectivity.","Key concepts: triplet enone photochemistry, enone-alkene [2+2] cycloaddition, beta-hydroxy ketone intermediates, retro-aldol fragmentation, substituted cyclobutane formation.",named reactions_184.jpg
p133,133,De Mayo Cycloaddition (Enone-Alkene [2+2] Photocycloaddition) – Synthetic Applications,Synthetic Applications,application_example,De Mayo Cycloaddition,De Mayo Cycloaddition,"Application page for the De Mayo cycloaddition featuring intermolecular and intramolecular [2+2] photochemistry combined with fragmentation, SmI2-mediated ring opening, and radical elaboration in syntheses of taxane frameworks, guanacastepene skeletons, ingenol, and (+)-alismol.",Examples emphasize photochemical cyclobutane formation followed by fragmentation or retro-aldol unmasking to access complex bridged and medium-ring carbon frameworks.,named reactions_185.jpg
