page_label,page_no,title,section_name,page_kind,reference_family_name,family_names,summary,notes,image_filename
p134,134,Demjanov and Tiffeneau-Demjanov Rearrangement – Importance and Mechanism,Importance; Mechanism,canonical_overview,Demjanov and Tiffeneau-Demjanov Rearrangement,Demjanov and Tiffeneau-Demjanov Rearrangement,"Overview page for the Demjanov and Tiffeneau-Demjanov rearrangements describing nitrous-acid-mediated ring expansion of aminomethylcycloalkanes or 1-aminomethylcycloalkanols to the corresponding cycloalkanol or cycloalkanone homologues through diazonium-ion formation and 1,2-alkyl migration.","Key concepts: nitrosation to diazonium ions, ring expansion by 1,2-alkyl shift, Demjanov versus Tiffeneau-Demjanov substrate classes, competitive rearrangement pathways.",named reactions_186.jpg
p135,135,Demjanov and Tiffeneau-Demjanov Rearrangement – Synthetic Applications,Synthetic Applications,application_example,Demjanov and Tiffeneau-Demjanov Rearrangement,Demjanov and Tiffeneau-Demjanov Rearrangement,"Application page for the Demjanov and Tiffeneau-Demjanov rearrangements featuring ring expansion in syntheses of homobrexan-2-one, homospectinomycin analogues, and 2-aminomethyl-7-oxabicyclo[2.2.1]heptane derivatives under nitrosation conditions.","Examples emphasize aminoalcohol preparation, nitrous-acid-mediated rearrangement, and stereochemical control in strained bicyclic systems.",named reactions_187.jpg
p136,136,Dess-Martin Oxidation – Importance and Mechanism,Importance; Mechanism,canonical_overview,Dess-Martin Oxidation,Dess-Martin Oxidation,"Overview page for the Dess-Martin oxidation describing Dess-Martin periodinane (DMP), a soluble hypervalent iodine(V) reagent derived from IBX, as a mild and selective oxidant for 1° and 2° alcohols and oximes to the corresponding carbonyl compounds.","Key concepts: IBX to DMP reagent preparation, hypervalent iodine oxidation, mild neutral conditions, aldehyde/ketone formation, alkoxyperiodinane intermediates.",named reactions_188.jpg
p137,137,Dess-Martin Oxidation – Synthetic Applications,Synthetic Applications,application_example,Dess-Martin Oxidation,Dess-Martin Oxidation,"Application page for the Dess-Martin oxidation featuring late-stage oxidations in syntheses of ustiloxin D, a CP-molecule gamma-hydroxy lactone core, and the E-F fragment of (+)-spongistatin-2, including one-pot oxidation and cascade oxidation variants.","Examples emphasize sensitive polyoxygenated substrates, sequential oxidation sequences, and compatibility with advanced natural-product intermediates.",named reactions_189.jpg
p138,138,Dieckmann Condensation – Importance and Mechanism,Importance; Mechanism,canonical_overview,Dieckmann Condensation,Dieckmann Condensation,Overview page for the Dieckmann condensation describing intramolecular Claisen condensation of diesters to cyclic beta-keto esters and the related Thorpe-Ziegler cyclization of dinitriles to enamino nitriles under strong base.,"Key concepts: intramolecular Claisen condensation, cyclic beta-keto ester formation, Thorpe-Ziegler cyclization, reversible enolate-driven ring closure, ring-size effects.",named reactions_190.jpg
p139,139,Dieckmann Condensation – Synthetic Applications,Synthetic Applications,application_example,Dieckmann Condensation,Dieckmann Condensation,"Application page for the Dieckmann condensation featuring aromatic annulation en route to mycophenolic acid, macro-Dieckmann cyclization in (-)-galbonolide B synthesis, and intramolecular Dieckmann closure during (+)-sacacarin construction.","Examples highlight kinetic-versus-thermodynamic enolate behavior, macrocyclization under high dilution, and tandem annulation strategies.",named reactions_191.jpg
p140,140,Diels-Alder Cycloaddition – Importance and Mechanism,Importance; Mechanism,canonical_overview,Diels-Alder Cycloaddition,Diels-Alder Cycloaddition,"Overview page for the Diels-Alder cycloaddition describing the concerted [4+2] cycloaddition of dienes with alkenes or alkynes to form cyclohexene derivatives, including normal and inverse electron-demand modes, regioselectivity, endo preference, and stereospecificity.","Key concepts: concerted pericyclic reaction, endo rule, normal versus inverse electron-demand Diels-Alder reactivity, ortho/para regiocontrol, aromatic transition state.",named reactions_192.jpg
p141,141,Diels-Alder Cycloaddition – Synthetic Applications,Synthetic Applications,application_example,Diels-Alder Cycloaddition,Diels-Alder Cycloaddition,"Application page for the Diels-Alder cycloaddition featuring intermolecular and chiral Lewis-acid-catalyzed cycloadditions in syntheses of asatone, rubrolone aglycon, eunicenone A, and (+)-rishirilide B.","Examples emphasize powerful complexity generation, complete diastereoselectivity, and catalyst-controlled endo/exo selectivity in complex natural-product settings.",named reactions_193.jpg
p142,142,Dienone-Phenol Rearrangement – Importance and Mechanism,Importance; Mechanism,canonical_overview,Dienone-Phenol Rearrangement,Dienone-Phenol Rearrangement,"Overview page for the dienone-phenol rearrangement describing acid- or base-promoted migration of alkyl groups in cyclohexadienones to aromatic phenols, including ortho- and para-dienone cases and sequential 1,2-shift pathways that deliver highly substituted phenols.","Key concepts: dienone rearomatization, alkyl migration, ortho versus para substitution patterns, 1,2-shift cascades, acid-catalyzed rearrangement of santonin-type frameworks.",named reactions_194.jpg
p143,143,Dienone-Phenol Rearrangement – Synthetic Applications,Synthetic Applications,application_example,Dienone-Phenol Rearrangement,Dienone-Phenol Rearrangement,"Application page for the dienone-phenol rearrangement featuring photochemical access to tetra- and pentasubstituted phenols, rearrangement of phenolic bis C-aryl glycosides en route to kidamycin models, and condition-dependent O- versus C-migration of spirodienones.","Examples emphasize photochemical dienone-phenol rearrangement, Lewis-acid-mediated glycal migration, and selective O- or C-migration under acidic or basic conditions.",named reactions_195.jpg
