page_label,page_no,title,section_name,page_kind,reference_family_name,family_names,summary,notes,image_filename
p304,304,NAZAROV CYCLIZATION,Importance; Mechanism,canonical_overview,Nazarov Cyclization,Nazarov Cyclization|Nazarov cyclization,Overview page for the Nazarov cyclization describing acid- or Lewis-acid-promoted electrocyclization of divinyl ketones through pentadienyl cation intermediates to cyclopentenones.,"Key concepts: divinyl ketone precursors, 4π conrotatory electrocyclization, pentadienyl cation intermediates, control by beta-substituents and silicon directing groups, and stereospecific ring closure to cyclopentenones.",named reactions_356.jpg
p305,305,NAZAROV CYCLIZATION,Synthetic Applications,application_example,Nazarov Cyclization,Nazarov Cyclization|Nazarov cyclization,"Application page for the Nazarov cyclization featuring (+)-trichodiene, (+)-silphinene, (+)-desepoxy-4,5-didehydromethylenomycin A methyl ester, and inverto-yuehchukene assembled through electrocyclic cyclopentenone formation.","Examples emphasize stereocontrolled Nazarov ring closures in terpenoid and indole frameworks, including silicon-directed variants and late-stage formation of fused five-membered rings.",named reactions_357.jpg
p306,306,NEBER REARRANGEMENT,Importance; Mechanism,canonical_overview,Neber Rearrangement,Neber Rearrangement|Neber rearrangement,Overview page for the Neber rearrangement describing base-induced conversion of O-acylated ketoximes into alpha-amino ketones through azirine intermediates.,"Key concepts: preparation of O-acyl ketoximes from oximes, rearrangement under alkoxide base, competing concerted and nitrene pathways, formation of 2H-azirines, and utility for alpha-amino ketone synthesis.",named reactions_358.jpg
p307,307,NEBER REARRANGEMENT,Synthetic Applications,application_example,Neber Rearrangement,Neber Rearrangement|Neber rearrangement,"Application page for the Neber rearrangement featuring a β3 adrenergic receptor agonist intermediate, 3-aminopiperidine scaffolds, DL-vinylglycine, and optically active 3-amino-2H-azirines prepared through oxime activation and rearrangement.","Examples emphasize one-pot oxime formation/tosylation/rearrangement sequences, regioselective aminopiperidine synthesis, and access to amino acid or azirine building blocks.",named reactions_359.jpg
p308,308,NEF REACTION,Importance; Mechanism,canonical_overview,Nef Reaction,Nef Reaction|Nef reaction,Overview page for the Nef reaction describing conversion of nitronate salts or nitroalkanes into carbonyl compounds under acidic or oxidative conditions.,"Key concepts: acid-dependent hydrolysis of nitronate salts, conversion of primary and secondary nitro compounds into aldehydes or ketones, access to oximes and carbonyl products, and reductive or oxidative variants of the Nef manifold.",named reactions_360.jpg
p309,309,NEF REACTION,Synthetic Applications,application_example,Nef Reaction,Nef Reaction|Nef reaction,"Application page for the Nef reaction featuring the spiroketal core of the γ-rubromycins, spiropyrrostatin B, (-)-cyclophellitol, and BCX-1812 prepared through nitro-to-carbonyl conversion.","Examples emphasize tandem Henry/Nef sequences, in situ reduction to aldehyde oximes followed by hydrolysis, and strategic oxidation of nitro cyclitols to carboxylic-acid functionality.",named reactions_361.jpg
p310,310,NEGISHI CROSS-COUPLING,Importance; Mechanism,canonical_overview,Negishi Cross-Coupling,Negishi Cross-Coupling|Negishi cross-coupling,"Overview page for the Negishi cross-coupling describing Pd- or Ni-catalyzed coupling of organozinc reagents with aryl, vinyl, allyl, or alkynyl electrophiles.","Key concepts: organozinc nucleophiles generated by direct insertion or transmetalation, broad functional-group tolerance relative to Grignard reagents, stereoretentive cross-coupling, and catalytic cycles involving oxidative addition, transmetalation, and reductive elimination.",named reactions_362.jpg
p311,311,NEGISHI CROSS-COUPLING,Synthetic Applications,application_example,Negishi Cross-Coupling,Negishi Cross-Coupling|Negishi cross-coupling,"Application page for the Negishi cross-coupling featuring caerulomycin C, (-)-motuporin fragments, and (+)-amphidinolide J assembled through coupling of organozinc subunits with aryl or vinyl halides.","Examples emphasize late-stage coupling in heteroaryl systems, Schwartz-hydrozirconation/transmetalation sequences, and convergent assembly of stereodefined diene-containing natural-product fragments.",named reactions_363.jpg
p312,312,NENITZESCU INDOLE SYNTHESIS,Importance; Mechanism,canonical_overview,Nenitzescu Indole Synthesis,Nenitzescu Indole Synthesis|Nenitzescu indole synthesis,Overview page for the Nenitzescu indole synthesis describing condensation of p-benzoquinones with β-aminocrotonates or related enamine-type partners to furnish 5-hydroxyindoles.,"Key concepts: p-benzoquinone electrophiles, β-aminocrotonate or β-amino-α,β-unsaturated carbonyl partners, formation of substituted 5-hydroxyindoles, regioselectivity effects of quinone substitution, and a mechanistic pathway involving Michael addition followed by cyclization.",named reactions_364.jpg
p313,313,NENITZESCU INDOLE SYNTHESIS,Synthetic Applications,application_example,Nenitzescu Indole Synthesis,Nenitzescu Indole Synthesis|Nenitzescu indole synthesis,"Application page for the Nenitzescu indole synthesis featuring EO 9, LY311727, polymer-supported 5-hydroxyindole carboxamides, and substituted tetrahydrocarbolines assembled from benzoquinones and amino/enol partners.","Examples emphasize concise access to highly functionalized hydroxyindoles for bioreductive alkylating agents, phospholipase A2 inhibitors, solid-phase synthesis, and Lewis-acid-directed variants that extend the scope to tetrahydrocarbolines.",named reactions_365.jpg
