source_label,page_label,page_no,title,section_name,page_kind,summary,family_names,reference_family_name,notes,image_filename
named_reactions_frontmatter_batch9,p42,42,Barton Nitrite Ester Reaction – Importance and Mechanism,VII. Named Organic Reactions in Alphabetical Order,canonical_overview,"Overview page for the Barton nitrite ester reaction describing remote functionalization of unactivated aliphatic C-H bonds through nitrite esters under thermal or photolytic conditions. The mechanism proceeds through O-N homolysis, 1,5-hydrogen abstraction, carbon-radical capture by nitric oxide, and tautomerization to γ-hydroxy oximes.",Barton Nitrite Ester Reaction,Barton Nitrite Ester Reaction,"Emphasizes nitrite ester formation from alcohols and nitrosyl chloride, oxygen-centered radical generation, and 1,5-H abstraction logic for remote oxidation.",named reactions_94.jpg
named_reactions_frontmatter_batch9,p43,43,Barton Nitrite Ester Reaction – Synthetic Applications,VII. Named Organic Reactions in Alphabetical Order,application_example,"Application page for the Barton nitrite ester reaction featuring intermediates in myriceric acid A, 1-dethia-3-aza-1-carba-2-oxacephem, azadiradione, perhydrohistiiricotoxin, and chain-elongated radical-trapping products from remote functionalization chemistry.",Barton Nitrite Ester Reaction,Barton Nitrite Ester Reaction,"Applications show remote oxidation in terpenes and β-lactam settings, product divergence from multiple hydrogen abstractions, and interception of δ-carbon radicals by acrylonitrile.",named reactions_95.jpg
named_reactions_frontmatter_batch9,p44,44,Barton Radical Decarboxylation Reaction – Importance and Mechanism,VII. Named Organic Reactions in Alphabetical Order,canonical_overview,"Overview page for the Barton radical decarboxylation reaction describing conversion of carboxylic acids into thiohydroxamate esters followed by radical-mediated decarboxylation to replace a carboxyl group with hydrogen or another radical-derived substituent. The mechanism highlights AIBN initiation, tributyltin-hydride reduction, and loss of carbon dioxide from acyl-derived radicals.",Barton Radical Decarboxylation Reaction,Barton Radical Decarboxylation Reaction,The page presents N-hydroxypyridine-2-thione thiohydroxamate esters as radical precursors and focuses on reductive decarboxylation with Bu3SnH/AIBN.,named reactions_96.jpg
named_reactions_frontmatter_batch9,p45,45,Barton Radical Decarboxylation Reaction – Synthetic Applications,VII. Named Organic Reactions in Alphabetical Order,application_example,"Application page for the Barton radical decarboxylation reaction featuring syntheses of (-)-verrucarol, 10-decarboxyquinocarcin, functionalized tricyclodienones, bridged bromide or selenide cage systems, and a double Barton decarboxylation en route to tyromycin A.",Barton Radical Decarboxylation Reaction,Barton Radical Decarboxylation Reaction,"Applications stress late-stage decarboxylative editing of complex natural-product frameworks and trapping of radicals by oxygen, bromine, or selenium donors.",named reactions_97.jpg
named_reactions_frontmatter_batch9,p46,46,Barton-McCombie Radical Deoxygenation Reaction – Importance and Mechanism,VII. Named Organic Reactions in Alphabetical Order,canonical_overview,"Overview page for the Barton-McCombie radical deoxygenation reaction describing replacement of an alcohol hydroxy group with hydrogen after conversion to a thiocarbonyl derivative, followed by Bu3SnH/AIBN-mediated radical deoxygenation. The mechanism shows xanthate or thioester formation, radical chain propagation, and hydrogen-atom transfer to a carbon radical.",Barton-McCombie Radical Deoxygenation Reaction,Barton-McCombie Radical Deoxygenation Reaction,The page explicitly presents xanthate and thioester precursor manifolds and frames the method as a general deoxygenation protocol for secondary and tertiary alcohols.,named reactions_98.jpg
named_reactions_frontmatter_batch9,p47,47,Barton-McCombie Radical Deoxygenation Reaction – Synthetic Applications,VII. Named Organic Reactions in Alphabetical Order,application_example,"Application page for the Barton-McCombie radical deoxygenation reaction featuring synthesis of the C1-C19 fragment of kabiramide C, tricycloillicinone, (±)-Δ(9,12)-capnellene, (-)-Kishi lactam, and the octenoic acid side chain of zaragozic acid.",Barton-McCombie Radical Deoxygenation Reaction,Barton-McCombie Radical Deoxygenation Reaction,Applications highlight late-stage oxygen deletion in complex stereochemical settings and synergy with oxidative cyclization or acylation steps.,named reactions_99.jpg
named_reactions_frontmatter_batch9,p48,48,Baylis-Hillman Reaction – Importance and Mechanism,VII. Named Organic Reactions in Alphabetical Order,canonical_overview,"Overview page for the Baylis-Hillman reaction describing tertiary amine or phosphine catalyzed coupling of an activated alkene with an aldehyde or imine to form densely functionalized allylic alcohol products. The mechanism involves catalyst Michael addition, zwitterion formation, carbon-carbon bond formation, proton transfer, and catalyst elimination.",Baylis-Hillman Reaction,Baylis-Hillman Reaction,"The page emphasizes DABCO, quinuclidine, and chiral cinchona-derived catalysts as key promoters for enantioselective and organocatalytic variants.",named reactions_100.jpg
named_reactions_frontmatter_batch9,p49,49,Baylis-Hillman Reaction – Synthetic Applications,VII. Named Organic Reactions in Alphabetical Order,application_example,"Application page for the Baylis-Hillman reaction featuring routes to epopromycin B precursors, 3-substituted 2H-chromenes, (E)-α-methylcinnamic acids, kuehneromycin A, and salinosporamide A through inter- and intramolecular Baylis-Hillman chemistry.",Baylis-Hillman Reaction,Baylis-Hillman Reaction,"Applications show catalyst-controlled stereochemistry and extension of Baylis-Hillman adducts into chromene, cinnamate, and β-lactam-containing target scaffolds.",named reactions_101.jpg
named_reactions_frontmatter_batch9,p50,50,Beckmann Rearrangement – Importance and Mechanism,VII. Named Organic Reactions in Alphabetical Order,canonical_overview,"Overview page for the Beckmann rearrangement describing acid-promoted conversion of ketoximes or aldoximes into amides or lactams through activation of the oxime hydroxy group, anti migration of the substituent, nitrilium-ion formation, and hydrolysis/tautomerization.",Beckmann Rearrangement,Beckmann Rearrangement,"The page stresses anti stereochemical migration, relevance to ε-caprolactam production, and compatibility with Brønsted or Lewis acid activation conditions.",named reactions_102.jpg
named_reactions_frontmatter_batch9,p51,51,Beckmann Rearrangement – Synthetic Applications,VII. Named Organic Reactions in Alphabetical Order,application_example,"Application page for the Beckmann rearrangement featuring syntheses of (+)-codeine, (-)-ibogamine, (+)-sparteine, and a chiral 4-ethyl-1,2,3,4-tetrahydroquinoline scaffold via cyclic ketone oxime rearrangement to lactams or related nitrogen heterocycles.",Beckmann Rearrangement,Beckmann Rearrangement,Applications include classical and photo-Beckmann variants and underscore ring expansion to lactams followed by reduction or further elaboration.,named reactions_103.jpg
