page_label,page_no,title,section_name,page_kind,summary,family_names,reference_family_name,notes,image_filename
p400,400,SCHWARTZ HYDROZIRCONATION,Importance; Mechanism,canonical_overview,"Overview page for Schwartz hydrozirconation describing the use of Cp2ZrHCl to hydrozirconate alkenes and alkynes, giving alkyl- and alkenylzirconium intermediates that can be trapped with electrophiles, carbon monoxide, or transmetalation partners.",Schwartz Hydrozirconation,Schwartz Hydrozirconation,"Key concepts: rapid syn hydrozirconation, strong terminal-alkene preference, facile isomerization of polyenes under controlled conditions, and broad utility of organozirconium intermediates for trapping or cross-coupling chemistry.",named reactions_452.jpg
p401,401,SCHWARTZ HYDROZIRCONATION,Synthetic Applications,application_example,"Application page for Schwartz hydrozirconation featuring Curacin A, Apoptolidin, and the pyrrolidinone core of isodomoic acid G, illustrating chemoselective hydrozirconation of polyenes and alkynes followed by electrophile trapping or nickel-catalyzed bond construction in complex-target synthesis.",Schwartz Hydrozirconation,Schwartz Hydrozirconation,"Examples emphasize one-carbon homologation of conjugated trienes, selective terminal hydrozirconation of internal/terminal alkynes, and tandem hydrozirconation/transmetalation sequences that install densely functionalized diene side chains.",named reactions_453.jpg
p402,402,SEYFERTH-GILBERT HOMOLOGATION,Importance; Mechanism,canonical_overview,"Overview page for the Seyferth-Gilbert homologation describing aldehyde- and ketone-to-alkyne conversion with diazophosphonate reagents, including the Ohira-Bestmann modification for especially mild preparation of terminal alkynes from aldehydes.",Seyferth-Gilbert Homologation|Ohira-Bestmann homologation,Seyferth-Gilbert Homologation,"Key concepts: carbonyl homologation through diazo-phosphonate addition and rearrangement, formation of internal or terminal alkynes depending on reagent class, and room-temperature Bestmann-Ohira conditions that tolerate sensitive functionality.",named reactions_454.jpg
p403,403,SEYFERTH-GILBERT HOMOLOGATION,Synthetic Applications,application_example,"Application page for the Seyferth-Gilbert homologation featuring Polycavernoside A, (-)-Minquartynoic acid, the C5-C20 subunit of the aplyronines, and (-)-Laulimalide, highlighting strategic aldehyde-to-alkyne homologation in marine natural-product synthesis.",Seyferth-Gilbert Homologation|Ohira-Bestmann homologation,Seyferth-Gilbert Homologation,"Examples emphasize terminal-alkyne installation on highly oxygenated fragments, use of the Ohira-Bestmann protocol on fragile aldehydes, and deployment of the resulting alkynes in halovinylation, macrocyclization, or further coupling chemistry.",named reactions_455.jpg
p404,404,SHARPLESS ASYMMETRIC AMINOHYDROXYLATION,Importance; Mechanism,canonical_overview,Overview page for Sharpless asymmetric aminohydroxylation describing osmium-catalyzed enantioselective cis-aminohydroxylation of alkenes with chloramine-derived nitrogen sources to access protected vicinal amino alcohols.,Sharpless Asymmetric Aminohydroxylation,Sharpless Asymmetric Aminohydroxylation,"Key concepts: catalytic osmium chemistry with chiral ligands related to SAD/SAE systems, use of N-halo carbamates or chloramines as nitrogen donors, formation of enantiopure cis amino alcohols, and ligand-controlled regioselectivity in electron-deficient alkenes.",named reactions_456.jpg
p405,405,SHARPLESS ASYMMETRIC AMINOHYDROXYLATION,Synthetic Applications,application_example,"Application page for Sharpless asymmetric aminohydroxylation featuring Ustiloxin D, Dragmacidin A, the G- and F-ring phenylglycine precursors of teicoplanin aglycone, and (-)-Ephedradine A, demonstrating enantioselective amino alcohol installation on cinnamates, vinyl indoles, and styrene derivatives.",Sharpless Asymmetric Aminohydroxylation,Sharpless Asymmetric Aminohydroxylation,"Examples emphasize pseudoeenantiomeric ligand choice, N-Boc or N-Cbz protected amino alcohol formation, high enantioselectivity on halogenated styrenes and vinyl indoles, and downstream manipulation of the β-amino alcohol functionality in complex targets.",named reactions_457.jpg
p406,406,SHARPLESS ASYMMETRIC DIHYDROXYLATION,Importance; Mechanism,canonical_overview,Overview page for Sharpless asymmetric dihydroxylation describing catalytic osmium-mediated conversion of alkenes into enantiopure cis vicinal diols with AD-mix α or β and Cinchona-derived ligands.,Sharpless Asymmetric Dihydroxylation,Sharpless Asymmetric Dihydroxylation,"Key concepts: AD-mix α/β reagent sets, empirical mnemonic for face selection, ligand-accelerated catalysis, broad alkene scope, and cyclic osmate ester formation followed by oxidative turnover to deliver syn dihydroxylation products.",named reactions_458.jpg
p407,407,SHARPLESS ASYMMETRIC DIHYDROXYLATION,Synthetic Applications,application_example,"Application page for Sharpless asymmetric dihydroxylation featuring (+)-Zaragozic acid C, KDO, and (+)-1-Epiaustraline, showing stereodefined installation of densely oxygenated vicinal-diol arrays in carbohydrate and alkaloid synthesis.",Sharpless Asymmetric Dihydroxylation,Sharpless Asymmetric Dihydroxylation,"Examples emphasize sequential SAD operations on dienes, challenging face selectivity in oxygen heterocycles, and extensive ligand screening to favor the desired diastereomer in tandem cycloaddition-derived frameworks.",named reactions_459.jpg
p408,408,SHARPLESS ASYMMETRIC EPOXIDATION,Importance; Mechanism,canonical_overview,Overview page for Sharpless asymmetric epoxidation describing titanium-tartrate-catalyzed enantioselective epoxidation of allylic alcohols with tert-butyl hydroperoxide to give epoxy alcohols of predictable absolute configuration.,Sharpless Asymmetric Epoxidation|Sharpless Asymmetric Epoxidation (SAE),Sharpless Asymmetric Epoxidation,"Key concepts: Ti(O-iPr)4/DET/TBHP catalyst system, predictable tartrate-controlled facial selectivity, kinetic resolution of racemic allylic alcohols, and crucial influence of allylic alcohol geometry and molecular sieves on high ee.",named reactions_460.jpg
p409,409,SHARPLESS ASYMMETRIC EPOXIDATION,Synthetic Applications,application_example,"Application page for Sharpless asymmetric epoxidation featuring (+)-Parviflorin, (20R)-Homocamptothecin, (-)-Laulimalide, and (+)-/- Madindoline A/B, illustrating late-stage enantioselective epoxidation of allylic alcohols embedded in highly functionalized natural-product frameworks.",Sharpless Asymmetric Epoxidation|Sharpless Asymmetric Epoxidation (SAE),Sharpless Asymmetric Epoxidation,"Examples emphasize regioselective bis-allylic alcohol epoxidation, use of L-(+)-DET versus D-(-)-DET to set C20 stereochemistry, and selective oxidation within macrocyclic polyol systems where only one allylic alcohol is addressed.",named reactions_461.jpg
