page_label,page_no,title,section_name,page_kind,summary,family_names,reference_family_name,notes,image_filename
p370,370,QUASI-FAVORSKII REARRANGEMENT,Importance; Mechanism,canonical_overview,Overview page for the quasi-Favorskii rearrangement describing semibenzilic-type skeletal rearrangement of non-enolizable α-halo ketones or bridgehead α-halo ketones under nucleophilic/basic conditions to give carboxylic acid derivatives or ring-contracted cyclic and bicyclic homologues.,Quasi-Favorskii Rearrangement|Favorskii-like rearrangement of non-enolizable α-halo ketones,Quasi-Favorskii Rearrangement,"Key concepts: requirement for α-halo ketones lacking α-hydrogen or possessing a bridged bicyclic framework, nucleophilic addition to carbonyl before 1,2-shift, inversion at the α-carbon, and generation of ring-contracted products from cyclic substrates.",named reactions_422.jpg
p371,371,QUASI-FAVORSKII REARRANGEMENT,Synthetic Applications,application_example,"Application page for the quasi-Favorskii rearrangement featuring epi-modhephene, a polycyclic ring system, (±)-spatol, and (±)-sterpurene, showing how α-bromo ketones embedded in bicyclic or tricyclic frameworks undergo ring contraction to deliver densely fused natural-product scaffolds.",Quasi-Favorskii Rearrangement,Quasi-Favorskii Rearrangement,"Examples emphasize Robinson annulation-derived precursors, intramolecular and intermolecular [4+3] cycloadditions, LAH reduction to α-bromo alcohols followed by KH-triggered rearrangement, and efficient conversion of bridgehead α-bromo ketones into compact polycyclic skeletons.",named reactions_423.jpg
p372,372,RAMBERG-BÄCKLUND REARRANGEMENT,Importance; Mechanism,canonical_overview,"Overview page for the Ramberg-Bäcklund rearrangement describing base-induced olefination of α-halosulfones through episulfone intermediates, furnishing acyclic alkenes or ring-contracted cyclic alkenes with double-bond geometry governed by substrate structure, base, solvent, and temperature.",Ramberg-Bäcklund Rearrangement|Meyers modification|Hendrickson modification,Ramberg-Bäcklund Rearrangement,"Key concepts: α-halogenated sulfones as precursors, deprotonation at the α or α′ position, intramolecular displacement to form episulfones, SO2 extrusion to alkenes, and special variants using in situ halogenation or triflate leaving groups.",named reactions_424.jpg
p373,373,RAMBERG-BÄCKLUND REARRANGEMENT,Synthetic Applications,application_example,"Application page for the Ramberg-Bäcklund rearrangement featuring (+)-solamin, (+)-eremantholide A, (+)-estradiol, and manzamine C, illustrating sulfones used as latent alkene precursors for convergent olefin installation and ring contraction in acetogenin, sesquiterpene, steroid, and alkaloid synthesis.",Ramberg-Bäcklund Rearrangement|Meyers modification,Ramberg-Bäcklund Rearrangement,"Examples emphasize Meyers-type in situ chlorination, LiHMDS/NCS-mediated α-chlorination of sulfones, strong-base-induced SO2 extrusion, and highly stereoselective endgame olefination in macrocyclic and polycyclic targets.",named reactions_425.jpg
p374,374,REFORMATSKY REACTION,Importance; Mechanism,canonical_overview,"Overview page for the Reformatsky reaction describing zinc- or metal-mediated coupling of α-halo esters with aldehydes or ketones to furnish β-hydroxy esters, alongside related metal-salt variants and the Blaise reaction of α-halo esters with nitriles to give β-keto esters after work-up.",Reformatsky Reaction|Blaise reaction,Reformatsky Reaction,"Key concepts: organozinc enolate formation from α-halo esters, chairlike transition states, broad activation using Zn or metal salts such as SmI2 or CrCl2, and extension to nitriles in the Blaise variant.",named reactions_426.jpg
p375,375,REFORMATSKY REACTION,Synthetic Applications,application_example,"Application page for the Reformatsky reaction featuring the C(16),C(18)-bis-epi-cytochalasin D framework, the F–H ring framework of a decacyclic ciguatoxin model, the C1–C6 fragment of epothilones, and dolaproine, highlighting intermolecular and intramolecular C–C bond construction from α-halo carbonyl precursors in complex synthesis.",Reformatsky Reaction|Blaise reaction,Reformatsky Reaction,"Examples emphasize sodium-naphthalide-activated zinc, SmI2-mediated low-temperature cyclization, catalytic CrCl2-promoted fragment coupling, and cobalt-promoted Reformatsky addition to build β-hydroxy amino-acid subunits.",named reactions_427.jpg
p376,376,REGITZ DIAZO TRANSFER,Importance; Mechanism,canonical_overview,"Overview page for the Regitz diazo transfer describing conversion of active methylene β-dicarbonyl compounds or α-formyl ketones into α-diazo carbonyl compounds by reaction with sulfonyl azides under basic conditions, including the deformylative diazo-transfer variant used to access α-diazo ketones.",Regitz Diazo Transfer|deformylative diazo transfer,Regitz Diazo Transfer,"Key concepts: sulfonyl azides as diazo donors, requirement for sufficiently acidic methylene compounds or α-formyl ketones, triazene formation and fragmentation, and generation of versatile α-diazo carbonyl intermediates for Wolff rearrangement or metal-carbene chemistry.",named reactions_428.jpg
p377,377,REGITZ DIAZO TRANSFER,Synthetic Applications,application_example,"Application page for the Regitz diazo transfer featuring the fully functionalized skeleton of lysergic acid, (+)-methylxanthoxylol, the [6-7] carbocyclic core of guanacastepenes, and A58365A, showing how diazo-transfer chemistry feeds intramolecular cycloadditions, C–H insertion, and rhodium-carbene annulation in target-oriented synthesis.",Regitz Diazo Transfer|deformylative diazo transfer,Regitz Diazo Transfer,"Examples emphasize p-ABSA and azide-based diazo donors, Rh2(pfb)4- or Rh2(OAc)4-catalyzed carbene reactions, deacylative diazo transfer on butyrolactones, and assembly of carbocyclic and heterocyclic natural-product cores.",named reactions_429.jpg
p378,378,REIMER-TIEMANN REACTION,Importance; Mechanism,canonical_overview,"Overview page for the Reimer-Tiemann reaction describing dichlorocarbene generation from chloroform and strong base, followed by ortho formylation of phenols or pyrroles and, in special cases, abnormal products such as dichloromethyl cyclohexadienones or Ciamician-Dennstedt ring-expansion products.",Reimer-Tiemann Reaction|abnormal Reimer-Tiemann reaction|Ciamician-Dennstedt rearrangement,Reimer-Tiemann Reaction,"Key concepts: dichlorocarbene formation, ortho-selective formylation of phenols, pyrrole ring expansion to 3-chloropyridines, abnormal dichloromethyl cyclohexadienone formation from alkyl phenols, and dependence of regioselectivity on substrate substitution and cyclodextrin effects.",named reactions_430.jpg
p379,379,REIMER-TIEMANN REACTION,Synthetic Applications,application_example,"Application page for the Reimer-Tiemann reaction featuring (±)-β-copaene, a 7-acetylamino-2-chloro-[1,8]naphthyridine-3-carboxylic acid ethyl ester, a methoxy indatraline derivative, and (±)-trans-5-carboxytrimethyleneoxy-enterolactone, demonstrating ortho formylation of phenols and aza-arenes as entry points to terpene, heteroaromatic, transporter-ligand, and radioimmunoassay tracer targets.",Reimer-Tiemann Reaction|Friedländer reaction,Reimer-Tiemann Reaction,"Examples emphasize classical CHCl3/NaOH formylation, abnormal cyclohexadienone formation from carvacrol, use of 2,6-diaminopyridines to access naphthyridines after Friedländer annulation, and selective aldehyde installation on halophenols for medicinal-chemistry scaffolds.",named reactions_431.jpg
