page_label,page_no,title,section_name,page_kind,reference_family_name,family_names,summary,notes,image_filename
p184,184,Gattermann and Gattermann-Koch Formylation – Importance and Mechanism,Importance; Mechanism,canonical_overview,Gattermann and Gattermann-Koch Formylation,Gattermann and Gattermann-Koch Formylation|Gattermann Formylation|Gattermann-Koch Formylation,Overview page for the Gattermann and Gattermann-Koch formylation describing electrophilic introduction of formyl groups onto activated arenes using either CO/HCl with Lewis-acid carriers or HCN/Zn(CN)2-derived iminium equivalents under strongly Lewis-acidic conditions.,"Key concepts: arene formylation under Friedel-Crafts-like conditions, distinction between Gattermann-Koch and Gattermann variants, use of CO or cyanide surrogates, and limits imposed by substrate activation and harsh acidic media.",named reactions_236.jpg
p185,185,Gattermann and Gattermann-Koch Formylation – Synthetic Applications,Synthetic Applications,application_example,Gattermann and Gattermann-Koch Formylation,Gattermann and Gattermann-Koch Formylation|Gattermann Formylation|Gattermann-Koch Formylation,"Application page for Gattermann/Gattermann-Koch formylation featuring formylation in routes to caleprunin A, adenosine A1 receptor ligands, hydroxycarbazole-derived antitumor scaffolds, and aromatic amino-acid analogues.",Examples emphasize Zn(CN)2/HCl-based Adams-modified formylation of electron-rich aromatics and subsequent elaboration of the installed aldehyde in complex synthesis.,named reactions_237.jpg
p186,186,Glaser Coupling – Importance and Mechanism,Importance; Mechanism,canonical_overview,Glaser Coupling,Glaser Coupling|Eglinton Coupling|Hay Coupling,"Overview page for the Glaser coupling describing oxidative homocoupling and heterocoupling of terminal alkynes to furnish conjugated diynes under copper-mediated aerobic conditions and related Hay, Eglinton, and palladium-assisted variants.","Key concepts: copper acetylide formation, oxidative dimerization, macrocyclization of diynes, heterocoupling logic, and solvent/ligand effects that tune homocoupling versus cross-coupling outcomes.",named reactions_238.jpg
p187,187,Glaser Coupling – Synthetic Applications,Synthetic Applications,application_example,Glaser Coupling,Glaser Coupling|Eglinton Coupling|Hay Coupling,"Application page for Glaser coupling featuring macrocyclic phosphatidylcholines, endiandric-acid assembly, chiral water-soluble cyclophanes, and nucleoside dimers linked through butadiynyl spacers.","Examples emphasize Eglinton-type macrocyclizations, heterocoupled diyne construction, and use of copper acetate in pyridine or mixed solvent systems for complex substrate coupling.",named reactions_239.jpg
p188,188,Grignard Reaction – Importance and Mechanism,Importance; Mechanism,canonical_overview,Grignard Reaction,Grignard Reaction|Grignard Addition,"Overview page for the Grignard reaction describing preparation and reactivity of organomagnesium reagents toward carbonyl compounds, nitriles, carbon dioxide, acid derivatives, and epoxides in aprotic ethereal solvents.","Key concepts: organomagnesium-halide generation, carbon nucleophilicity, moisture sensitivity, chelation and Schlenk-type behavior, and concerted versus radical-stepwise models for addition to electrophiles.",named reactions_240.jpg
p189,189,Grignard Reaction – Synthetic Applications,Synthetic Applications,application_example,Grignard Reaction,Grignard Reaction|Grignard Addition,"Application page for the Grignard reaction featuring syntheses of lepadiformine, eunyominol, lochneridine, and nonproteinogenic amino-acid surrogates built through organomagnesium additions and organocerium-enhanced variants.","Examples emphasize additions to iminium ions, conjugate additions directed by alkoxy substituents, organocerium-mediated chemoselective carbonyl addition, and ring opening of beta-lactones derived from Grignard reagents.",named reactions_241.jpg
p190,190,Grob Fragmentation – Importance and Mechanism,Importance; Mechanism,canonical_overview,Grob Fragmentation,Grob Fragmentation|Grob-type Fragmentation,"Overview page for the Grob fragmentation describing stereoelectronically controlled heterolytic cleavage of suitably substituted frameworks to generate an electrofugal fragment, an unsaturated fragment, and a nucleofugal fragment in a concerted or stepwise fashion.","Key concepts: alignment requirements for syn fragmentation, one-step versus stepwise ionic pathways, dependence on electrofuge and nucleofuge quality, and preference for rigid polycyclic substrates.",named reactions_242.jpg
p191,191,Grob Fragmentation – Synthetic Applications,Synthetic Applications,application_example,Grob Fragmentation,Grob Fragmentation|Grob-type Fragmentation,"Application page for Grob fragmentation featuring routes to jatrophatrione, the carbon skeleton of eleutherobin aglycon, and highly functionalized medium-sized carbocycles assembled from cyclization/fragmentation precursors.","Examples emphasize alkoxide-triggered fragmentations, spontaneous cyclization following fragmentation, and samarium-mediated intramolecular Barbier processes that set up Grob cleavage in densely functionalized bicyclic systems.",named reactions_243.jpg
p192,192,Hajos-Parrish Reaction – Importance and Mechanism,Importance; Mechanism,canonical_overview,Hajos-Parrish Reaction,Hajos-Parrish Reaction|Hajos-Parrish-Eder-Sauer-Wiechert Reaction|Wieland-Miescher Ketone Synthesis,"Overview page for the Hajos-Parrish reaction describing asymmetric intramolecular aldol cyclization of Michael adducts from 1,3-diones and enones under catalytic or stoichiometric amino-acid conditions to form bicyclic enones in high ee.","Key concepts: proline-catalyzed Michael/aldol annulation, relation to the Wieland-Miescher ketone, amino-acid catalysis, dehydration to bicyclic enones, and mechanistic stereochemical models involving enamine or iminium activation.",named reactions_244.jpg
p193,193,Hajos-Parrish Reaction – Synthetic Applications,Synthetic Applications,application_example,Hajos-Parrish Reaction,Hajos-Parrish Reaction|Hajos-Parrish-Eder-Sauer-Wiechert Reaction|Wieland-Miescher Ketone Synthesis,"Application page for the Hajos-Parrish reaction featuring enantioselective access to desogestrel precursors, cyclomutilylan-5alpha-ol, the CD side-chain of ent-vitamin D3, and barbacenic acid using amino-acid-catalyzed Robinson annulation logic.","Examples emphasize proline or phenylalanine catalysis, D-camphorsulfonic-acid-assisted annulation, crystallization-enhanced ee, and use of Hajos-Parrish ketone analogues in complex natural-product synthesis.",named reactions_245.jpg
